,code,N,meaning,codeID,path,path_meaning,Biomarker,parallel_group,n_sig_FDR,n_sig_adj.P.Val,n_sig_bonf,SigLogFC,LogFC,p,sds
codeA045,A045,50,A04.5 Campylobacter enteritis,codeA045,A04,A04 Other bacterial intestinal infections,codeA045,1,0,0,0,NaN,-0.787499561627154,0.752340512277784,NA
codeA047,A047,96,A04.7 Enterocolitis due to Clostridium difficile,codeA047,A04,A04 Other bacterial intestinal infections,codeA047,1,37,0,0,1.3738425108116,0.366715913188393,0.351143696477253,0.319095709963177
codeA048,A048,162,A04.8 Other specified bacterial intestinal infections,codeA048,A04,A04 Other bacterial intestinal infections,codeA048,1,0,0,0,NaN,0.167426316054405,0.224087516105545,NA
codeA084,A084,79,A08.4 Viral intestinal infection- unspecified,codeA084,A08,A08 Viral and other specified intestinal infections,codeA084,1,0,0,0,NaN,-0.492601850888319,0.587373886979912,NA
codeA09,A09,37,A09 Diarrhoea and gastro-enteritis of presumed infectious origin,codeA09,A09,A09 Diarrhoea and gastro-enteritis of presumed infectious origin,codeA09,1,4,0,0,2.93712247212256,0.055457516086412,0.154090981664292,0.707021270254858
codeA099,A099,1297,A09.9 Gastroenteritis and colitis of unspecified origin,codeA099,A09,A09 Diarrhoea and gastro-enteritis of presumed infectious origin,codeA099,1,60,0,0,-0.490922088416157,-0.13832869549711,0.491348315693883,0.0320165474788239
codeA410,A410,40,A41.0 Septicaemia due to Staphylococcus aureus,codeA410,A41,A41 Other septicaemia,codeA410,1,0,0,0,NaN,0.899520093975014,0.703014920917944,NA
codeA415,A415,146,A41.5 Septicaemia due to other Gram-negative organisms,codeA415,A41,A41 Other septicaemia,codeA415,1,49,0,0,-1.0665812658116,-0.70371778485949,1.47845765043842,0.111068791268039
codeA418,A418,35,A41.8 Other specified septicaemia,codeA418,A41,A41 Other septicaemia,codeA418,1,0,0,0,NaN,-0.283107830381058,0.200410458469119,NA
codeA419,A419,739,A41.9 Septicaemia- unspecified,codeA419,A41,A41 Other septicaemia,codeA419,1,2230,8462,0,-0.609252524908127,-0.295205595646305,1.11857727048602,0.0513690378970877
codeA490,A490,42,A49.0 Staphylococcal infection- unspecified,codeA490,A49,A49 Bacterial infection of unspecified site,codeA490,2,0,0,0,NaN,-0.101596900490237,0.141752116616625,NA
codeA498,A498,63,A49.8 Other bacterial infections of unspecified site,codeA498,A49,A49 Bacterial infection of unspecified site,codeA498,2,0,0,0,NaN,-0.0345037207270502,0.250189755432225,NA
codeB029,B029,55,B02.9 Zoster without complication,codeB029,B02,B02 Zoster [herpes zoster],codeB029,2,0,0,0,NaN,0.0819446917610578,0.223360056821911,NA
codeB07,B07,110,B07 Viral warts,codeB07,B07,B07 Viral warts,codeB07,2,0,0,0,NaN,0.105006561455231,0.145997448266345,NA
codeB349,B349,186,B34.9 Viral infection- unspecified,codeB349,B34,B34 Viral infection of unspecified site,codeB349,2,0,0,0,NaN,-0.174371680798428,0.217970684493611,NA
codeB370,B370,218,B37.0 Candidal stomatitis,codeB370,B37,B37 Candidiasis,codeB370,2,0,0,0,NaN,-0.155532612183896,0.253896242486279,NA
codeB378,B378,134,B37.8 Candidiasis of other sites,codeB378,B37,B37 Candidiasis,codeB378,2,0,0,0,NaN,-0.374854010211709,0.552459988075953,NA
codeB379,B379,40,B37.9 Candidiasis- unspecified,codeB379,B37,B37 Candidiasis,codeB379,2,0,0,0,NaN,0.513978215075413,0.327064907191713,NA
