,field.showcase,field.html,field.tab,col.type,col.name,discard,Biomarker,nmiss,type,path,parallel_group,cor,n_sig_FDR,n_sig_adj.P.Val,n_sig_bonf,SigLogFC,LogFC,p,sds
1gg_antigen_for_herpes_simplex_virus1,23000,23000-0.0,f.23000.0.0,Integer,1gg_antigen_for_herpes_simplex_virus1_f23000_0_0,FALSE,1gg_antigen_for_herpes_simplex_virus1,0,antigen,antigen,1,0.936029237872016,0,0,0,NaN,0.00153486048861842,0.188718615687209,NA
2mgg_unique_antigen_for_herpes_simplex_virus2,23001,23001-0.0,f.23001.0.0,Integer,2mgg_unique_antigen_for_herpes_simplex_virus2_f23001_0_0,FALSE,2mgg_unique_antigen_for_herpes_simplex_virus2,0,antigen,antigen,1,0.886680260146143,0,0,0,NaN,0.0363082025803756,0.157563521070507,NA
ge_gi_antigen_for_varicella_zoster_virus,23002,23002-0.0,f.23002.0.0,Integer,ge_gi_antigen_for_varicella_zoster_virus_f23002_0_0,FALSE,ge_gi_antigen_for_varicella_zoster_virus,0,antigen,antigen,1,0.868114595503205,0,0,0,NaN,0.100476803120182,0.2986366313906,NA
vca_p18_antigen_for_epsteinbarr_virus,23003,23003-0.0,f.23003.0.0,Integer,vca_p18_antigen_for_epsteinbarr_virus_f23003_0_0,FALSE,vca_p18_antigen_for_epsteinbarr_virus,0,antigen,antigen,1,0.962536524528868,0,0,0,NaN,-0.000417483792305848,0.163170758382915,NA
ebna1_antigen_for_epsteinbarr_virus,23004,23004-0.0,f.23004.0.0,Integer,ebna1_antigen_for_epsteinbarr_virus_f23004_0_0,FALSE,ebna1_antigen_for_epsteinbarr_virus,0,antigen,antigen,1,0.962659338751636,0,0,0,NaN,0.0816367707555762,0.261188952024609,NA
zebra_antigen_for_epsteinbarr_virus,23005,23005-0.0,f.23005.0.0,Integer,zebra_antigen_for_epsteinbarr_virus_f23005_0_0,FALSE,zebra_antigen_for_epsteinbarr_virus,0,antigen,antigen,1,0.943476667585577,0,0,0,NaN,0.190616686786145,0.647332352741021,NA
ead_antigen_for_epsteinbarr_virus,23006,23006-0.0,f.23006.0.0,Integer,ead_antigen_for_epsteinbarr_virus_f23006_0_0,FALSE,ead_antigen_for_epsteinbarr_virus,0,antigen,antigen,1,0.907983107958458,0,0,0,NaN,0.248944268615185,0.909121129354058,NA
pp150_nter_antigen_for_human_cytomegalovirus,23007,23007-0.0,f.23007.0.0,Integer,pp150_nter_antigen_for_human_cytomegalovirus_f23007_0_0,FALSE,pp150_nter_antigen_for_human_cytomegalovirus,0,antigen,antigen,1,0.941412752783009,0,0,0,NaN,0.171160981497568,0.473806867000386,NA
pp_52_antigen_for_human_cytomegalovirus,23008,23008-0.0,f.23008.0.0,Integer,pp_52_antigen_for_human_cytomegalovirus_f23008_0_0,FALSE,pp_52_antigen_for_human_cytomegalovirus,0,antigen,antigen,1,0.916967671061136,0,0,0,NaN,0.0904772463407439,0.201532630251024,NA
pp_28_antigen_for_human_cytomegalovirus,23009,23009-0.0,f.23009.0.0,Integer,pp_28_antigen_for_human_cytomegalovirus_f23009_0_0,FALSE,pp_28_antigen_for_human_cytomegalovirus,0,antigen,antigen,1,0.858391916283005,0,0,0,NaN,0.200825988919439,0.596876811713687,NA
ie1a_antigen_for_human_herpesvirus6,23010,23010-0.0,f.23010.0.0,Integer,ie1a_antigen_for_human_herpesvirus6_f23010_0_0,FALSE,ie1a_antigen_for_human_herpesvirus6,0,antigen,antigen,2,0.932444264186273,0,0,0,NaN,0.199656534066674,0.597905205906088,NA
ie1b_antigen_for_human_herpesvirus6,23011,23011-0.0,f.23011.0.0,Integer,ie1b_antigen_for_human_herpesvirus6_f23011_0_0,FALSE,ie1b_antigen_for_human_herpesvirus6,0,antigen,antigen,2,0.927154174423341,0,0,0,NaN,-0.037332057847654,0.251128321177317,NA
p101_k_antigen_for_human_herpesvirus6,23012,23012-0.0,f.23012.0.0,Integer,p101_k_antigen_for_human_herpesvirus6_f23012_0_0,FALSE,p101_k_antigen_for_human_herpesvirus6,0,antigen,antigen,2,0.896802522180968,0,0,0,NaN,0.00548185355824293,0.116779486406428,NA
u14_antigen_for_human_herpesvirus7,23013,23013-0.0,f.23013.0.0,Integer,u14_antigen_for_human_herpesvirus7_f23013_0_0,FALSE,u14_antigen_for_human_herpesvirus7,0,antigen,antigen,2,0.942224779245594,0,0,0,NaN,-0.121977044141129,0.198866804573388,NA
lana_antigen_for_kaposis_sarcomaassociated_herpesvirus,23014,23014-0.0,f.23014.0.0,Integer,lana_antigen_for_kaposis_sarcomaassociated_herpesvirus_f23014_0_0,FALSE,lana_antigen_for_kaposis_sarcomaassociated_herpesvirus,0,antigen,antigen,2,0.951260825962418,0,0,0,NaN,0.0339305890224082,0.251728687092465,NA
k81_antigen_for_kaposis_sarcomaassociated_herpesvirus,23015,23015-0.0,f.23015.0.0,Integer,k81_antigen_for_kaposis_sarcomaassociated_herpesvirus_f23015_0_0,FALSE,k81_antigen_for_kaposis_sarcomaassociated_herpesvirus,0,antigen,antigen,2,0.764119653801582,0,0,0,NaN,-0.0127755116136742,0.149383498909507,NA
