met,PValue,adjPVal,logFC
Acetate,0.277,0.355,-0.05
Acetoacetate,0.022,0.041,-0.106
Acetone,0.41,0.494,-0.038
Ala,0.269,0.346,-0.051
Albumin,0.575,0.651,-0.026
ApoA1,0.817,0.859,0.012
ApoB,0.002,0.005,0.144
ApoB_by_ApoA1,0.01,0.021,0.121
Cholines,0.211,0.282,0.062
Citrate,0.775,0.825,0.014
Clinical_LDL_C,0.0,0.0,0.178
Creatinine,0.007,0.015,-0.146
DHA,0.223,0.295,-0.059
DHA_pct,0.373,0.456,-0.042
Gln,0.227,0.3,0.056
Glucose,0.0,0.0,-0.26
Gly,0.016,0.03,0.118
GlycA,0.004,0.009,-0.136
HDL_C,0.147,0.207,0.075
HDL_CE,0.121,0.176,0.08
HDL_CE_pct,0.0,0.001,0.178
HDL_CE_pct_C,0.095,0.142,0.078
HDL_C_pct,0.0,0.0,0.191
HDL_FC,0.287,0.366,0.056
HDL_FC_by_CE,0.1,0.148,-0.077
HDL_FC_pct,0.004,0.009,0.145
HDL_FC_pct_C,0.112,0.164,-0.074
HDL_L,0.685,0.748,0.021
HDL_P,0.488,0.57,0.034
HDL_PL,0.829,0.869,-0.011
HDL_PL_pct,0.0,0.0,-0.239
HDL_TG,0.008,0.017,-0.123
HDL_TG_pct,0.01,0.02,-0.124
HDL_size,0.255,0.332,0.059
His,0.464,0.547,0.034
IDL_C,0.0,0.0,0.192
IDL_CE,0.0,0.0,0.19
IDL_CE_pct,0.0,0.0,0.182
IDL_CE_pct_C,0.996,0.997,-0.0
IDL_C_pct,0.0,0.0,0.206
IDL_FC,0.0,0.0,0.193
IDL_FC_by_CE,0.99,0.993,0.001
IDL_FC_pct,0.001,0.004,0.146
IDL_FC_pct_C,0.966,0.975,0.002
IDL_L,0.0,0.001,0.173
IDL_P,0.001,0.002,0.16
IDL_PL,0.0,0.001,0.172
IDL_PL_pct,0.182,0.249,-0.061
IDL_TG,0.079,0.122,-0.082
IDL_TG_pct,0.0,0.0,-0.238
Ile,0.008,0.018,-0.124
LA,0.0,0.001,0.169
LA_pct,0.0,0.0,0.322
LDL_C,0.001,0.002,0.159
LDL_CE,0.002,0.005,0.143
LDL_CE_pct,0.291,0.37,0.049
LDL_CE_pct_C,0.001,0.002,-0.164
LDL_C_pct,0.0,0.0,0.232
LDL_FC,0.0,0.0,0.196
LDL_FC_by_CE,0.0,0.002,0.165
LDL_FC_pct,0.0,0.0,0.202
LDL_FC_pct_C,0.0,0.001,0.166
LDL_L,0.001,0.004,0.147
LDL_P,0.001,0.003,0.149
LDL_PL,0.001,0.002,0.156
LDL_PL_pct,0.715,0.775,0.017
LDL_TG,0.095,0.143,-0.077
LDL_TG_pct,0.0,0.0,-0.231
LDL_size,0.002,0.004,0.151
L_HDL_C,0.046,0.077,0.104
L_HDL_CE,0.034,0.06,0.11
L_HDL_CE_pct,0.0,0.0,0.201
L_HDL_CE_pct_C,0.004,0.01,0.132
L_HDL_C_pct,0.0,0.0,0.196
L_HDL_FC,0.114,0.167,0.083
L_HDL_FC_by_CE,0.007,0.016,-0.124
L_HDL_FC_pct,0.044,0.074,0.098
L_HDL_FC_pct_C,0.015,0.03,-0.112
L_HDL_L,0.181,0.247,0.071
L_HDL_P,0.083,0.127,0.091
L_HDL_PL,0.404,0.487,0.044
L_HDL_PL_pct,0.0,0.0,-0.222
L_HDL_TG,0.118,0.172,-0.075
L_HDL_TG_pct,0.013,0.026,-0.119
L_LDL_C,0.0,0.001,0.172
L_LDL_CE,0.001,0.002,0.16
L_LDL_CE_pct,0.075,0.116,0.082
L_LDL_CE_pct_C,0.0,0.001,-0.169
L_LDL_C_pct,0.0,0.0,0.232
L_LDL_FC,0.0,0.0,0.201
L_LDL_FC_by_CE,0.0,0.001,0.17
L_LDL_FC_pct,0.0,0.0,0.217
L_LDL_FC_pct_C,0.0,0.001,0.172
L_LDL_L,0.001,0.002,0.16
L_LDL_P,0.0,0.001,0.165
L_LDL_PL,0.0,0.001,0.167
L_LDL_PL_pct,0.828,0.868,0.01
L_LDL_TG,0.11,0.162,-0.074
L_LDL_TG_pct,0.0,0.0,-0.237
L_VLDL_C,0.944,0.958,-0.003
L_VLDL_CE,0.532,0.611,0.029
L_VLDL_CE_pct,0.002,0.006,0.144
L_VLDL_CE_pct_C,0.0,0.001,0.183
L_VLDL_C_pct,0.022,0.041,0.106
L_VLDL_FC,0.46,0.542,-0.035
L_VLDL_FC_by_CE,0.0,0.001,-0.183
L_VLDL_FC_pct,0.947,0.96,-0.003
L_VLDL_FC_pct_C,0.0,0.001,-0.181
L_VLDL_L,0.374,0.456,-0.042
L_VLDL_P,0.287,0.366,-0.051
L_VLDL_PL,0.309,0.389,-0.048
L_VLDL_PL_pct,0.515,0.596,-0.031
L_VLDL_TG,0.203,0.273,-0.06
L_VLDL_TG_pct,0.236,0.31,-0.055
Lactate,0.345,0.427,0.045
Leu,0.063,0.1,-0.09
MUFA,0.103,0.152,-0.076
MUFA_pct,0.004,0.009,-0.138
M_HDL_C,0.815,0.857,0.012
M_HDL_CE,0.789,0.836,0.013
M_HDL_CE_pct,0.002,0.005,0.145
M_HDL_CE_pct_C,0.69,0.753,0.02
M_HDL_C_pct,0.001,0.004,0.154
M_HDL_FC,0.909,0.931,0.006
M_HDL_FC_by_CE,0.724,0.782,-0.018
M_HDL_FC_pct,0.023,0.042,0.118
