slice_num,coord_num,PValue,adjPVal,logFC
1,100,0.549,0.627,0.022
1,101,0.54,0.619,0.022
1,102,0.678,0.743,0.015
1,103,0.818,0.86,0.008
1,104,0.875,0.905,0.006
1,105,0.635,0.705,0.018
1,106,0.822,0.863,0.008
1,107,0.944,0.958,0.003
1,108,0.772,0.822,0.011
1,109,0.821,0.862,0.008
1,110,0.905,0.928,0.004
1,111,0.834,0.872,0.008
1,112,0.812,0.854,0.009
1,113,0.573,0.649,0.021
1,114,0.837,0.875,0.008
1,115,0.903,0.927,0.005
1,116,0.961,0.971,-0.002
1,117,0.885,0.913,-0.006
1,118,0.911,0.933,0.004
1,119,0.97,0.977,0.001
1,120,0.889,0.916,-0.005
1,121,0.979,0.984,-0.001
1,122,0.88,0.909,-0.006
1,123,0.937,0.953,-0.003
1,124,0.928,0.946,0.003
1,125,0.684,0.748,0.016
1,126,0.827,0.867,0.009
1,127,0.991,0.993,0.0
1,128,0.874,0.904,-0.006
1,129,0.753,0.806,-0.012
1,130,0.679,0.743,-0.016
1,131,0.812,0.855,-0.009
1,132,0.683,0.747,-0.016
1,133,0.771,0.821,-0.011
1,134,0.663,0.73,-0.017
1,135,0.613,0.686,-0.02
1,136,0.634,0.705,-0.019
1,137,0.566,0.643,-0.023
1,138,0.491,0.572,-0.028
1,139,0.42,0.504,-0.032
1,140,0.632,0.702,-0.019
1,141,0.911,0.933,-0.004
1,142,0.795,0.841,-0.01
1,143,0.772,0.822,-0.012
1,144,0.607,0.68,-0.021
1,145,0.697,0.759,-0.016
1,146,0.633,0.704,-0.019
1,147,0.537,0.616,-0.025
1,148,0.483,0.565,-0.029
1,149,0.602,0.676,-0.021
1,150,0.504,0.585,-0.027
1,151,0.722,0.781,-0.015
1,152,0.955,0.966,-0.002
1,153,0.892,0.918,-0.006
1,154,0.863,0.895,-0.007
1,155,0.946,0.959,-0.003
1,156,0.846,0.883,-0.008
1,157,0.868,0.9,-0.007
1,158,0.721,0.78,-0.015
1,159,0.674,0.739,-0.018
1,160,0.84,0.878,-0.008
1,161,0.719,0.778,-0.015
1,162,0.768,0.818,-0.012
1,163,0.948,0.962,-0.003
1,164,0.966,0.975,-0.002
1,165,0.761,0.813,-0.013
1,166,0.65,0.719,-0.019
1,167,0.751,0.805,-0.014
1,168,0.752,0.806,-0.014
1,169,0.737,0.793,-0.015
1,170,0.814,0.857,-0.01
1,171,0.847,0.883,-0.008
1,172,0.784,0.832,-0.012
1,173,0.656,0.723,-0.02
1,174,0.758,0.811,-0.014
1,175,0.931,0.948,-0.004
1,176,0.84,0.877,-0.009
1,177,0.877,0.906,-0.007
1,178,0.904,0.928,-0.005
1,179,0.912,0.934,-0.005
1,180,0.798,0.843,-0.012
1,181,0.718,0.777,-0.017
1,182,0.656,0.724,-0.021
1,183,0.693,0.755,-0.018
1,184,0.631,0.702,-0.022
1,185,0.564,0.641,-0.027
1,186,0.634,0.704,-0.023
1,187,0.646,0.715,-0.022
1,188,0.744,0.798,-0.016
1,189,0.721,0.779,-0.017
1,190,0.762,0.814,-0.015
1,191,0.714,0.774,-0.018
1,192,0.561,0.638,-0.028
1,193,0.699,0.76,-0.019
1,194,0.872,0.902,-0.008
1,195,0.815,0.857,-0.012
1,196,0.865,0.897,-0.008
1,197,0.964,0.973,-0.002
1,198,0.778,0.827,-0.014
1,199,0.864,0.896,-0.009
1,200,0.974,0.98,0.002
1,201,0.817,0.859,-0.012
1,202,0.687,0.75,-0.021
1,203,0.73,0.787,-0.018
1,204,0.938,0.954,-0.004
1,205,0.959,0.97,-0.003
1,206,0.675,0.74,-0.022
1,207,0.547,0.625,-0.031
1,208,0.647,0.715,-0.024
1,209,0.641,0.71,-0.024
1,210,0.728,0.785,-0.018
1,211,0.697,0.759,-0.021
1,212,0.594,0.668,-0.028
1,213,0.587,0.662,-0.029
1,214,0.525,0.604,-0.034
1,215,0.608,0.681,-0.028
1,216,0.52,0.6,-0.035
1,217,0.443,0.526,-0.041
1,218,0.397,0.48,-0.046
1,219,0.414,0.497,-0.044
1,220,0.379,0.462,-0.048
1,221,0.429,0.512,-0.043
1,222,0.318,0.399,-0.055
1,223,0.335,0.416,-0.053
1,224,0.499,0.58,-0.038
1,39,0.94,0.955,0.002
1,40,0.971,0.979,0.001
1,41,0.775,0.824,-0.009
1,42,0.679,0.743,0.013
1,43,0.903,0.927,-0.004
1,44,0.822,0.863,-0.007
1,45,0.939,0.955,0.002
1,46,0.932,0.949,-0.003
1,47,0.762,0.813,-0.01
1,48,0.938,0.954,-0.003
1,49,0.989,0.992,-0.0
1,50,0.876,0.906,-0.005
1,51,0.974,0.981,0.001
1,52,0.734,0.791,-0.011
1,53,0.795,0.841,-0.008
1,54,0.939,0.955,-0.002
1,55,0.838,0.876,-0.007
1,56,0.748,0.802,-0.011
1,57,0.793,0.839,-0.009
1,58,0.884,0.912,-0.005
1,59,0.725,0.783,-0.012
1,60,0.927,0.945,0.003
1,61,0.692,0.755,0.013
1,62,0.976,0.982,0.001
1,63,0.729,0.787,0.012
1,64,0.857,0.891,0.006
1,65,0.51,0.591,0.022
1,66,0.758,0.81,0.01
1,67,0.779,0.828,0.009
1,68,0.734,0.79,0.011
1,69,0.939,0.954,0.003
1,70,0.93,0.947,0.003
1,71,0.814,0.857,-0.008
1,72,0.976,0.982,-0.001
1,73,0.997,0.997,0.0
1,74,0.963,0.973,-0.002
1,75,0.565,0.642,-0.02
1,76,0.89,0.917,-0.005
1,77,0.847,0.883,-0.007
1,78,0.807,0.851,-0.008
1,79,0.582,0.657,-0.019
1,80,0.73,0.787,-0.012
1,81,0.646,0.714,-0.016
1,82,0.963,0.973,-0.002
1,83,0.865,0.897,-0.006
1,84,0.898,0.923,-0.005
1,85,0.678,0.742,-0.015
1,86,0.66,0.727,-0.016
1,87,0.888,0.915,-0.005
1,88,0.84,0.877,0.007
1,89,0.91,0.933,0.004
1,90,0.857,0.891,0.006
1,91,0.954,0.965,-0.002
1,92,0.773,0.823,0.01
1,93,0.896,0.922,0.005
1,94,0.949,0.962,-0.002
1,95,0.787,0.835,0.01
1,96,0.736,0.792,0.012
1,97,0.712,0.772,0.013
1,98,0.706,0.766,0.014
1,99,0.87,0.901,0.006
10,10,0.382,0.465,0.028
10,100,0.984,0.988,0.001
10,101,0.918,0.938,0.004
10,102,0.845,0.881,0.007
10,103,0.883,0.912,0.005
10,104,0.854,0.888,0.007
10,105,0.639,0.708,0.017
10,106,0.667,0.733,0.016
10,107,0.927,0.945,0.003
10,108,0.98,0.985,-0.001
10,109,0.704,0.765,0.014
10,11,0.256,0.333,0.036
10,110,0.973,0.98,-0.001
10,111,0.981,0.986,0.001
10,112,0.867,0.899,0.006
10,113,0.913,0.934,-0.004
10,114,0.856,0.89,-0.007
10,115,0.939,0.954,-0.003
10,116,0.948,0.961,-0.002
10,117,0.998,0.999,0.0
10,118,0.901,0.925,-0.005
10,119,0.955,0.967,0.002
10,12,0.408,0.491,0.026
10,120,0.907,0.93,-0.004
10,121,0.919,0.939,-0.004
10,122,0.759,0.811,-0.012
10,123,0.856,0.89,-0.007
10,124,0.987,0.991,-0.001
10,125,0.77,0.82,-0.011
10,126,0.862,0.895,-0.007
10,127,0.915,0.936,0.004
10,128,0.806,0.85,-0.01
10,129,0.871,0.902,-0.006
10,13,0.506,0.586,0.021
10,130,0.99,0.993,0.0
10,131,0.998,0.999,0.0
10,132,0.866,0.898,0.007
10,133,0.911,0.933,0.004
10,134,0.839,0.876,-0.008
10,135,0.873,0.904,-0.006
10,136,0.879,0.908,-0.006
10,137,0.861,0.894,-0.007
10,138,0.824,0.865,-0.009
10,139,0.666,0.733,-0.017
10,14,0.387,0.471,0.027
10,140,0.584,0.659,-0.022
10,141,0.651,0.719,-0.018
10,142,0.827,0.867,-0.009
10,143,0.796,0.842,-0.01
10,144,0.763,0.815,-0.012
10,145,0.673,0.738,-0.017
10,146,0.465,0.548,-0.029
10,147,0.706,0.767,-0.015
10,148,0.629,0.7,-0.019
10,149,0.787,0.835,-0.011
10,15,0.684,0.748,0.013
10,150,0.768,0.818,-0.012
10,151,0.729,0.786,-0.014
10,152,0.729,0.786,-0.014
10,153,0.605,0.678,-0.021
10,154,0.756,0.809,-0.012
10,155,0.606,0.679,-0.021
10,156,0.582,0.658,-0.022
10,157,0.464,0.546,-0.029
10,158,0.525,0.605,-0.026
10,159,0.66,0.727,-0.018
10,16,0.645,0.714,0.014
10,160,0.517,0.597,-0.026
10,161,0.606,0.679,-0.021
10,162,0.65,0.718,-0.018
10,163,0.574,0.65,-0.023
10,164,0.566,0.643,-0.023
10,165,0.557,0.634,-0.024
10,166,0.453,0.536,-0.03
10,167,0.518,0.598,-0.026
10,168,0.573,0.649,-0.023
10,169,0.587,0.661,-0.022
10,17,0.48,0.562,0.022
10,170,0.439,0.522,-0.032
10,171,0.539,0.617,-0.025
10,172,0.713,0.773,-0.015
10,173,0.691,0.754,-0.016
10,174,0.619,0.69,-0.02
10,175,0.467,0.549,-0.03
10,176,0.618,0.69,-0.021
10,177,0.53,0.609,-0.026
10,178,0.559,0.636,-0.024
10,179,0.665,0.731,-0.018
10,18,0.867,0.899,0.005
10,180,0.605,0.678,-0.022
10,181,0.889,0.916,-0.006
10,182,0.744,0.799,-0.014
10,183,0.725,0.782,-0.015
10,184,0.68,0.744,-0.018
10,185,0.959,0.969,0.002
10,186,0.864,0.897,0.007
10,187,0.957,0.968,-0.002
10,188,0.838,0.876,-0.009
10,189,0.916,0.937,0.005
10,19,0.928,0.946,-0.003
10,190,0.924,0.943,0.004
10,191,0.948,0.961,0.003
10,192,0.915,0.936,-0.005
10,193,0.962,0.972,0.002
10,194,0.986,0.989,0.001
10,195,0.867,0.899,0.008
10,196,0.907,0.93,0.005
10,197,0.792,0.839,0.012
10,198,0.75,0.804,0.015
10,199,0.99,0.992,0.001
10,20,0.702,0.763,0.012
10,200,0.837,0.875,0.01
10,201,0.991,0.993,0.001
10,202,0.994,0.996,0.0
10,203,0.986,0.99,0.001
10,204,0.833,0.872,-0.01
10,205,0.973,0.98,0.002
10,206,0.965,0.974,-0.002
10,207,0.954,0.966,0.003
10,208,0.995,0.997,-0.0
10,209,0.843,0.88,-0.01
10,21,0.657,0.724,0.014
10,210,0.697,0.759,-0.019
10,211,0.766,0.817,-0.015
10,212,0.988,0.991,0.001
10,213,0.929,0.947,0.005
10,214,0.863,0.896,-0.009
10,215,0.961,0.971,-0.003
10,216,0.893,0.919,-0.007
10,217,0.698,0.76,-0.02
10,218,0.845,0.881,-0.01
10,219,0.865,0.897,-0.009
10,22,0.853,0.887,-0.006
10,220,0.909,0.932,-0.006
10,221,0.642,0.711,-0.025
10,222,0.76,0.812,-0.017
10,223,0.608,0.681,-0.028
10,224,0.747,0.801,-0.018
10,225,0.621,0.693,-0.027
10,226,0.402,0.485,-0.047
10,227,0.496,0.578,-0.038
10,228,0.484,0.566,-0.04
10,229,0.547,0.625,-0.034
10,23,0.748,0.802,0.01
10,230,0.409,0.492,-0.047
10,231,0.473,0.555,-0.041
10,232,0.286,0.365,-0.061
10,233,0.472,0.554,-0.042
10,234,0.359,0.441,-0.053
10,235,0.298,0.378,-0.061
10,236,0.457,0.539,-0.044
10,237,0.475,0.557,-0.042
10,238,0.459,0.541,-0.044
10,239,0.417,0.501,-0.048
10,24,0.92,0.94,-0.003
10,240,0.408,0.492,-0.049
10,241,0.477,0.559,-0.042
10,242,0.423,0.506,-0.048
10,243,0.473,0.555,-0.043
10,244,0.709,0.769,-0.023
10,245,0.641,0.71,-0.028
10,246,0.641,0.71,-0.029
10,247,0.648,0.717,-0.028
10,248,0.704,0.765,-0.024
10,249,0.595,0.669,-0.033
10,25,0.666,0.732,0.014
10,250,0.588,0.663,-0.034
10,251,0.6,0.673,-0.033
10,26,0.799,0.844,0.008
10,27,0.907,0.93,0.004
10,28,0.97,0.978,0.001
10,29,0.954,0.966,-0.002
10,30,0.913,0.935,-0.003
10,31,0.95,0.962,-0.002
10,32,0.877,0.907,-0.005
10,33,0.863,0.896,0.005
10,34,0.821,0.862,-0.007
10,35,0.86,0.893,0.006
10,36,0.947,0.96,0.002
10,37,0.889,0.916,0.004
10,38,0.997,0.998,0.0
10,39,0.787,0.834,-0.009
10,40,0.868,0.899,-0.005
10,41,0.896,0.921,-0.004
10,42,0.896,0.921,-0.004
10,43,0.948,0.961,-0.002
10,44,0.926,0.945,-0.003
10,45,0.95,0.963,-0.002
10,46,0.988,0.991,-0.0
10,47,0.884,0.912,0.005
10,48,0.959,0.97,-0.002
10,49,0.889,0.916,-0.004
10,50,0.971,0.978,0.001
10,51,0.993,0.995,0.0
10,52,0.949,0.962,0.002
10,53,0.89,0.917,-0.004
10,54,0.657,0.725,-0.014
10,55,0.962,0.972,0.002
10,56,0.871,0.902,-0.005
10,57,0.98,0.986,0.001
