slice_num,coord_num,PValue,adjPVal,logFC
1,100,0.241,0.316,-0.043
1,101,0.235,0.309,-0.043
1,102,0.089,0.135,-0.062
1,103,0.202,0.271,-0.047
1,104,0.308,0.388,-0.038
1,105,0.213,0.284,-0.046
1,106,0.204,0.274,-0.047
1,107,0.146,0.205,-0.054
1,108,0.138,0.196,-0.055
1,109,0.084,0.128,-0.065
1,110,0.186,0.254,-0.049
1,111,0.124,0.179,-0.058
1,112,0.062,0.099,-0.07
1,113,0.113,0.166,-0.06
1,114,0.046,0.077,-0.075
1,115,0.029,0.052,-0.083
1,116,0.062,0.099,-0.071
1,117,0.042,0.071,-0.078
1,118,0.033,0.058,-0.081
1,119,0.049,0.081,-0.075
1,120,0.067,0.106,-0.07
1,121,0.046,0.077,-0.077
1,122,0.064,0.102,-0.071
1,123,0.073,0.114,-0.069
1,124,0.08,0.123,-0.068
1,125,0.055,0.09,-0.074
1,126,0.041,0.07,-0.079
1,127,0.053,0.086,-0.075
1,128,0.03,0.053,-0.085
1,129,0.039,0.066,-0.08
1,130,0.024,0.044,-0.088
1,131,0.048,0.08,-0.077
1,132,0.04,0.068,-0.08
1,133,0.019,0.037,-0.092
1,134,0.021,0.039,-0.091
1,135,0.031,0.054,-0.085
1,136,0.06,0.097,-0.074
1,137,0.098,0.146,-0.066
1,138,0.102,0.151,-0.065
1,139,0.06,0.096,-0.075
1,140,0.042,0.07,-0.081
1,141,0.056,0.09,-0.076
1,142,0.047,0.077,-0.08
1,143,0.051,0.084,-0.078
1,144,0.147,0.208,-0.058
1,145,0.084,0.129,-0.07
1,146,0.108,0.159,-0.065
1,147,0.102,0.151,-0.066
1,148,0.078,0.121,-0.072
1,149,0.048,0.079,-0.08
1,150,0.052,0.084,-0.079
1,151,0.035,0.06,-0.086
1,152,0.029,0.051,-0.089
1,153,0.067,0.106,-0.075
1,154,0.074,0.115,-0.074
1,155,0.059,0.095,-0.078
1,156,0.056,0.09,-0.079
1,157,0.043,0.072,-0.084
1,158,0.044,0.074,-0.084
1,159,0.046,0.077,-0.083
1,160,0.05,0.082,-0.082
1,161,0.043,0.072,-0.085
1,162,0.024,0.043,-0.095
1,163,0.046,0.077,-0.084
1,164,0.057,0.093,-0.081
1,165,0.06,0.096,-0.08
1,166,0.032,0.056,-0.092
1,167,0.057,0.093,-0.082
1,168,0.057,0.093,-0.082
1,169,0.045,0.075,-0.087
1,170,0.042,0.071,-0.089
1,171,0.033,0.058,-0.093
1,172,0.036,0.061,-0.093
1,173,0.034,0.059,-0.094
1,174,0.041,0.069,-0.091
1,175,0.036,0.062,-0.094
1,176,0.031,0.055,-0.097
1,177,0.027,0.049,-0.1
1,178,0.023,0.042,-0.103
1,179,0.026,0.047,-0.101
1,180,0.028,0.05,-0.1
1,181,0.028,0.05,-0.101
1,182,0.022,0.04,-0.106
1,183,0.016,0.031,-0.111
1,184,0.025,0.046,-0.105
1,185,0.013,0.025,-0.117
1,186,0.016,0.032,-0.113
1,187,0.022,0.04,-0.109
1,188,0.015,0.029,-0.116
1,189,0.02,0.038,-0.111
1,190,0.015,0.03,-0.117
1,191,0.027,0.048,-0.107
1,192,0.035,0.061,-0.102
1,193,0.035,0.061,-0.103
1,194,0.018,0.034,-0.116
1,195,0.026,0.047,-0.11
1,196,0.032,0.056,-0.106
1,197,0.045,0.075,-0.1
1,198,0.042,0.071,-0.102
1,199,0.051,0.083,-0.098
1,200,0.025,0.046,-0.113
1,201,0.107,0.158,-0.082
1,202,0.053,0.087,-0.099
1,203,0.064,0.101,-0.095
1,204,0.069,0.109,-0.094
1,205,0.059,0.095,-0.098
1,206,0.139,0.198,-0.077
1,207,0.128,0.184,-0.079
1,208,0.073,0.114,-0.094
1,209,0.079,0.121,-0.092
1,210,0.099,0.148,-0.087
1,211,0.098,0.147,-0.087
1,212,0.103,0.152,-0.086
1,213,0.097,0.145,-0.088
1,214,0.188,0.256,-0.07
1,215,0.222,0.295,-0.065
1,216,0.265,0.342,-0.06
1,217,0.22,0.292,-0.066
1,218,0.31,0.39,-0.055
1,219,0.251,0.326,-0.062
1,220,0.433,0.516,-0.043
1,221,0.431,0.515,-0.043
1,222,0.459,0.542,-0.041
1,223,0.423,0.506,-0.044
1,224,0.587,0.662,-0.03
1,39,0.839,0.876,-0.007
1,40,0.374,0.456,-0.029
1,41,0.807,0.851,-0.008
1,42,0.611,0.683,-0.016
1,43,0.619,0.691,-0.016
1,44,0.841,0.878,0.006
1,45,0.929,0.946,-0.003
1,46,0.995,0.997,-0.0
1,47,0.844,0.881,-0.006
1,48,0.771,0.821,-0.009
1,49,0.787,0.834,-0.009
1,50,0.567,0.643,-0.019
1,51,0.53,0.61,-0.02
1,52,0.901,0.926,-0.004
1,53,0.761,0.813,-0.01
1,54,0.528,0.607,-0.021
1,55,0.617,0.689,-0.016
1,56,0.69,0.753,-0.013
1,57,0.63,0.701,-0.016
1,58,0.683,0.747,-0.013
1,59,0.485,0.566,-0.023
1,60,0.142,0.201,-0.049
1,61,0.427,0.51,-0.026
1,62,0.419,0.502,-0.027
1,63,0.392,0.475,-0.028
1,64,0.412,0.496,-0.027
1,65,0.314,0.395,-0.034
1,66,0.217,0.288,-0.041
1,67,0.209,0.279,-0.042
1,68,0.214,0.286,-0.042
1,69,0.184,0.251,-0.045
1,70,0.129,0.185,-0.051
1,71,0.326,0.407,-0.033
1,72,0.408,0.491,-0.028
1,73,0.183,0.249,-0.045
1,74,0.285,0.363,-0.037
1,75,0.323,0.404,-0.034
1,76,0.408,0.492,-0.029
1,77,0.403,0.486,-0.029
1,78,0.372,0.455,-0.031
1,79,0.403,0.487,-0.029
1,80,0.438,0.521,-0.027
1,81,0.561,0.638,-0.02
1,82,0.416,0.499,-0.028
1,83,0.303,0.383,-0.036
1,84,0.417,0.501,-0.029
1,85,0.499,0.58,-0.024
1,86,0.446,0.529,-0.027
1,87,0.287,0.365,-0.038
1,88,0.262,0.338,-0.04
1,89,0.197,0.266,-0.046
1,90,0.253,0.329,-0.041
1,91,0.26,0.336,-0.04
1,92,0.295,0.374,-0.038
1,93,0.239,0.314,-0.042
1,94,0.238,0.312,-0.043
1,95,0.241,0.315,-0.042
1,96,0.181,0.247,-0.049
1,97,0.219,0.291,-0.045
1,98,0.223,0.296,-0.044
1,99,0.298,0.378,-0.038
10,10,0.099,0.148,-0.053
10,100,0.232,0.306,-0.044
10,101,0.31,0.39,-0.037
10,102,0.265,0.342,-0.041
10,103,0.226,0.298,-0.044
10,104,0.247,0.322,-0.043
10,105,0.2,0.27,-0.047
10,106,0.18,0.247,-0.049
10,107,0.171,0.236,-0.051
10,108,0.186,0.253,-0.049
10,109,0.135,0.192,-0.056
10,11,0.092,0.139,-0.054
10,110,0.129,0.186,-0.057
10,111,0.097,0.145,-0.062
10,112,0.101,0.15,-0.061
10,113,0.109,0.161,-0.06
10,114,0.168,0.232,-0.052
10,115,0.219,0.291,-0.046
10,116,0.233,0.307,-0.045
10,117,0.105,0.156,-0.061
10,118,0.111,0.163,-0.06
10,119,0.063,0.101,-0.07
10,12,0.084,0.128,-0.055
10,120,0.146,0.206,-0.055
10,121,0.177,0.243,-0.051
10,122,0.136,0.194,-0.057
10,123,0.223,0.295,-0.047
10,124,0.146,0.206,-0.056
10,125,0.186,0.253,-0.051
10,126,0.197,0.266,-0.05
10,127,0.208,0.279,-0.049
10,128,0.142,0.201,-0.057
10,129,0.075,0.117,-0.069
10,13,0.089,0.135,-0.053
10,130,0.049,0.081,-0.076
10,131,0.071,0.111,-0.07
10,132,0.126,0.182,-0.059
10,133,0.125,0.18,-0.06
10,134,0.119,0.173,-0.061
10,135,0.088,0.133,-0.067
10,136,0.07,0.11,-0.071
10,137,0.049,0.081,-0.077
10,138,0.034,0.059,-0.083
10,139,0.103,0.152,-0.064
10,14,0.104,0.154,-0.051
10,140,0.101,0.15,-0.065
10,141,0.059,0.094,-0.074
10,142,0.025,0.046,-0.088
10,143,0.016,0.031,-0.095
10,144,0.02,0.038,-0.092
10,145,0.024,0.043,-0.09
10,146,0.022,0.041,-0.091
10,147,0.016,0.031,-0.095
10,148,0.015,0.03,-0.096
10,149,0.023,0.042,-0.091
10,15,0.049,0.081,-0.062
10,150,0.045,0.075,-0.08
10,151,0.029,0.052,-0.087
10,152,0.023,0.042,-0.091
10,153,0.04,0.068,-0.082
10,154,0.033,0.058,-0.085
10,155,0.048,0.08,-0.079
10,156,0.062,0.099,-0.075
10,157,0.068,0.108,-0.073
10,158,0.059,0.095,-0.076
10,159,0.051,0.083,-0.078
10,16,0.041,0.069,-0.064
10,160,0.094,0.141,-0.067
10,161,0.085,0.13,-0.069
10,162,0.056,0.091,-0.077
10,163,0.065,0.103,-0.074
10,164,0.097,0.146,-0.067
10,165,0.076,0.118,-0.071
10,166,0.111,0.163,-0.064
10,167,0.067,0.106,-0.074
10,168,0.063,0.101,-0.075
10,169,0.064,0.102,-0.075
10,17,0.037,0.064,-0.065
10,170,0.07,0.109,-0.074
10,171,0.111,0.163,-0.065
10,172,0.074,0.115,-0.073
10,173,0.054,0.088,-0.079
10,174,0.115,0.168,-0.064
10,175,0.106,0.157,-0.066
10,176,0.113,0.165,-0.065
10,177,0.123,0.178,-0.064
10,178,0.15,0.211,-0.059
10,179,0.144,0.204,-0.06
10,18,0.06,0.096,-0.059
10,180,0.086,0.131,-0.071
10,181,0.072,0.113,-0.075
10,182,0.087,0.132,-0.072
10,183,0.184,0.251,-0.056
10,184,0.205,0.275,-0.054
10,185,0.141,0.2,-0.063
10,186,0.119,0.172,-0.067
10,187,0.122,0.176,-0.066
10,188,0.089,0.135,-0.073
10,189,0.067,0.106,-0.079
10,19,0.068,0.107,-0.057
10,190,0.089,0.135,-0.074
10,191,0.053,0.087,-0.084
10,192,0.051,0.083,-0.086
10,193,0.082,0.126,-0.077
10,194,0.045,0.076,-0.089
10,195,0.055,0.089,-0.086
10,196,0.052,0.084,-0.088
10,197,0.027,0.048,-0.101
10,198,0.02,0.038,-0.106
10,199,0.039,0.066,-0.095
10,20,0.038,0.065,-0.065
10,200,0.029,0.051,-0.101
10,201,0.024,0.043,-0.106
10,202,0.043,0.072,-0.095
10,203,0.038,0.064,-0.099
10,204,0.042,0.07,-0.097
10,205,0.043,0.073,-0.097
10,206,0.045,0.075,-0.097
10,207,0.036,0.062,-0.102
10,208,0.052,0.085,-0.095
10,209,0.033,0.057,-0.106
10,21,0.042,0.071,-0.064
10,210,0.071,0.111,-0.09
10,211,0.058,0.094,-0.095
10,212,0.061,0.097,-0.095
10,213,0.036,0.061,-0.107
10,214,0.069,0.108,-0.093
10,215,0.06,0.096,-0.097
10,216,0.071,0.11,-0.094
10,217,0.076,0.118,-0.093
10,218,0.113,0.166,-0.084
10,219,0.071,0.111,-0.096
10,22,0.154,0.215,-0.045
10,220,0.058,0.093,-0.102
10,221,0.128,0.183,-0.082
10,222,0.054,0.088,-0.105
10,223,0.1,0.149,-0.09
10,224,0.071,0.112,-0.099
10,225,0.108,0.159,-0.089
10,226,0.196,0.265,-0.072
10,227,0.11,0.162,-0.09
10,228,0.115,0.168,-0.089
10,229,0.107,0.158,-0.091
10,23,0.074,0.115,-0.056
10,230,0.18,0.247,-0.076
10,231,0.121,0.175,-0.089
10,232,0.158,0.22,-0.081
10,233,0.11,0.162,-0.092
10,234,0.139,0.198,-0.086
10,235,0.147,0.207,-0.084
10,236,0.164,0.227,-0.081
10,237,0.194,0.263,-0.076
10,238,0.19,0.258,-0.077
10,239,0.223,0.296,-0.072
10,24,0.175,0.24,-0.042
10,240,0.234,0.308,-0.071
10,241,0.243,0.318,-0.069
10,242,0.368,0.451,-0.054
10,243,0.388,0.471,-0.052
10,244,0.316,0.397,-0.06
10,245,0.341,0.423,-0.058
10,246,0.437,0.52,-0.047
10,247,0.476,0.558,-0.044
10,248,0.552,0.63,-0.037
10,249,0.598,0.672,-0.033
10,25,0.15,0.211,-0.045
10,250,0.683,0.747,-0.026
10,251,0.737,0.793,-0.021
10,26,0.137,0.196,-0.047
10,27,0.236,0.31,-0.037
10,28,0.332,0.414,-0.03
10,29,0.184,0.251,-0.041
10,30,0.378,0.461,-0.028
10,31,0.235,0.309,-0.037
10,32,0.305,0.385,-0.032
10,33,0.181,0.247,-0.042
