slice_num,coord_num,PValue,adjPVal,logFC
1,100,0.528,0.608,0.025
1,101,0.707,0.767,0.015
1,102,0.986,0.989,-0.001
1,103,0.973,0.98,0.001
1,104,0.865,0.897,0.007
1,105,0.74,0.795,0.013
1,106,0.774,0.824,0.012
1,107,0.971,0.979,0.001
1,108,0.834,0.872,0.009
1,109,0.903,0.927,0.005
1,110,0.894,0.92,0.005
1,111,0.897,0.922,-0.005
1,112,0.92,0.94,-0.004
1,113,0.982,0.987,0.001
1,114,0.975,0.982,-0.001
1,115,0.941,0.956,-0.003
1,116,0.945,0.959,0.003
1,117,0.931,0.949,-0.004
1,118,0.886,0.914,-0.006
1,119,0.838,0.876,-0.009
1,120,0.842,0.879,-0.008
1,121,0.835,0.873,-0.009
1,122,0.855,0.889,-0.008
1,123,0.996,0.997,-0.0
1,124,0.848,0.884,-0.008
1,125,0.953,0.965,-0.003
1,126,0.867,0.899,0.007
1,127,0.887,0.914,0.006
1,128,0.699,0.76,0.017
1,129,0.879,0.908,0.007
1,130,0.941,0.956,0.003
1,131,0.783,0.831,0.012
1,132,0.928,0.946,0.004
1,133,0.937,0.953,0.003
1,134,0.928,0.946,0.004
1,135,0.805,0.849,0.011
1,136,0.786,0.834,0.012
1,137,0.77,0.82,0.013
1,138,0.917,0.938,0.005
1,139,0.98,0.986,-0.001
1,140,0.898,0.923,0.006
1,141,0.843,0.88,0.009
1,142,0.912,0.933,0.005
1,143,0.962,0.972,0.002
1,144,0.938,0.954,-0.003
1,145,0.954,0.966,0.003
1,146,0.864,0.897,-0.008
1,147,0.95,0.963,0.003
1,148,0.872,0.903,0.007
1,149,1.0,1.0,-0.0
1,150,0.888,0.915,0.006
1,151,0.909,0.932,0.005
1,152,0.946,0.959,-0.003
1,153,0.869,0.901,-0.007
1,154,0.717,0.776,0.016
1,155,0.781,0.83,0.013
1,156,0.9,0.925,0.006
1,157,0.608,0.68,0.023
1,158,0.845,0.882,0.009
1,159,0.764,0.815,0.014
1,160,0.794,0.84,0.012
1,161,0.984,0.988,0.001
1,162,0.853,0.888,0.009
1,163,0.831,0.87,0.01
1,164,0.891,0.917,0.006
1,165,0.83,0.87,0.01
1,166,0.879,0.908,-0.007
1,167,0.904,0.928,-0.006
1,168,0.999,0.999,-0.0
1,169,0.795,0.841,-0.012
1,170,0.861,0.894,-0.008
1,171,0.757,0.81,-0.015
1,172,0.766,0.818,-0.014
1,173,0.68,0.744,-0.02
1,174,0.816,0.858,-0.011
1,175,0.94,0.955,-0.004
1,176,0.722,0.781,-0.017
