slice_num,coord_num,PValue,adjPVal,logFC
1,100,0.05,0.082,0.071
1,101,0.01,0.021,0.093
1,102,0.007,0.015,0.098
1,103,0.017,0.032,0.088
1,104,0.012,0.024,0.092
1,105,0.012,0.025,0.092
1,106,0.01,0.021,0.095
1,107,0.021,0.039,0.085
1,108,0.02,0.037,0.087
1,109,0.008,0.016,0.099
1,110,0.009,0.02,0.097
1,111,0.014,0.027,0.092
1,112,0.006,0.013,0.103
1,113,0.007,0.015,0.102
1,114,0.007,0.016,0.101
1,115,0.003,0.007,0.113
1,116,0.003,0.008,0.112
1,117,0.003,0.008,0.112
1,118,0.006,0.013,0.105
1,119,0.005,0.011,0.107
1,120,0.002,0.005,0.12
1,121,0.001,0.004,0.122
1,122,0.003,0.007,0.114
1,123,0.003,0.007,0.115
1,124,0.002,0.005,0.118
1,125,0.004,0.01,0.11
1,126,0.003,0.006,0.117
1,127,0.001,0.004,0.124
1,128,0.001,0.003,0.128
1,129,0.001,0.004,0.123
1,130,0.001,0.004,0.124
1,131,0.001,0.003,0.125
1,132,0.001,0.002,0.13
1,133,0.001,0.002,0.132
1,134,0.001,0.004,0.126
1,135,0.0,0.001,0.14
1,136,0.0,0.002,0.137
1,137,0.002,0.004,0.125
1,138,0.001,0.003,0.129
1,139,0.0,0.002,0.138
1,140,0.001,0.002,0.136
1,141,0.001,0.002,0.135
1,142,0.0,0.001,0.142
1,143,0.0,0.001,0.146
1,144,0.0,0.001,0.14
1,145,0.0,0.001,0.141
1,146,0.0,0.0,0.155
1,147,0.0,0.001,0.154
1,148,0.0,0.0,0.157
1,149,0.0,0.001,0.151
1,150,0.0,0.0,0.155
1,151,0.0,0.0,0.161
1,152,0.0,0.0,0.158
1,153,0.0,0.001,0.151
1,154,0.0,0.0,0.157
1,155,0.0,0.001,0.155
1,156,0.0,0.001,0.146
1,157,0.0,0.001,0.15
1,158,0.001,0.002,0.144
1,159,0.0,0.001,0.151
1,160,0.0,0.001,0.149
1,161,0.0,0.001,0.149
1,162,0.0,0.002,0.146
1,163,0.0,0.001,0.149
1,164,0.0,0.001,0.149
1,165,0.001,0.002,0.143
1,166,0.0,0.001,0.154
1,167,0.001,0.002,0.143
1,168,0.001,0.003,0.143
1,169,0.002,0.006,0.131
1,170,0.001,0.002,0.146
1,171,0.0,0.001,0.16
1,172,0.0,0.001,0.153
1,173,0.001,0.003,0.145
1,174,0.002,0.005,0.137
1,175,0.004,0.009,0.129
1,176,0.004,0.008,0.13
1,177,0.003,0.008,0.131
1,178,0.006,0.014,0.123
1,179,0.004,0.01,0.13
1,180,0.006,0.013,0.126
1,181,0.009,0.018,0.12
1,182,0.007,0.016,0.123
1,183,0.012,0.023,0.116
1,184,0.01,0.02,0.12
1,185,0.01,0.02,0.121
1,186,0.009,0.019,0.123
1,187,0.014,0.028,0.116
1,188,0.007,0.016,0.127
1,189,0.011,0.023,0.121
1,190,0.014,0.028,0.117
1,191,0.022,0.041,0.11
1,192,0.011,0.022,0.123
1,193,0.017,0.033,0.116
1,194,0.018,0.034,0.116
1,195,0.015,0.029,0.12
1,196,0.012,0.024,0.124
1,197,0.012,0.025,0.124
1,198,0.011,0.023,0.126
1,199,0.014,0.028,0.123
1,200,0.01,0.021,0.129
1,201,0.008,0.018,0.133
1,202,0.007,0.014,0.138
1,203,0.009,0.018,0.133
1,204,0.006,0.014,0.14
1,205,0.006,0.013,0.141
1,206,0.004,0.01,0.147
1,207,0.005,0.012,0.144
1,208,0.007,0.015,0.14
1,209,0.003,0.006,0.157
1,210,0.005,0.012,0.145
1,211,0.004,0.009,0.152
1,212,0.003,0.008,0.154
1,213,0.001,0.004,0.17
1,214,0.002,0.006,0.161
1,215,0.003,0.008,0.156
1,216,0.002,0.005,0.165
1,217,0.001,0.004,0.172
1,218,0.002,0.004,0.17
1,219,0.004,0.009,0.156
1,220,0.002,0.006,0.165
1,221,0.004,0.009,0.157
1,222,0.003,0.007,0.163
1,223,0.003,0.007,0.162
1,224,0.004,0.009,0.16
1,39,0.029,0.052,0.07
1,40,0.053,0.086,0.062
1,41,0.033,0.058,0.068
1,42,0.027,0.049,0.071
1,43,0.025,0.046,0.072
1,44,0.015,0.029,0.078
1,45,0.008,0.017,0.085
1,46,0.015,0.03,0.078
1,47,0.042,0.071,0.065
1,48,0.019,0.036,0.076
1,49,0.042,0.071,0.066
1,50,0.035,0.06,0.068
1,51,0.032,0.056,0.07
1,52,0.015,0.029,0.079
1,53,0.036,0.062,0.068
1,54,0.022,0.041,0.074
1,55,0.018,0.034,0.077
1,56,0.018,0.033,0.078
1,57,0.019,0.036,0.077
1,58,0.012,0.024,0.082
1,59,0.028,0.05,0.072
1,60,0.036,0.062,0.069
