slice_num,coord_num,PValue,adjPVal,logFC
1,100,0.394,0.478,0.033
1,101,0.326,0.408,0.038
1,102,0.473,0.555,0.028
1,103,0.509,0.589,0.026
1,104,0.367,0.449,0.036
1,105,0.337,0.419,0.038
1,106,0.325,0.406,0.039
1,107,0.526,0.605,0.025
1,108,0.446,0.528,0.03
1,109,0.388,0.471,0.034
1,110,0.383,0.466,0.035
1,111,0.547,0.625,0.024
1,112,0.428,0.511,0.032
1,113,0.37,0.453,0.036
1,114,0.431,0.514,0.032
1,115,0.35,0.432,0.038
1,116,0.28,0.358,0.044
1,117,0.378,0.461,0.036
1,118,0.47,0.552,0.03
1,119,0.474,0.556,0.029
1,120,0.358,0.441,0.038
1,121,0.344,0.426,0.039
1,122,0.375,0.458,0.037
1,123,0.322,0.403,0.041
1,124,0.38,0.463,0.036
1,125,0.393,0.476,0.035
1,126,0.255,0.331,0.047
1,127,0.21,0.281,0.052
1,128,0.147,0.208,0.06
1,129,0.224,0.297,0.051
1,130,0.239,0.313,0.049
1,131,0.167,0.231,0.058
1,132,0.187,0.254,0.055
1,133,0.208,0.279,0.053
1,134,0.247,0.323,0.049
1,135,0.134,0.191,0.063
1,136,0.14,0.199,0.062
1,137,0.182,0.249,0.057
1,138,0.216,0.287,0.053
1,139,0.225,0.298,0.052
1,140,0.201,0.271,0.054
1,141,0.188,0.256,0.056
1,142,0.181,0.248,0.057
1,143,0.186,0.253,0.057
1,144,0.249,0.324,0.05
1,145,0.21,0.281,0.054
1,146,0.187,0.254,0.057
1,147,0.136,0.194,0.065
1,148,0.119,0.172,0.068
1,149,0.17,0.235,0.06
1,150,0.128,0.185,0.066
1,151,0.119,0.173,0.068
1,152,0.173,0.239,0.059
1,153,0.23,0.304,0.053
1,154,0.089,0.134,0.075
1,155,0.113,0.165,0.07
1,156,0.189,0.257,0.058
1,157,0.095,0.143,0.074
1,158,0.178,0.244,0.06
1,159,0.139,0.197,0.066
1,160,0.152,0.213,0.064
1,161,0.222,0.295,0.055
1,162,0.192,0.26,0.059
1,163,0.178,0.244,0.061
1,164,0.214,0.286,0.056
1,165,0.204,0.274,0.058
1,166,0.265,0.342,0.051
1,167,0.307,0.388,0.047
1,168,0.249,0.324,0.053
1,169,0.424,0.507,0.037
1,170,0.304,0.384,0.048
1,171,0.305,0.385,0.048
1,172,0.382,0.465,0.041
