slice_num,coord_num,PValue,adjPVal,logFC
1,100,0.232,0.306,0.045
1,101,0.267,0.344,0.041
1,102,0.348,0.43,0.035
1,103,0.387,0.47,0.033
1,104,0.367,0.449,0.034
1,105,0.228,0.301,0.046
1,106,0.383,0.466,0.033
1,107,0.435,0.518,0.03
1,108,0.213,0.284,0.048
1,109,0.239,0.314,0.045
1,110,0.263,0.34,0.043
1,111,0.298,0.377,0.04
1,112,0.188,0.255,0.051
1,113,0.115,0.167,0.061
1,114,0.199,0.268,0.05
1,115,0.124,0.179,0.06
1,116,0.191,0.259,0.051
1,117,0.324,0.405,0.039
1,118,0.173,0.238,0.053
1,119,0.25,0.325,0.045
1,120,0.174,0.239,0.054
1,121,0.22,0.293,0.048
1,122,0.178,0.244,0.053
1,123,0.211,0.282,0.049
1,124,0.11,0.161,0.064
1,125,0.169,0.233,0.055
1,126,0.26,0.337,0.045
1,127,0.237,0.311,0.047
1,128,0.26,0.337,0.045
1,129,0.339,0.42,0.038
1,130,0.693,0.756,0.016
1,131,0.442,0.525,0.031
1,132,0.438,0.521,0.031
1,133,0.466,0.549,0.029
1,134,0.713,0.773,0.015
1,135,0.669,0.735,0.017
1,136,0.434,0.517,0.032
1,137,0.598,0.672,0.021
1,138,0.523,0.603,0.026
1,139,0.548,0.626,0.024
1,140,0.516,0.596,0.026
1,141,0.515,0.596,0.027
1,142,0.635,0.705,0.019
1,143,0.526,0.606,0.026
1,144,0.501,0.582,0.028
1,145,0.563,0.64,0.024
1,146,0.718,0.777,0.015
1,147,0.621,0.693,0.021
1,148,0.793,0.839,0.011
1,149,0.661,0.728,0.018
1,150,0.609,0.682,0.021
1,151,0.732,0.789,0.014
1,152,0.586,0.661,0.023
1,153,0.522,0.602,0.027
1,154,0.404,0.488,0.035
1,155,0.478,0.56,0.03
1,156,0.408,0.491,0.035
1,157,0.465,0.548,0.031
1,158,0.575,0.651,0.024
1,159,0.625,0.697,0.021
1,160,0.398,0.481,0.036
1,161,0.512,0.592,0.028
1,162,0.631,0.701,0.021
1,163,0.427,0.51,0.034
1,164,0.563,0.64,0.025
1,165,0.696,0.758,0.017
1,166,0.821,0.862,0.01
1,167,0.679,0.744,0.018
1,168,0.673,0.738,0.019
1,169,0.781,0.829,0.012
1,170,0.749,0.803,0.014
1,171,0.624,0.695,0.022
1,172,0.612,0.684,0.023
1,173,0.642,0.711,0.021
1,174,0.736,0.792,0.015
1,175,0.761,0.813,0.014
1,176,0.769,0.82,0.013
1,177,0.612,0.684,0.023
1,178,0.584,0.659,0.025
1,179,0.529,0.608,0.029
1,180,0.587,0.661,0.025
1,181,0.404,0.487,0.039
1,182,0.628,0.699,0.023
1,183,0.608,0.681,0.024
1,184,0.857,0.891,0.009
1,185,0.904,0.928,0.006
1,186,0.643,0.712,0.022
1,187,0.62,0.692,0.024
1,188,0.719,0.778,0.018
1,189,0.76,0.812,0.015
1,190,0.702,0.763,0.019
1,191,0.697,0.759,0.019
1,192,1.0,1.0,-0.0
1,193,0.846,0.882,0.01
1,194,0.71,0.77,0.019
1,195,0.913,0.934,0.006
1,196,0.74,0.795,0.017
1,197,0.627,0.698,0.025
1,198,0.764,0.816,0.015
1,199,0.746,0.8,0.017
1,200,0.753,0.806,0.016
1,201,0.57,0.646,0.03
1,202,0.632,0.702,0.025
1,203,0.805,0.849,0.013
1,204,0.671,0.736,0.022
1,205,0.931,0.949,0.005
1,206,0.851,0.886,0.01
1,207,0.944,0.958,0.004
1,208,0.965,0.974,0.002
1,209,0.852,0.887,0.01
1,210,0.622,0.694,0.026
1,211,0.741,0.797,0.018
1,212,0.86,0.893,0.01
1,213,0.863,0.895,0.009
1,214,0.66,0.727,0.024
1,215,0.516,0.597,0.036
1,216,0.654,0.721,0.025
1,217,0.751,0.805,0.018
1,218,0.57,0.646,0.032
1,219,0.574,0.65,0.031
1,220,0.517,0.597,0.036
1,221,0.49,0.572,0.039
1,222,0.627,0.698,0.027
1,223,0.484,0.566,0.039
1,224,0.469,0.551,0.041
1,39,0.35,0.432,0.031
1,40,0.445,0.528,0.025
1,41,0.332,0.413,0.032
1,42,0.419,0.502,0.027
1,43,0.499,0.58,0.022
1,44,0.387,0.47,0.029
1,45,0.226,0.299,0.04
1,46,0.304,0.384,0.034
1,47,0.53,0.61,0.021
1,48,0.398,0.481,0.028
1,49,0.268,0.345,0.037
1,50,0.145,0.205,0.048
1,51,0.122,0.177,0.052
1,52,0.247,0.323,0.039
1,53,0.206,0.276,0.042
1,54,0.294,0.373,0.035
1,55,0.125,0.18,0.051
1,56,0.14,0.199,0.05
1,57,0.218,0.29,0.042
1,58,0.076,0.118,0.06
1,59,0.191,0.259,0.044
1,60,0.227,0.3,0.041
1,61,0.073,0.113,0.061
1,62,0.169,0.233,0.047
1,63,0.143,0.203,0.05
1,64,0.172,0.237,0.047
1,65,0.07,0.11,0.062
1,66,0.236,0.311,0.041
1,67,0.241,0.316,0.04
1,68,0.24,0.314,0.041
1,69,0.275,0.353,0.038
1,70,0.267,0.344,0.038
1,71,0.276,0.354,0.038
1,72,0.255,0.332,0.04
1,73,0.173,0.239,0.048
1,74,0.238,0.312,0.041
1,75,0.237,0.312,0.042
1,76,0.214,0.285,0.044
1,77,0.367,0.449,0.032
1,78,0.374,0.457,0.032
1,79,0.366,0.449,0.032
1,80,0.357,0.439,0.033
1,81,0.402,0.485,0.03
1,82,0.273,0.351,0.039
1,83,0.305,0.385,0.037
1,84,0.359,0.441,0.033
1,85,0.356,0.439,0.033
1,86,0.397,0.481,0.031
1,87,0.432,0.515,0.029
1,88,0.404,0.487,0.03
1,89,0.52,0.6,0.023
1,90,0.262,0.339,0.041
1,91,0.39,0.473,0.031
1,92,0.366,0.448,0.033
1,93,0.417,0.5,0.03
1,94,0.315,0.395,0.037
1,95,0.362,0.445,0.034
1,96,0.325,0.406,0.037
1,97,0.264,0.341,0.041
1,98,0.437,0.52,0.029
