slice_num,coord_num,PValue,adjPVal,logFC
1,100,0.257,0.334,-0.048
1,101,0.333,0.415,-0.041
1,102,0.255,0.331,-0.049
1,103,0.161,0.224,-0.06
1,104,0.402,0.486,-0.036
1,105,0.266,0.343,-0.048
1,106,0.262,0.339,-0.048
1,107,0.235,0.308,-0.052
1,108,0.238,0.312,-0.051
1,109,0.303,0.383,-0.045
1,110,0.317,0.398,-0.044
1,111,0.37,0.453,-0.039
1,112,0.246,0.321,-0.051
1,113,0.363,0.445,-0.04
1,114,0.378,0.461,-0.039
1,115,0.398,0.481,-0.037
1,116,0.497,0.578,-0.03
1,117,0.493,0.574,-0.031
1,118,0.288,0.367,-0.047
1,119,0.317,0.398,-0.045
1,120,0.448,0.531,-0.034
1,121,0.477,0.559,-0.032
1,122,0.356,0.439,-0.041
1,123,0.256,0.332,-0.051
1,124,0.33,0.411,-0.044
1,125,0.481,0.563,-0.032
1,126,0.285,0.364,-0.049
1,127,0.369,0.452,-0.041
1,128,0.293,0.372,-0.048
1,129,0.271,0.348,-0.05
1,130,0.329,0.41,-0.045
1,131,0.323,0.404,-0.045
1,132,0.436,0.519,-0.035
1,133,0.357,0.439,-0.042
1,134,0.295,0.374,-0.048
1,135,0.259,0.336,-0.052
1,136,0.319,0.4,-0.046
1,137,0.372,0.455,-0.041
1,138,0.426,0.509,-0.037
1,139,0.241,0.315,-0.054
1,140,0.2,0.27,-0.059
1,141,0.263,0.34,-0.052
1,142,0.307,0.387,-0.048
1,143,0.28,0.358,-0.051
1,144,0.315,0.395,-0.047
1,145,0.262,0.339,-0.053
1,146,0.345,0.427,-0.045
1,147,0.341,0.423,-0.045
1,148,0.236,0.311,-0.056
1,149,0.297,0.376,-0.049
1,150,0.3,0.38,-0.049
1,151,0.363,0.446,-0.043
1,152,0.273,0.351,-0.052
1,153,0.395,0.478,-0.041
1,154,0.457,0.539,-0.036
1,155,0.617,0.689,-0.024
1,156,0.533,0.612,-0.03
1,157,0.44,0.523,-0.037
1,158,0.537,0.616,-0.03
1,159,0.296,0.376,-0.051
1,160,0.321,0.402,-0.048
1,161,0.289,0.368,-0.052
1,162,0.304,0.383,-0.051
1,163,0.377,0.46,-0.044
1,164,0.359,0.441,-0.045
1,165,0.244,0.319,-0.058
1,166,0.284,0.363,-0.053
1,167,0.204,0.274,-0.064
1,168,0.244,0.319,-0.059
1,169,0.201,0.27,-0.065
1,170,0.213,0.284,-0.063
1,171,0.33,0.411,-0.05
1,172,0.249,0.325,-0.059
1,173,0.322,0.403,-0.051
1,174,0.287,0.366,-0.055
1,175,0.276,0.354,-0.057
1,176,0.372,0.455,-0.047
1,177,0.308,0.388,-0.054
1,178,0.371,0.454,-0.047
1,179,0.357,0.44,-0.049
1,180,0.299,0.379,-0.055
1,181,0.287,0.366,-0.057
1,182,0.29,0.369,-0.057
1,183,0.305,0.385,-0.055
1,184,0.318,0.399,-0.054
1,185,0.429,0.512,-0.043
1,186,0.406,0.489,-0.046
1,187,0.33,0.412,-0.054
1,188,0.437,0.52,-0.043
1,189,0.417,0.501,-0.045
1,190,0.331,0.412,-0.055
1,191,0.468,0.55,-0.041
1,192,0.647,0.715,-0.026
1,193,0.558,0.636,-0.033
1,194,0.654,0.722,-0.026
1,195,0.547,0.626,-0.035
1,196,0.62,0.691,-0.029
1,197,0.607,0.68,-0.03
1,198,0.517,0.597,-0.038
1,199,0.77,0.82,-0.017
1,200,0.583,0.658,-0.032
1,201,0.789,0.836,-0.016
1,202,0.845,0.882,-0.012
1,203,0.578,0.654,-0.033
1,204,0.603,0.676,-0.031
1,205,0.587,0.662,-0.033
1,206,0.804,0.848,-0.015
1,207,0.767,0.818,-0.018
1,208,0.616,0.688,-0.031
1,209,0.625,0.696,-0.03
1,210,0.52,0.6,-0.039
1,211,0.629,0.7,-0.03
1,212,0.783,0.831,-0.017
1,213,0.81,0.853,-0.015
1,214,0.532,0.611,-0.039
1,215,0.645,0.713,-0.029
1,216,0.8,0.845,-0.016
1,217,0.792,0.839,-0.017
1,218,0.856,0.89,-0.011
1,219,0.877,0.907,-0.01
1,220,0.869,0.9,-0.01
1,221,0.759,0.811,-0.02
1,222,0.846,0.882,-0.012
1,223,0.719,0.778,-0.023
1,224,0.906,0.929,-0.008
1,39,0.205,0.275,-0.048
1,40,0.196,0.264,-0.049
1,41,0.216,0.288,-0.046
1,42,0.084,0.129,-0.065
