slice_num,coord_num,PValue,adjPVal,logFC
1,100,0.888,0.915,-0.005
1,101,0.97,0.978,-0.001
1,102,0.906,0.929,-0.005
1,103,0.808,0.852,-0.009
1,104,0.942,0.956,0.003
1,105,0.887,0.914,0.006
1,106,0.99,0.992,0.001
1,107,0.92,0.94,-0.004
1,108,0.922,0.941,0.004
1,109,0.94,0.955,-0.003
1,110,0.8,0.845,-0.01
1,111,0.805,0.849,-0.01
1,112,0.878,0.908,-0.006
1,113,0.686,0.75,-0.016
1,114,0.549,0.627,-0.024
1,115,0.728,0.785,-0.014
1,116,0.911,0.933,0.004
1,117,0.943,0.958,-0.003
1,118,0.627,0.698,-0.019
1,119,0.723,0.781,-0.014
1,120,0.917,0.938,-0.004
1,121,0.868,0.9,-0.007
1,122,0.849,0.885,-0.008
1,123,0.717,0.776,-0.015
1,124,0.963,0.972,-0.002
1,125,0.983,0.987,0.001
1,126,0.89,0.917,0.006
1,127,0.75,0.804,0.013
1,128,0.858,0.891,0.007
1,129,0.956,0.967,0.002
1,130,0.768,0.819,0.012
1,131,0.852,0.887,0.008
1,132,0.972,0.979,0.001
1,133,0.952,0.965,-0.002
1,134,0.924,0.943,0.004
1,135,0.834,0.872,0.009
1,136,0.754,0.807,0.013
1,137,0.827,0.867,0.009
1,138,0.889,0.916,0.006
1,139,0.984,0.988,-0.001
1,140,0.867,0.899,-0.007
1,141,0.999,1.0,0.0
1,142,0.899,0.924,0.005
1,143,0.907,0.93,-0.005
1,144,0.889,0.916,-0.006
1,145,0.913,0.935,-0.005
1,146,0.949,0.962,-0.003
1,147,0.995,0.996,0.0
1,148,0.893,0.919,0.006
1,149,0.812,0.855,-0.01
1,150,0.977,0.983,0.001
1,151,0.855,0.89,0.008
1,152,0.738,0.794,0.014
1,153,0.877,0.907,0.007
1,154,0.616,0.688,0.022
1,155,0.644,0.713,0.02
1,156,0.784,0.832,0.012
1,157,0.643,0.712,0.02
1,158,0.789,0.836,0.012
1,159,0.661,0.728,0.019
1,160,0.877,0.906,0.007
1,161,0.788,0.835,0.012
1,162,0.724,0.782,0.016
1,163,0.735,0.792,0.015
1,164,0.921,0.941,0.004
1,165,0.986,0.99,0.001
1,166,0.843,0.88,0.009
1,167,0.997,0.998,-0.0
1,168,0.903,0.927,-0.006
1,169,0.957,0.968,-0.002
1,170,0.951,0.964,0.003
1,171,0.749,0.803,0.015
1,172,0.736,0.792,0.016
