slice_num,coord_num,PValue,adjPVal,logFC
1,100,0.0,0.001,-0.13
1,101,0.001,0.002,-0.123
1,102,0.0,0.001,-0.14
1,103,0.0,0.001,-0.13
1,104,0.001,0.003,-0.123
1,105,0.0,0.001,-0.13
1,106,0.0,0.001,-0.132
1,107,0.0,0.001,-0.134
1,108,0.001,0.003,-0.123
1,109,0.0,0.001,-0.133
1,110,0.001,0.002,-0.127
1,111,0.001,0.002,-0.128
1,112,0.002,0.005,-0.117
1,113,0.001,0.003,-0.125
1,114,0.0,0.001,-0.134
1,115,0.001,0.002,-0.13
1,116,0.001,0.003,-0.127
1,117,0.001,0.004,-0.123
1,118,0.0,0.001,-0.138
1,119,0.0,0.001,-0.137
1,120,0.001,0.003,-0.127
1,121,0.002,0.006,-0.118
1,122,0.002,0.006,-0.118
1,123,0.001,0.002,-0.131
1,124,0.001,0.002,-0.133
1,125,0.001,0.003,-0.127
1,126,0.001,0.002,-0.134
1,127,0.003,0.007,-0.117
1,128,0.002,0.005,-0.121
1,129,0.001,0.003,-0.127
1,130,0.002,0.005,-0.121
1,131,0.001,0.004,-0.126
1,132,0.001,0.003,-0.131
1,133,0.001,0.003,-0.131
1,134,0.002,0.006,-0.12
1,135,0.003,0.008,-0.117
1,136,0.006,0.013,-0.11
1,137,0.005,0.012,-0.111
1,138,0.005,0.011,-0.112
1,139,0.002,0.005,-0.125
1,140,0.001,0.003,-0.129
1,141,0.004,0.009,-0.117
1,142,0.005,0.011,-0.114
1,143,0.01,0.02,-0.105
1,144,0.009,0.019,-0.106
1,145,0.006,0.014,-0.111
1,146,0.022,0.04,-0.093
1,147,0.034,0.058,-0.087
1,148,0.019,0.036,-0.096
1,149,0.016,0.032,-0.098
1,150,0.016,0.031,-0.098
1,151,0.018,0.034,-0.097
1,152,0.017,0.033,-0.098
1,153,0.019,0.035,-0.097
1,154,0.033,0.057,-0.088
1,155,0.033,0.057,-0.089
1,156,0.022,0.04,-0.096
1,157,0.029,0.051,-0.091
1,158,0.022,0.041,-0.096
1,159,0.021,0.039,-0.097
1,160,0.013,0.026,-0.104
1,161,0.015,0.03,-0.102
1,162,0.019,0.035,-0.1
1,163,0.029,0.052,-0.093
1,164,0.022,0.041,-0.098
1,165,0.016,0.031,-0.104
1,166,0.017,0.032,-0.103
1,167,0.024,0.043,-0.098
1,168,0.037,0.064,-0.09
1,169,0.033,0.058,-0.093
1,170,0.035,0.061,-0.093
1,171,0.03,0.054,-0.095
1,172,0.015,0.029,-0.108
1,173,0.029,0.051,-0.098
1,174,0.026,0.047,-0.1
1,175,0.014,0.027,-0.111
1,176,0.013,0.026,-0.112
1,177,0.009,0.019,-0.118
1,178,0.009,0.019,-0.119
1,179,0.022,0.04,-0.105
1,180,0.021,0.039,-0.106
1,181,0.016,0.031,-0.111
1,182,0.032,0.055,-0.1
1,183,0.018,0.034,-0.11
1,184,0.017,0.032,-0.112
1,185,0.053,0.086,-0.092
1,186,0.043,0.073,-0.096
1,187,0.024,0.044,-0.108
1,188,0.033,0.058,-0.102
1,189,0.021,0.039,-0.111
1,190,0.012,0.024,-0.122
1,191,0.011,0.023,-0.124
1,192,0.03,0.053,-0.106
1,193,0.022,0.04,-0.113
1,194,0.015,0.03,-0.12
1,195,0.016,0.032,-0.119
1,196,0.033,0.058,-0.106
1,197,0.021,0.039,-0.115
1,198,0.02,0.037,-0.118
1,199,0.019,0.036,-0.119
1,200,0.023,0.041,-0.116
1,201,0.041,0.069,-0.105
1,202,0.035,0.06,-0.108
1,203,0.031,0.054,-0.111
1,204,0.019,0.035,-0.122
1,205,0.017,0.032,-0.125
1,206,0.037,0.063,-0.109
1,207,0.032,0.056,-0.113
1,208,0.026,0.047,-0.117
1,209,0.027,0.048,-0.117
1,210,0.02,0.038,-0.123
1,211,0.042,0.07,-0.108
1,212,0.035,0.06,-0.112
1,213,0.076,0.118,-0.095
1,214,0.067,0.105,-0.098
1,215,0.065,0.102,-0.1
1,216,0.09,0.137,-0.092
1,217,0.104,0.154,-0.088
1,218,0.116,0.169,-0.086
1,219,0.098,0.146,-0.09
1,220,0.176,0.242,-0.074
1,221,0.137,0.195,-0.082
1,222,0.177,0.243,-0.075
1,223,0.206,0.277,-0.07
1,224,0.26,0.336,-0.063
1,39,0.0,0.001,-0.114
1,40,0.0,0.0,-0.138
1,41,0.0,0.001,-0.12
1,42,0.0,0.0,-0.13
1,43,0.0,0.001,-0.123
1,44,0.0,0.001,-0.121
1,45,0.0,0.001,-0.115
1,46,0.0,0.001,-0.123
1,47,0.0,0.0,-0.135
1,48,0.0,0.001,-0.124
1,49,0.0,0.0,-0.131
1,50,0.0,0.0,-0.135
1,51,0.0,0.001,-0.124
1,52,0.0,0.001,-0.124
1,53,0.0,0.0,-0.139
1,54,0.0,0.001,-0.117
1,55,0.0,0.001,-0.126
1,56,0.0,0.001,-0.126
1,57,0.0,0.0,-0.128
1,58,0.0,0.001,-0.118
1,59,0.0,0.0,-0.137
1,60,0.0,0.0,-0.138
1,61,0.0,0.001,-0.126
1,62,0.0,0.0,-0.137
1,63,0.0,0.001,-0.126
1,64,0.0,0.001,-0.128
1,65,0.0,0.0,-0.14
1,66,0.0,0.001,-0.125
1,67,0.0,0.0,-0.15
1,68,0.0,0.0,-0.139
1,69,0.0,0.0,-0.146
1,70,0.0,0.0,-0.148
1,71,0.0,0.0,-0.136
1,72,0.0,0.001,-0.13
1,73,0.0,0.0,-0.132
1,74,0.0,0.0,-0.137
1,75,0.0,0.0,-0.136
1,76,0.0,0.001,-0.131
1,77,0.0,0.001,-0.123
1,78,0.001,0.004,-0.112
1,79,0.0,0.001,-0.13
1,80,0.001,0.003,-0.116
1,81,0.001,0.002,-0.121
1,82,0.001,0.003,-0.116
1,83,0.0,0.001,-0.126
1,84,0.0,0.001,-0.135
1,85,0.001,0.002,-0.119
1,86,0.001,0.003,-0.118
1,87,0.001,0.003,-0.116
1,88,0.0,0.001,-0.134
1,89,0.0,0.001,-0.129
1,90,0.0,0.001,-0.132
1,91,0.001,0.002,-0.125
1,92,0.0,0.001,-0.13
1,93,0.0,0.0,-0.142
1,94,0.001,0.002,-0.121
1,95,0.001,0.002,-0.122
1,96,0.0,0.001,-0.131
1,97,0.001,0.002,-0.126
1,98,0.0,0.001,-0.135
1,99,0.0,0.002,-0.128
