slice_num,coord_num,PValue,adjPVal,logFC
1,100,0.041,0.07,0.083
1,101,0.079,0.122,0.072
1,102,0.143,0.203,0.06
1,103,0.147,0.207,0.06
1,104,0.156,0.218,0.059
1,105,0.097,0.145,0.069
1,106,0.11,0.161,0.066
1,107,0.15,0.211,0.06
1,108,0.127,0.183,0.064
1,109,0.137,0.195,0.062
1,110,0.152,0.213,0.06
1,111,0.212,0.283,0.052
1,112,0.202,0.272,0.054
1,113,0.167,0.23,0.058
1,114,0.139,0.197,0.063
1,115,0.16,0.223,0.06
1,116,0.15,0.21,0.061
1,117,0.198,0.268,0.055
1,118,0.176,0.242,0.058
1,119,0.212,0.284,0.053
1,120,0.251,0.327,0.049
1,121,0.296,0.375,0.045
1,122,0.25,0.326,0.05
1,123,0.148,0.208,0.063
1,124,0.192,0.261,0.057
1,125,0.138,0.197,0.064
1,126,0.118,0.172,0.068
1,127,0.131,0.188,0.066
1,128,0.066,0.105,0.08
1,129,0.12,0.174,0.068
1,130,0.163,0.226,0.061
1,131,0.107,0.158,0.07
1,132,0.152,0.213,0.063
1,133,0.141,0.2,0.065
1,134,0.135,0.192,0.066
1,135,0.107,0.158,0.071
1,136,0.1,0.148,0.073
1,137,0.114,0.167,0.07
1,138,0.161,0.224,0.062
1,139,0.191,0.259,0.058
1,140,0.122,0.176,0.069
1,141,0.114,0.166,0.071
1,142,0.138,0.197,0.067
1,143,0.187,0.254,0.059
1,144,0.208,0.279,0.057
1,145,0.167,0.231,0.062
1,146,0.31,0.39,0.046
1,147,0.219,0.291,0.056
1,148,0.178,0.244,0.061
1,149,0.222,0.294,0.055
1,150,0.175,0.24,0.062
1,151,0.184,0.251,0.061
1,152,0.219,0.291,0.056
1,153,0.261,0.337,0.052
1,154,0.103,0.153,0.075
1,155,0.129,0.186,0.07
1,156,0.18,0.246,0.062
1,157,0.108,0.159,0.075
1,158,0.168,0.233,0.064
1,159,0.135,0.192,0.07
1,160,0.143,0.202,0.069
1,161,0.219,0.291,0.058
1,162,0.16,0.223,0.066
1,163,0.164,0.228,0.066
1,164,0.18,0.246,0.064
1,165,0.165,0.228,0.066
1,166,0.292,0.371,0.05
1,167,0.274,0.351,0.053
1,168,0.252,0.328,0.055
1,169,0.35,0.432,0.045
1,170,0.304,0.384,0.05
1,171,0.363,0.445,0.045
1,172,0.299,0.379,0.051
1,173,0.395,0.478,0.042
1,174,0.32,0.401,0.05
1,175,0.227,0.3,0.06
1,176,0.347,0.429,0.047
1,177,0.323,0.404,0.05
1,178,0.39,0.474,0.044
1,179,0.402,0.485,0.043
1,180,0.362,0.444,0.047
1,181,0.325,0.406,0.051
1,182,0.323,0.404,0.051
1,183,0.383,0.466,0.045
1,184,0.439,0.522,0.04
1,185,0.467,0.55,0.038
1,186,0.626,0.697,0.026
1,187,0.659,0.727,0.023
