slice_num,coord_num,PValue,adjPVal,logFC
1,100,0.097,0.146,0.068
1,101,0.166,0.229,0.057
1,102,0.245,0.32,0.048
1,103,0.239,0.314,0.049
1,104,0.246,0.321,0.048
1,105,0.176,0.241,0.057
1,106,0.183,0.249,0.056
1,107,0.262,0.339,0.047
1,108,0.249,0.325,0.049
1,109,0.255,0.331,0.048
1,110,0.247,0.323,0.049
1,111,0.33,0.412,0.041
1,112,0.312,0.393,0.043
1,113,0.243,0.318,0.05
1,114,0.224,0.297,0.052
1,115,0.249,0.324,0.05
1,116,0.215,0.287,0.053
1,117,0.313,0.393,0.044
1,118,0.274,0.352,0.047
1,119,0.316,0.397,0.043
1,120,0.342,0.424,0.041
1,121,0.418,0.501,0.035
1,122,0.326,0.408,0.043
1,123,0.221,0.293,0.054
1,124,0.276,0.354,0.048
1,125,0.222,0.295,0.054
1,126,0.186,0.253,0.058
1,127,0.206,0.276,0.056
1,128,0.105,0.156,0.072
1,129,0.182,0.249,0.059
1,130,0.241,0.316,0.052
1,131,0.165,0.228,0.061
1,132,0.204,0.274,0.056
1,133,0.212,0.283,0.055
1,134,0.228,0.302,0.054
1,135,0.159,0.221,0.063
1,136,0.15,0.211,0.064
1,137,0.183,0.25,0.06
1,138,0.236,0.31,0.053
1,139,0.276,0.354,0.049
1,140,0.196,0.265,0.058
1,141,0.208,0.278,0.057
1,142,0.218,0.29,0.056
1,143,0.317,0.398,0.046
1,144,0.349,0.431,0.043
1,145,0.29,0.369,0.048
1,146,0.428,0.511,0.036
1,147,0.299,0.379,0.048
1,148,0.279,0.357,0.05
1,149,0.324,0.406,0.045
1,150,0.272,0.35,0.05
1,151,0.29,0.37,0.049
1,152,0.344,0.426,0.044
1,153,0.392,0.475,0.04
1,154,0.166,0.23,0.064
1,155,0.202,0.272,0.06
1,156,0.297,0.376,0.049
1,157,0.19,0.258,0.061
1,158,0.291,0.37,0.05
1,159,0.242,0.317,0.055
1,160,0.249,0.324,0.055
1,161,0.362,0.444,0.043
1,162,0.288,0.367,0.051
1,163,0.287,0.366,0.051
1,164,0.329,0.41,0.047
1,165,0.294,0.374,0.051
1,166,0.428,0.511,0.038
