slice_num,coord_num,PValue,adjPVal,logFC
1,100,0.066,0.104,-0.067
1,101,0.079,0.122,-0.064
1,102,0.13,0.187,-0.056
1,103,0.169,0.233,-0.051
1,104,0.168,0.232,-0.051
1,105,0.131,0.188,-0.056
1,106,0.185,0.253,-0.049
1,107,0.124,0.179,-0.058
1,108,0.076,0.118,-0.066
1,109,0.092,0.139,-0.063
1,110,0.168,0.232,-0.052
1,111,0.169,0.233,-0.052
1,112,0.19,0.258,-0.049
1,113,0.261,0.338,-0.043
1,114,0.185,0.252,-0.05
1,115,0.197,0.266,-0.049
1,116,0.283,0.361,-0.041
1,117,0.169,0.234,-0.053
1,118,0.191,0.259,-0.05
1,119,0.212,0.284,-0.048
1,120,0.301,0.381,-0.04
1,121,0.221,0.294,-0.047
1,122,0.341,0.423,-0.037
1,123,0.23,0.303,-0.047
1,124,0.239,0.313,-0.046
1,125,0.189,0.256,-0.051
1,126,0.2,0.269,-0.05
1,127,0.2,0.27,-0.05
1,128,0.261,0.338,-0.044
1,129,0.258,0.334,-0.044
1,130,0.259,0.336,-0.044
1,131,0.241,0.315,-0.046
1,132,0.359,0.442,-0.036
1,133,0.251,0.327,-0.045
1,134,0.155,0.217,-0.056
1,135,0.282,0.361,-0.043
1,136,0.27,0.348,-0.044
1,137,0.201,0.271,-0.051
1,138,0.263,0.34,-0.045
1,139,0.25,0.325,-0.046
1,140,0.204,0.274,-0.051
1,141,0.13,0.187,-0.061
1,142,0.211,0.282,-0.05
1,143,0.138,0.196,-0.06
1,144,0.137,0.195,-0.06
1,145,0.131,0.188,-0.061
1,146,0.268,0.345,-0.045
1,147,0.349,0.431,-0.038
1,148,0.222,0.294,-0.05
1,149,0.269,0.346,-0.045
1,150,0.243,0.318,-0.048
1,151,0.207,0.277,-0.052
1,152,0.197,0.266,-0.053
1,153,0.225,0.297,-0.05
1,154,0.277,0.355,-0.045
1,155,0.275,0.352,-0.045
1,156,0.174,0.239,-0.057
1,157,0.19,0.258,-0.055
1,158,0.15,0.211,-0.06
1,159,0.144,0.203,-0.061
1,160,0.158,0.221,-0.059
1,161,0.154,0.215,-0.06
1,162,0.127,0.183,-0.065
1,163,0.143,0.202,-0.062
1,164,0.104,0.154,-0.069
1,165,0.126,0.181,-0.066
1,166,0.219,0.291,-0.053
1,167,0.192,0.26,-0.056
1,168,0.262,0.339,-0.049
1,169,0.213,0.284,-0.054
1,170,0.207,0.278,-0.055
1,171,0.2,0.27,-0.056
1,172,0.114,0.167,-0.07
1,173,0.154,0.215,-0.064
1,174,0.124,0.179,-0.069
1,175,0.143,0.203,-0.066
1,176,0.188,0.255,-0.059
1,177,0.174,0.239,-0.062
1,178,0.142,0.201,-0.067
1,179,0.171,0.236,-0.063
1,180,0.117,0.171,-0.072
1,181,0.146,0.207,-0.067
1,182,0.212,0.283,-0.058
1,183,0.213,0.285,-0.058
1,184,0.237,0.311,-0.055
1,185,0.271,0.349,-0.052
1,186,0.235,0.309,-0.056
1,187,0.188,0.255,-0.063
1,188,0.223,0.295,-0.058
1,189,0.213,0.284,-0.06
1,190,0.278,0.356,-0.052
1,191,0.193,0.261,-0.063
1,192,0.333,0.414,-0.047
1,193,0.283,0.362,-0.053
1,194,0.211,0.282,-0.062
1,195,0.205,0.275,-0.063
1,196,0.338,0.419,-0.048
1,197,0.318,0.399,-0.05
1,198,0.264,0.341,-0.056
1,199,0.355,0.438,-0.047
1,200,0.311,0.391,-0.051
1,201,0.348,0.43,-0.048
1,202,0.546,0.624,-0.031
1,203,0.422,0.505,-0.041
1,204,0.262,0.339,-0.058
1,205,0.474,0.556,-0.037
1,206,0.561,0.639,-0.03
1,207,0.525,0.605,-0.033
1,208,0.459,0.542,-0.039
1,209,0.579,0.654,-0.029
1,210,0.431,0.514,-0.042
1,211,0.518,0.598,-0.034
1,212,0.638,0.708,-0.025
