slice_num,coord_num,PValue,adjPVal,logFC
1,100,0.069,0.108,-0.067
1,101,0.083,0.127,-0.064
1,102,0.137,0.195,-0.055
1,103,0.177,0.243,-0.05
1,104,0.178,0.244,-0.05
1,105,0.137,0.195,-0.055
1,106,0.191,0.259,-0.049
1,107,0.13,0.187,-0.057
1,108,0.081,0.124,-0.065
1,109,0.097,0.145,-0.062
1,110,0.175,0.24,-0.051
1,111,0.177,0.243,-0.051
1,112,0.198,0.267,-0.049
1,113,0.272,0.349,-0.042
1,114,0.193,0.262,-0.049
1,115,0.208,0.278,-0.048
1,116,0.293,0.372,-0.04
1,117,0.176,0.242,-0.052
1,118,0.197,0.266,-0.05
1,119,0.22,0.292,-0.047
1,120,0.309,0.389,-0.039
1,121,0.228,0.301,-0.047
1,122,0.352,0.435,-0.036
1,123,0.241,0.315,-0.046
1,124,0.249,0.325,-0.045
1,125,0.198,0.267,-0.05
1,126,0.211,0.281,-0.049
1,127,0.21,0.281,-0.049
1,128,0.273,0.351,-0.043
1,129,0.267,0.345,-0.043
1,130,0.269,0.346,-0.043
1,131,0.255,0.331,-0.045
1,132,0.38,0.463,-0.034
1,133,0.261,0.337,-0.044
1,134,0.162,0.226,-0.055
1,135,0.296,0.375,-0.041
1,136,0.283,0.361,-0.043
1,137,0.211,0.282,-0.05
1,138,0.275,0.353,-0.044
1,139,0.262,0.339,-0.045
1,140,0.213,0.284,-0.05
1,141,0.136,0.194,-0.06
1,142,0.22,0.292,-0.049
1,143,0.144,0.204,-0.059
1,144,0.142,0.201,-0.059
1,145,0.136,0.194,-0.06
1,146,0.277,0.355,-0.044
1,147,0.36,0.442,-0.037
1,148,0.231,0.304,-0.049
1,149,0.279,0.357,-0.044
1,150,0.252,0.327,-0.047
1,151,0.216,0.288,-0.051
1,152,0.206,0.277,-0.052
1,153,0.23,0.303,-0.05
1,154,0.285,0.364,-0.044
1,155,0.282,0.36,-0.045
1,156,0.179,0.245,-0.056
1,157,0.197,0.266,-0.054
1,158,0.156,0.218,-0.059
1,159,0.148,0.208,-0.061
1,160,0.162,0.225,-0.059
1,161,0.158,0.22,-0.06
1,162,0.131,0.188,-0.064
1,163,0.146,0.206,-0.062
1,164,0.106,0.157,-0.069
1,165,0.128,0.185,-0.065
1,166,0.225,0.298,-0.052
1,167,0.197,0.266,-0.056
1,168,0.268,0.345,-0.048
1,169,0.216,0.288,-0.054
1,170,0.213,0.284,-0.055
1,171,0.207,0.278,-0.055
1,172,0.119,0.173,-0.069
1,173,0.159,0.222,-0.063
1,174,0.129,0.185,-0.068
1,175,0.149,0.21,-0.065
1,176,0.195,0.264,-0.058
1,177,0.181,0.247,-0.061
1,178,0.146,0.206,-0.066
1,179,0.175,0.241,-0.062
