slice_num,coord_num,PValue,adjPVal,logFC
1,100,0.333,0.415,0.039
1,101,0.514,0.594,0.027
1,102,0.75,0.803,0.013
1,103,0.701,0.762,0.016
1,104,0.654,0.721,0.019
1,105,0.529,0.608,0.026
1,106,0.557,0.634,0.024
1,107,0.712,0.772,0.015
1,108,0.635,0.705,0.02
1,109,0.682,0.746,0.017
1,110,0.673,0.738,0.018
1,111,0.833,0.871,0.009
1,112,0.813,0.856,0.01
1,113,0.707,0.768,0.016
1,114,0.712,0.772,0.016
1,115,0.762,0.814,0.013
1,116,0.665,0.731,0.018
1,117,0.825,0.865,0.009
1,118,0.806,0.85,0.011
1,119,0.872,0.902,0.007
1,120,0.907,0.93,0.005
1,121,0.971,0.979,0.002
1,122,0.891,0.918,0.006
1,123,0.723,0.781,0.015
1,124,0.848,0.884,0.008
1,125,0.732,0.789,0.015
1,126,0.62,0.692,0.022
1,127,0.657,0.725,0.019
1,128,0.457,0.54,0.032
1,129,0.631,0.701,0.021
1,130,0.724,0.782,0.015
1,131,0.559,0.637,0.025
1,132,0.67,0.736,0.019
1,133,0.686,0.75,0.018
1,134,0.697,0.759,0.017
1,135,0.587,0.662,0.024
1,136,0.566,0.642,0.025
1,137,0.578,0.654,0.025
1,138,0.703,0.764,0.017
1,139,0.806,0.85,0.011
1,140,0.663,0.73,0.019
1,141,0.64,0.709,0.021
1,142,0.692,0.754,0.018
1,143,0.814,0.856,0.011
1,144,0.876,0.906,0.007
1,145,0.775,0.825,0.013
1,146,0.996,0.997,0.0
1,147,0.806,0.85,0.011
1,148,0.764,0.815,0.014
1,149,0.856,0.89,0.008
1,150,0.762,0.814,0.014
1,151,0.802,0.847,0.011
1,152,0.91,0.932,0.005
1,153,0.965,0.974,0.002
1,154,0.574,0.65,0.026
1,155,0.633,0.703,0.022
1,156,0.768,0.818,0.014
1,157,0.532,0.611,0.029
1,158,0.729,0.786,0.016
1,159,0.655,0.722,0.021
1,160,0.683,0.747,0.019
1,161,0.866,0.898,0.008
1,162,0.733,0.79,0.016
1,163,0.725,0.783,0.017
1,164,0.79,0.837,0.013
1,165,0.712,0.771,0.018
1,166,0.976,0.982,0.001
1,167,0.94,0.955,0.004
1,168,0.851,0.886,0.009
1,169,0.964,0.974,-0.002
1,170,0.989,0.992,0.001
1,171,0.89,0.916,-0.007
1,172,0.925,0.943,-0.005
1,173,0.835,0.874,-0.01
1,174,0.979,0.985,-0.001
1,175,0.86,0.893,0.009
1,176,0.934,0.95,-0.004
1,177,0.946,0.96,-0.003
1,178,0.825,0.865,-0.011
1,179,0.85,0.886,-0.01
1,180,0.905,0.929,-0.006
1,181,0.951,0.963,-0.003
1,182,0.992,0.994,0.001
1,183,0.891,0.918,-0.007
1,184,0.848,0.883,-0.01
1,185,0.819,0.86,-0.012
1,186,0.633,0.703,-0.025
1,187,0.57,0.646,-0.03
1,188,0.69,0.753,-0.021
