slice_num,coord_num,PValue,adjPVal,logFC
1,100,0.759,0.811,0.012
1,101,0.979,0.984,-0.001
1,102,0.702,0.763,-0.016
1,103,0.786,0.833,-0.011
1,104,0.865,0.897,-0.007
1,105,0.974,0.981,-0.001
1,106,0.945,0.959,-0.003
1,107,0.771,0.821,-0.012
1,108,0.859,0.893,-0.007
1,109,0.798,0.843,-0.011
1,110,0.829,0.868,-0.009
1,111,0.667,0.733,-0.018
1,112,0.682,0.746,-0.017
1,113,0.796,0.842,-0.011
1,114,0.748,0.802,-0.014
1,115,0.702,0.764,-0.016
1,116,0.83,0.869,-0.009
1,117,0.654,0.722,-0.019
1,118,0.659,0.727,-0.019
1,119,0.601,0.674,-0.022
1,120,0.575,0.651,-0.024
1,121,0.532,0.611,-0.027
1,122,0.595,0.669,-0.023
1,123,0.718,0.776,-0.016
1,124,0.596,0.67,-0.023
1,125,0.708,0.768,-0.016
1,126,0.845,0.881,-0.008
1,127,0.793,0.84,-0.011
1,128,0.993,0.995,0.0
1,129,0.816,0.858,-0.01
1,130,0.728,0.785,-0.015
1,131,0.913,0.935,-0.005
1,132,0.802,0.846,-0.011
1,133,0.757,0.81,-0.014
1,134,0.735,0.791,-0.015
1,135,0.843,0.88,-0.009
1,136,0.872,0.903,-0.007
1,137,0.884,0.912,-0.006
1,138,0.749,0.803,-0.014
1,139,0.631,0.701,-0.021
1,140,0.756,0.808,-0.014
1,141,0.79,0.837,-0.012
1,142,0.738,0.793,-0.015
1,143,0.623,0.695,-0.022
1,144,0.565,0.641,-0.026
1,145,0.661,0.728,-0.02
1,146,0.486,0.568,-0.031
1,147,0.652,0.72,-0.02
1,148,0.674,0.739,-0.019
1,149,0.598,0.672,-0.024
1,150,0.67,0.736,-0.019
1,151,0.625,0.696,-0.022
1,152,0.527,0.607,-0.029
1,153,0.498,0.579,-0.031
1,154,0.869,0.901,-0.008
1,155,0.819,0.861,-0.011
1,156,0.689,0.752,-0.018
1,157,0.962,0.972,-0.002
1,158,0.738,0.794,-0.015
1,159,0.803,0.848,-0.012
1,160,0.758,0.81,-0.014
1,161,0.593,0.668,-0.025
1,162,0.724,0.782,-0.017
1,163,0.739,0.795,-0.016
1,164,0.665,0.732,-0.02
1,165,0.766,0.817,-0.014
1,166,0.517,0.597,-0.031
1,167,0.555,0.633,-0.028
1,168,0.65,0.719,-0.022
1,169,0.497,0.578,-0.033
1,170,0.519,0.599,-0.031
1,171,0.411,0.494,-0.04
1,172,0.415,0.498,-0.04
1,173,0.376,0.459,-0.044
1,174,0.5,0.581,-0.033
1,175,0.632,0.702,-0.024
1,176,0.461,0.543,-0.037
1,177,0.462,0.545,-0.037
1,178,0.373,0.456,-0.045
1,179,0.4,0.483,-0.043
1,180,0.446,0.529,-0.039
1,181,0.474,0.556,-0.037
1,182,0.532,0.612,-0.032
1,183,0.438,0.521,-0.04
1,184,0.42,0.503,-0.042
1,185,0.397,0.48,-0.044
1,186,0.273,0.351,-0.058
