slice_num,coord_num,PValue,adjPVal,logFC
1,100,0.007,0.016,-0.098
1,101,0.006,0.014,-0.099
1,102,0.005,0.012,-0.102
1,103,0.008,0.017,-0.097
1,104,0.026,0.048,-0.082
1,105,0.018,0.034,-0.088
1,106,0.02,0.038,-0.086
1,107,0.009,0.019,-0.097
1,108,0.012,0.024,-0.094
1,109,0.011,0.022,-0.095
1,110,0.02,0.038,-0.087
1,111,0.013,0.026,-0.093
1,112,0.014,0.028,-0.092
1,113,0.02,0.037,-0.088
1,114,0.008,0.018,-0.1
1,115,0.011,0.022,-0.097
1,116,0.025,0.046,-0.085
1,117,0.015,0.029,-0.093
1,118,0.009,0.019,-0.1
1,119,0.013,0.026,-0.095
1,120,0.029,0.052,-0.084
1,121,0.032,0.056,-0.083
1,122,0.033,0.057,-0.082
1,123,0.022,0.04,-0.089
1,124,0.017,0.033,-0.092
1,125,0.008,0.018,-0.102
1,126,0.021,0.039,-0.09
1,127,0.026,0.047,-0.086
1,128,0.023,0.042,-0.089
1,129,0.021,0.039,-0.09
1,130,0.034,0.059,-0.083
1,131,0.039,0.067,-0.08
1,132,0.044,0.074,-0.079
1,133,0.024,0.044,-0.088
1,134,0.016,0.031,-0.095
1,135,0.036,0.063,-0.082
1,136,0.03,0.053,-0.086
1,137,0.037,0.063,-0.083
1,138,0.039,0.067,-0.082
1,139,0.032,0.056,-0.085
1,140,0.017,0.033,-0.095
1,141,0.015,0.028,-0.097
1,142,0.023,0.042,-0.091
1,143,0.022,0.041,-0.092
1,144,0.017,0.033,-0.095
1,145,0.016,0.03,-0.097
1,146,0.043,0.072,-0.082
1,147,0.055,0.089,-0.078
1,148,0.036,0.062,-0.085
1,149,0.031,0.054,-0.088
1,150,0.031,0.055,-0.087
1,151,0.03,0.052,-0.089
1,152,0.019,0.036,-0.096
1,153,0.019,0.036,-0.096
1,154,0.021,0.04,-0.095
1,155,0.025,0.045,-0.093
1,156,0.021,0.039,-0.095
1,157,0.042,0.071,-0.084
1,158,0.026,0.047,-0.093
1,159,0.024,0.044,-0.094
1,160,0.026,0.048,-0.093
1,161,0.022,0.04,-0.096
1,162,0.017,0.033,-0.1
1,163,0.022,0.041,-0.097
1,164,0.017,0.032,-0.101
1,165,0.025,0.045,-0.096
1,166,0.03,0.053,-0.093
1,167,0.025,0.046,-0.096
1,168,0.04,0.068,-0.088
1,169,0.027,0.049,-0.096
1,170,0.024,0.043,-0.099
1,171,0.02,0.038,-0.102
1,172,0.009,0.019,-0.115
1,173,0.014,0.028,-0.109
1,174,0.016,0.031,-0.107
1,175,0.015,0.029,-0.109
1,176,0.018,0.034,-0.106
1,177,0.012,0.023,-0.114
1,178,0.008,0.017,-0.12
1,179,0.014,0.028,-0.111
1,180,0.012,0.023,-0.115
1,181,0.009,0.019,-0.119
1,182,0.026,0.047,-0.102
1,183,0.014,0.027,-0.114
1,184,0.021,0.039,-0.108
1,185,0.026,0.047,-0.104
1,186,0.023,0.043,-0.107
1,187,0.015,0.029,-0.116
1,188,0.029,0.052,-0.104
1,189,0.03,0.053,-0.104
1,190,0.029,0.052,-0.105
1,191,0.015,0.029,-0.118
1,192,0.036,0.062,-0.102
1,193,0.027,0.048,-0.108
1,194,0.016,0.03,-0.118
1,195,0.016,0.031,-0.119
1,196,0.031,0.054,-0.107
1,197,0.028,0.05,-0.109
1,198,0.018,0.034,-0.119
1,199,0.031,0.055,-0.108
1,200,0.019,0.037,-0.118
1,201,0.047,0.078,-0.101
1,202,0.041,0.07,-0.104
1,203,0.043,0.072,-0.103
1,204,0.037,0.063,-0.107
1,205,0.049,0.081,-0.102
1,206,0.073,0.114,-0.093
1,207,0.067,0.106,-0.095
1,208,0.057,0.093,-0.099
1,209,0.056,0.091,-0.1
1,210,0.05,0.082,-0.103
1,211,0.076,0.118,-0.093
1,212,0.076,0.117,-0.094
1,213,0.072,0.112,-0.096
1,214,0.072,0.113,-0.096
1,215,0.067,0.106,-0.098
1,216,0.089,0.135,-0.091
1,217,0.087,0.132,-0.092
1,218,0.064,0.101,-0.1
1,219,0.062,0.099,-0.101
1,220,0.09,0.136,-0.092
1,221,0.056,0.091,-0.104
1,222,0.123,0.178,-0.085
1,223,0.079,0.121,-0.097
1,224,0.09,0.137,-0.094
1,39,0.003,0.008,-0.094
1,40,0.001,0.002,-0.109
1,41,0.001,0.003,-0.106
1,42,0.0,0.001,-0.121
1,43,0.002,0.005,-0.1
1,44,0.003,0.008,-0.094
1,45,0.003,0.008,-0.095
1,46,0.002,0.006,-0.098
1,47,0.001,0.004,-0.104
1,48,0.002,0.004,-0.103
1,49,0.003,0.007,-0.097
1,50,0.002,0.006,-0.098
1,51,0.005,0.011,-0.092
1,52,0.006,0.014,-0.089
1,53,0.002,0.005,-0.1
1,54,0.009,0.018,-0.085
1,55,0.007,0.016,-0.088
1,56,0.008,0.017,-0.087
1,57,0.008,0.016,-0.088
1,58,0.007,0.015,-0.089
1,59,0.003,0.008,-0.096
1,60,0.002,0.006,-0.1
1,61,0.005,0.012,-0.093
1,62,0.002,0.005,-0.104
1,63,0.002,0.004,-0.104
1,64,0.006,0.013,-0.092
1,65,0.003,0.008,-0.099
1,66,0.002,0.005,-0.105
1,67,0.0,0.001,-0.122
1,68,0.001,0.002,-0.113
1,69,0.001,0.002,-0.113
1,70,0.001,0.003,-0.11
1,71,0.002,0.005,-0.105
1,72,0.006,0.014,-0.093
1,73,0.002,0.004,-0.108
1,74,0.002,0.005,-0.105
1,75,0.004,0.008,-0.1
1,76,0.006,0.014,-0.095
1,77,0.007,0.015,-0.093
1,78,0.025,0.045,-0.078
1,79,0.015,0.029,-0.084
1,80,0.013,0.027,-0.086
1,81,0.017,0.033,-0.083
1,82,0.018,0.034,-0.083
1,83,0.007,0.015,-0.095
1,84,0.009,0.018,-0.092
1,85,0.037,0.063,-0.074
1,86,0.031,0.054,-0.077
1,87,0.008,0.017,-0.094
1,88,0.009,0.019,-0.093
1,89,0.012,0.023,-0.09
1,90,0.005,0.011,-0.101
1,91,0.005,0.012,-0.099
1,92,0.009,0.018,-0.095
1,93,0.007,0.015,-0.098
1,94,0.012,0.024,-0.09
1,95,0.01,0.02,-0.094
1,96,0.004,0.01,-0.103
1,97,0.012,0.024,-0.091
1,98,0.009,0.018,-0.095
1,99,0.023,0.042,-0.083
10,10,0.001,0.002,-0.112
10,100,0.042,0.07,-0.074
10,101,0.031,0.055,-0.078
10,102,0.011,0.022,-0.094
10,103,0.024,0.044,-0.083
10,104,0.028,0.05,-0.081
10,105,0.01,0.02,-0.095
10,106,0.018,0.034,-0.087
10,107,0.013,0.026,-0.092
10,108,0.008,0.018,-0.098
10,109,0.014,0.028,-0.091
10,11,0.0,0.001,-0.113
10,110,0.007,0.015,-0.101
10,111,0.003,0.008,-0.11
10,112,0.007,0.016,-0.1
10,113,0.006,0.014,-0.103
10,114,0.018,0.033,-0.089
10,115,0.041,0.069,-0.077
10,116,0.03,0.054,-0.082
10,117,0.011,0.022,-0.096
10,118,0.018,0.034,-0.089
10,119,0.022,0.041,-0.087
10,12,0.001,0.002,-0.111
10,120,0.042,0.071,-0.077
10,121,0.017,0.033,-0.09
10,122,0.018,0.034,-0.091
10,123,0.023,0.042,-0.087
10,124,0.025,0.046,-0.086
10,125,0.035,0.061,-0.081
10,126,0.038,0.065,-0.08
10,127,0.04,0.068,-0.079
10,128,0.022,0.041,-0.088
10,129,0.034,0.06,-0.082
10,13,0.0,0.001,-0.112
10,130,0.04,0.068,-0.079
10,131,0.041,0.069,-0.079
10,132,0.033,0.057,-0.083
10,133,0.032,0.057,-0.083
10,134,0.036,0.062,-0.082
10,135,0.017,0.032,-0.093
10,136,0.025,0.046,-0.087
10,137,0.014,0.027,-0.096
10,138,0.015,0.03,-0.095
10,139,0.011,0.023,-0.099
10,14,0.0,0.001,-0.111
10,140,0.011,0.023,-0.099
10,141,0.031,0.054,-0.085
10,142,0.036,0.062,-0.083
10,143,0.037,0.064,-0.082
10,144,0.019,0.036,-0.092
10,145,0.019,0.036,-0.093
10,146,0.034,0.059,-0.084
10,147,0.02,0.038,-0.092
10,148,0.025,0.045,-0.089
10,149,0.027,0.048,-0.088
10,15,0.001,0.003,-0.102
10,150,0.042,0.07,-0.081
10,151,0.032,0.057,-0.085
10,152,0.025,0.045,-0.09
10,153,0.032,0.056,-0.086
10,154,0.042,0.071,-0.081
10,155,0.066,0.104,-0.074
10,156,0.059,0.094,-0.076
10,157,0.104,0.154,-0.065
10,158,0.119,0.172,-0.063
10,159,0.124,0.179,-0.062
10,16,0.0,0.001,-0.111
10,160,0.148,0.208,-0.058
10,161,0.189,0.257,-0.053
10,162,0.095,0.142,-0.067
10,163,0.087,0.133,-0.069
10,164,0.121,0.175,-0.062
10,165,0.053,0.087,-0.078
10,166,0.11,0.161,-0.065
10,167,0.108,0.159,-0.065
10,168,0.051,0.083,-0.079
10,169,0.076,0.118,-0.072
10,17,0.002,0.005,-0.097
10,170,0.096,0.144,-0.068
10,171,0.158,0.22,-0.057
10,172,0.109,0.16,-0.065
10,173,0.099,0.148,-0.067
10,174,0.069,0.108,-0.074
10,175,0.142,0.201,-0.06
10,176,0.143,0.203,-0.06
10,177,0.113,0.165,-0.065
10,178,0.144,0.204,-0.06
10,179,0.098,0.146,-0.068
10,18,0.001,0.002,-0.106
10,180,0.134,0.191,-0.062
10,181,0.138,0.196,-0.062
10,182,0.153,0.214,-0.06
10,183,0.139,0.197,-0.062
10,184,0.144,0.204,-0.062
10,185,0.097,0.145,-0.07
10,186,0.063,0.1,-0.079
10,187,0.063,0.1,-0.079
10,188,0.068,0.107,-0.078
10,189,0.05,0.082,-0.085
10,19,0.001,0.004,-0.1
10,190,0.029,0.052,-0.095
10,191,0.049,0.08,-0.086
10,192,0.04,0.068,-0.09
10,193,0.05,0.082,-0.087
10,194,0.024,0.044,-0.101
10,195,0.065,0.103,-0.083
10,196,0.049,0.081,-0.089
10,197,0.025,0.045,-0.102
10,198,0.009,0.019,-0.12
10,199,0.029,0.051,-0.101
10,20,0.0,0.001,-0.113
10,200,0.02,0.037,-0.108
10,201,0.008,0.018,-0.123
10,202,0.016,0.031,-0.113
10,203,0.019,0.036,-0.111
10,204,0.026,0.047,-0.106
10,205,0.022,0.041,-0.11
10,206,0.035,0.06,-0.102
10,207,0.033,0.057,-0.104
10,208,0.045,0.075,-0.098
10,209,0.031,0.055,-0.106
10,21,0.001,0.002,-0.106
10,210,0.035,0.061,-0.105
10,211,0.03,0.054,-0.109
10,212,0.029,0.051,-0.111
10,213,0.054,0.087,-0.098
10,214,0.046,0.076,-0.103
10,215,0.016,0.031,-0.124
10,216,0.015,0.03,-0.126
10,217,0.017,0.032,-0.126
10,218,0.035,0.061,-0.111
10,219,0.019,0.036,-0.125
10,22,0.002,0.006,-0.095
10,220,0.014,0.027,-0.132
10,221,0.02,0.037,-0.126
10,222,0.015,0.029,-0.133
10,223,0.016,0.03,-0.132
10,224,0.011,0.022,-0.14
10,225,0.01,0.021,-0.143
10,226,0.018,0.034,-0.132
10,227,0.009,0.018,-0.147
10,228,0.009,0.019,-0.147
10,229,0.008,0.017,-0.15
10,23,0.0,0.001,-0.109
10,230,0.009,0.018,-0.149
10,231,0.01,0.021,-0.147
10,232,0.005,0.012,-0.16
10,233,0.007,0.015,-0.155
10,234,0.004,0.01,-0.165
10,235,0.017,0.033,-0.139
10,236,0.008,0.017,-0.155
10,237,0.006,0.014,-0.16
10,238,0.022,0.041,-0.135
10,239,0.011,0.022,-0.151
10,24,0.001,0.004,-0.1
10,240,0.026,0.047,-0.132
10,241,0.024,0.043,-0.134
10,242,0.029,0.052,-0.13
10,243,0.031,0.055,-0.129
10,244,0.043,0.073,-0.121
10,245,0.027,0.049,-0.134
10,246,0.053,0.086,-0.118
10,247,0.052,0.085,-0.119
10,248,0.041,0.069,-0.126
10,249,0.069,0.108,-0.113
10,25,0.001,0.003,-0.102
10,250,0.161,0.224,-0.088
10,251,0.127,0.183,-0.096
10,26,0.001,0.003,-0.103
10,27,0.005,0.012,-0.087
10,28,0.003,0.008,-0.092
10,29,0.001,0.004,-0.099
10,30,0.007,0.016,-0.084
10,31,0.002,0.004,-0.098
10,32,0.008,0.016,-0.083
10,33,0.003,0.007,-0.093
10,34,0.004,0.009,-0.09
10,35,0.008,0.017,-0.083
10,36,0.005,0.01,-0.089
10,37,0.006,0.013,-0.087
10,38,0.005,0.012,-0.088
10,39,0.001,0.002,-0.108
10,40,0.003,0.007,-0.094
10,41,0.006,0.013,-0.087
10,42,0.001,0.002,-0.109
10,43,0.001,0.002,-0.11
10,44,0.0,0.001,-0.112
