slice_num,coord_num,PValue,adjPVal,logFC
1,100,0.004,0.008,-0.11
1,101,0.006,0.014,-0.103
1,102,0.008,0.017,-0.1
1,103,0.011,0.023,-0.097
1,104,0.03,0.052,-0.083
1,105,0.017,0.032,-0.092
1,106,0.02,0.038,-0.089
1,107,0.014,0.027,-0.095
1,108,0.014,0.027,-0.095
1,109,0.014,0.028,-0.095
1,110,0.025,0.045,-0.087
1,111,0.023,0.041,-0.089
1,112,0.023,0.042,-0.088
1,113,0.026,0.047,-0.087
1,114,0.011,0.023,-0.099
1,115,0.016,0.03,-0.095
1,116,0.027,0.048,-0.087
1,117,0.023,0.042,-0.09
1,118,0.015,0.029,-0.096
1,119,0.023,0.042,-0.09
1,120,0.044,0.074,-0.08
1,121,0.054,0.087,-0.077
1,122,0.054,0.088,-0.077
1,123,0.028,0.05,-0.088
1,124,0.029,0.051,-0.088
1,125,0.012,0.025,-0.1
1,126,0.021,0.038,-0.093
1,127,0.029,0.052,-0.088
1,128,0.017,0.033,-0.096
1,129,0.023,0.042,-0.092
1,130,0.042,0.071,-0.082
1,131,0.035,0.061,-0.085
1,132,0.049,0.081,-0.08
1,133,0.031,0.055,-0.088
1,134,0.023,0.041,-0.093
1,135,0.035,0.061,-0.086
1,136,0.029,0.052,-0.089
1,137,0.036,0.062,-0.086
1,138,0.05,0.082,-0.081
1,139,0.05,0.083,-0.081
1,140,0.024,0.043,-0.093
1,141,0.019,0.035,-0.097
1,142,0.032,0.055,-0.089
1,143,0.037,0.064,-0.087
1,144,0.034,0.06,-0.088
1,145,0.026,0.048,-0.093
1,146,0.088,0.133,-0.071
1,147,0.085,0.129,-0.072
1,148,0.052,0.085,-0.082
1,149,0.054,0.088,-0.081
1,150,0.049,0.081,-0.083
1,151,0.048,0.08,-0.083
1,152,0.039,0.067,-0.087
1,153,0.041,0.07,-0.087
1,154,0.023,0.043,-0.096
1,155,0.031,0.054,-0.092
1,156,0.031,0.055,-0.092
1,157,0.038,0.064,-0.089
1,158,0.033,0.057,-0.092
1,159,0.028,0.05,-0.095
1,160,0.034,0.059,-0.092
1,161,0.037,0.063,-0.091
1,162,0.022,0.041,-0.1
1,163,0.027,0.049,-0.097
1,164,0.024,0.044,-0.099
1,165,0.029,0.051,-0.096
1,166,0.056,0.09,-0.085
1,167,0.045,0.076,-0.089
1,168,0.06,0.097,-0.084
1,169,0.06,0.096,-0.084
1,170,0.05,0.082,-0.088
1,171,0.055,0.089,-0.087
1,172,0.026,0.048,-0.101
1,173,0.045,0.075,-0.092
1,174,0.037,0.064,-0.096
1,175,0.027,0.048,-0.102
1,176,0.045,0.075,-0.093
1,177,0.032,0.056,-0.1
1,178,0.028,0.05,-0.103
1,179,0.045,0.075,-0.094
1,180,0.035,0.061,-0.1
1,181,0.027,0.048,-0.105
1,182,0.056,0.09,-0.091
1,183,0.042,0.07,-0.098
1,184,0.061,0.098,-0.09
1,185,0.077,0.119,-0.086
1,186,0.092,0.138,-0.082
1,187,0.072,0.113,-0.088
1,188,0.095,0.142,-0.082
1,189,0.09,0.137,-0.084
1,190,0.078,0.12,-0.088
1,191,0.059,0.094,-0.095
1,192,0.139,0.197,-0.074
1,193,0.131,0.188,-0.076
1,194,0.077,0.119,-0.09
