slice_num,coord_num,PValue,adjPVal,logFC
1,100,0.016,0.031,0.099
1,101,0.051,0.084,0.08
1,102,0.051,0.083,0.08
1,103,0.043,0.073,0.084
1,104,0.082,0.126,0.072
1,105,0.044,0.074,0.084
1,106,0.044,0.074,0.084
1,107,0.043,0.072,0.085
1,108,0.069,0.109,0.076
1,109,0.073,0.114,0.075
1,110,0.069,0.108,0.077
1,111,0.064,0.102,0.078
1,112,0.07,0.11,0.076
1,113,0.04,0.068,0.087
1,114,0.025,0.046,0.095
1,115,0.045,0.075,0.086
1,116,0.039,0.067,0.088
1,117,0.073,0.114,0.077
1,118,0.032,0.057,0.092
1,119,0.044,0.074,0.087
1,120,0.063,0.1,0.08
1,121,0.124,0.18,0.066
1,122,0.057,0.092,0.082
1,123,0.032,0.056,0.093
1,124,0.038,0.065,0.09
1,125,0.03,0.052,0.095
1,126,0.038,0.065,0.091
1,127,0.055,0.089,0.084
1,128,0.02,0.038,0.102
1,129,0.038,0.065,0.091
1,130,0.068,0.106,0.08
1,131,0.04,0.067,0.09
1,132,0.045,0.075,0.088
1,133,0.054,0.088,0.085
1,134,0.073,0.114,0.079
1,135,0.047,0.078,0.088
1,136,0.043,0.073,0.09
1,137,0.055,0.089,0.086
1,138,0.07,0.109,0.081
1,139,0.088,0.134,0.076
1,140,0.059,0.095,0.085
1,141,0.084,0.128,0.078
1,142,0.086,0.131,0.077
1,143,0.188,0.255,0.06
1,144,0.167,0.231,0.062
1,145,0.139,0.197,0.067
1,146,0.268,0.345,0.05
1,147,0.197,0.266,0.059
1,148,0.206,0.277,0.058
1,149,0.21,0.281,0.057
1,150,0.208,0.278,0.058
1,151,0.26,0.337,0.052
1,152,0.258,0.335,0.052
1,153,0.261,0.338,0.052
1,154,0.141,0.2,0.068
1,155,0.171,0.236,0.064
1,156,0.221,0.293,0.057
1,157,0.212,0.283,0.058
1,158,0.245,0.32,0.054
1,159,0.217,0.289,0.058
1,160,0.212,0.283,0.059
1,161,0.261,0.338,0.053
1,162,0.204,0.274,0.06
1,163,0.229,0.303,0.057
1,164,0.273,0.35,0.052
1,165,0.239,0.314,0.056
1,166,0.285,0.364,0.051
1,167,0.253,0.329,0.055
1,168,0.241,0.315,0.057
1,169,0.276,0.353,0.053
1,170,0.301,0.381,0.051
1,171,0.428,0.511,0.039
1,172,0.372,0.455,0.044
1,173,0.395,0.478,0.042
1,174,0.335,0.417,0.048
1,175,0.192,0.26,0.066
1,176,0.224,0.297,0.061
1,177,0.208,0.279,0.064
1,178,0.212,0.283,0.064
1,179,0.263,0.34,0.057
1,180,0.291,0.37,0.054
1,181,0.174,0.239,0.07
1,182,0.167,0.232,0.071
1,183,0.166,0.229,0.072
1,184,0.221,0.294,0.064
1,185,0.201,0.27,0.067
1,186,0.306,0.386,0.054
1,187,0.283,0.361,0.057
1,188,0.305,0.385,0.055
1,189,0.289,0.368,0.057
1,190,0.18,0.247,0.072
1,191,0.207,0.278,0.069
1,192,0.318,0.399,0.055
1,193,0.341,0.423,0.052
1,194,0.234,0.308,0.066
1,195,0.216,0.288,0.069
1,196,0.192,0.26,0.073
1,197,0.239,0.314,0.066
1,198,0.312,0.392,0.057
1,199,0.268,0.345,0.063
1,200,0.182,0.248,0.076
1,201,0.367,0.45,0.051
1,202,0.245,0.32,0.067
1,203,0.291,0.37,0.061
1,204,0.372,0.455,0.052
1,205,0.21,0.281,0.073
1,206,0.282,0.361,0.063
1,207,0.302,0.382,0.06
1,208,0.271,0.349,0.065
1,209,0.274,0.352,0.064
1,210,0.295,0.375,0.062
1,211,0.262,0.339,0.066
1,212,0.22,0.292,0.073
1,213,0.318,0.399,0.06
1,214,0.369,0.451,0.054
1,215,0.281,0.36,0.065
1,216,0.423,0.506,0.048
1,217,0.44,0.523,0.047
1,218,0.518,0.598,0.039
1,219,0.377,0.459,0.054
1,220,0.527,0.607,0.039
1,221,0.555,0.632,0.036
1,222,0.558,0.635,0.036
1,223,0.706,0.767,0.023
1,224,0.841,0.879,0.012
1,39,0.011,0.022,0.092
1,40,0.01,0.021,0.093
1,41,0.016,0.031,0.087
1,42,0.01,0.021,0.093
1,43,0.023,0.042,0.083
1,44,0.043,0.072,0.073
1,45,0.023,0.043,0.082
1,46,0.009,0.019,0.094
1,47,0.022,0.041,0.083
1,48,0.021,0.04,0.084
1,49,0.005,0.012,0.102
1,50,0.02,0.038,0.085
1,51,0.017,0.032,0.088
1,52,0.006,0.012,0.101
1,53,0.004,0.01,0.104
1,54,0.02,0.038,0.085
1,55,0.008,0.018,0.097
1,56,0.005,0.01,0.105
1,57,0.005,0.012,0.103
1,58,0.015,0.03,0.09
1,59,0.003,0.007,0.11
1,60,0.004,0.01,0.106
1,61,0.002,0.005,0.116
1,62,0.005,0.011,0.105
1,63,0.01,0.021,0.096
1,64,0.011,0.023,0.095
1,65,0.004,0.01,0.107
1,66,0.005,0.012,0.105
1,67,0.002,0.004,0.12
1,68,0.007,0.014,0.103
1,69,0.011,0.022,0.097
1,70,0.005,0.012,0.106
1,71,0.016,0.031,0.092
1,72,0.012,0.023,0.097
1,73,0.012,0.024,0.096
1,74,0.024,0.043,0.087
1,75,0.011,0.023,0.098
1,76,0.023,0.042,0.088
1,77,0.083,0.127,0.067
1,78,0.042,0.071,0.079
1,79,0.023,0.042,0.089
1,80,0.05,0.082,0.077
1,81,0.062,0.099,0.073
1,82,0.038,0.065,0.082
1,83,0.048,0.08,0.078
1,84,0.033,0.058,0.084
1,85,0.04,0.068,0.082
1,86,0.03,0.054,0.086
1,87,0.045,0.076,0.08
1,88,0.015,0.029,0.098
1,89,0.03,0.053,0.087
1,90,0.037,0.064,0.083
1,91,0.029,0.052,0.088
1,92,0.043,0.073,0.082
1,93,0.021,0.039,0.093
1,94,0.042,0.071,0.082
1,95,0.035,0.06,0.086
1,96,0.017,0.032,0.097
1,97,0.03,0.053,0.088
1,98,0.051,0.083,0.08
1,99,0.025,0.046,0.092
10,10,0.003,0.007,0.107
10,100,0.031,0.054,0.089
10,101,0.022,0.041,0.094
10,102,0.031,0.055,0.089
10,103,0.024,0.044,0.093
10,104,0.06,0.097,0.078
10,105,0.023,0.042,0.094
10,106,0.029,0.052,0.091
10,107,0.187,0.255,0.055
10,108,0.079,0.122,0.073
10,109,0.043,0.073,0.084
10,11,0.002,0.006,0.109
10,110,0.052,0.085,0.082
10,111,0.099,0.148,0.069
10,112,0.09,0.136,0.071
10,113,0.135,0.192,0.063
10,114,0.142,0.201,0.062
10,115,0.126,0.182,0.065
10,116,0.099,0.147,0.07
10,117,0.068,0.107,0.078
10,118,0.075,0.116,0.076
10,119,0.041,0.07,0.087
10,12,0.005,0.011,0.101
10,120,0.054,0.087,0.082
10,121,0.061,0.098,0.08
10,122,0.051,0.083,0.084
10,123,0.032,0.056,0.092
10,124,0.025,0.046,0.097
10,125,0.02,0.037,0.101
10,126,0.026,0.048,0.096
10,127,0.025,0.045,0.097
10,128,0.019,0.035,0.102
10,129,0.022,0.041,0.099
10,13,0.006,0.013,0.098
10,130,0.017,0.033,0.104
10,131,0.012,0.025,0.109
10,132,0.015,0.03,0.106
10,133,0.005,0.012,0.121
10,134,0.01,0.02,0.113
10,135,0.018,0.034,0.104
10,136,0.013,0.025,0.11
10,137,0.016,0.03,0.106
10,138,0.029,0.051,0.096
10,139,0.021,0.039,0.102
10,14,0.002,0.004,0.111
10,140,0.019,0.036,0.104
10,141,0.026,0.048,0.098
10,142,0.026,0.047,0.099
10,143,0.037,0.063,0.093
10,144,0.037,0.064,0.093
10,145,0.023,0.042,0.102
10,146,0.042,0.07,0.091
10,147,0.031,0.054,0.096
10,148,0.035,0.06,0.094
10,149,0.036,0.062,0.094
10,15,0.007,0.015,0.096
10,150,0.038,0.064,0.093
10,151,0.032,0.056,0.096
10,152,0.069,0.108,0.082
10,153,0.035,0.061,0.095
10,154,0.068,0.106,0.082
10,155,0.048,0.079,0.089
10,156,0.065,0.103,0.083
10,157,0.059,0.095,0.085
10,158,0.053,0.087,0.087
10,159,0.084,0.128,0.078
10,16,0.002,0.005,0.11
10,160,0.115,0.168,0.071
10,161,0.232,0.305,0.054
10,162,0.183,0.249,0.06
10,163,0.15,0.21,0.065
10,164,0.175,0.24,0.061
10,165,0.161,0.224,0.063
10,166,0.191,0.259,0.059
10,167,0.289,0.368,0.048
10,168,0.25,0.325,0.052
10,169,0.136,0.193,0.068
10,17,0.004,0.009,0.101
10,170,0.169,0.234,0.063
10,171,0.22,0.292,0.056
10,172,0.346,0.428,0.043
10,173,0.272,0.349,0.05
10,174,0.221,0.294,0.056
10,175,0.133,0.19,0.069
10,176,0.11,0.161,0.074
10,177,0.129,0.185,0.07
10,178,0.114,0.166,0.074
10,179,0.222,0.294,0.057
10,18,0.007,0.016,0.094
10,180,0.223,0.296,0.057
10,181,0.247,0.323,0.054
10,182,0.216,0.287,0.058
10,183,0.144,0.204,0.069
10,184,0.21,0.281,0.06
