slice_num,coord_num,PValue,adjPVal,logFC
1,100,0.3,0.38,-0.038
1,101,0.389,0.472,-0.031
1,102,0.18,0.246,-0.049
1,103,0.264,0.341,-0.041
1,104,0.282,0.361,-0.04
1,105,0.415,0.499,-0.03
1,106,0.432,0.515,-0.029
1,107,0.406,0.489,-0.031
1,108,0.386,0.47,-0.032
1,109,0.487,0.569,-0.026
1,110,0.433,0.516,-0.029
1,111,0.618,0.69,-0.019
1,112,0.413,0.496,-0.031
1,113,0.421,0.504,-0.03
1,114,0.527,0.606,-0.024
1,115,0.369,0.452,-0.034
1,116,0.611,0.683,-0.019
1,117,0.477,0.559,-0.027
1,118,0.565,0.641,-0.022
1,119,0.554,0.632,-0.023
1,120,0.462,0.544,-0.028
1,121,0.518,0.598,-0.025
1,122,0.499,0.58,-0.026
1,123,0.62,0.692,-0.019
1,124,0.562,0.639,-0.022
1,125,0.792,0.839,-0.01
1,126,0.545,0.623,-0.024
1,127,0.606,0.679,-0.02
1,128,0.549,0.627,-0.023
1,129,0.542,0.62,-0.024
1,130,0.691,0.754,-0.016
1,131,0.561,0.638,-0.023
1,132,0.784,0.832,-0.011
1,133,0.743,0.798,-0.013
1,134,0.79,0.837,-0.01
1,135,0.859,0.893,-0.007
1,136,0.991,0.993,-0.0
1,137,0.803,0.848,0.01
1,138,0.957,0.968,0.002
1,139,0.898,0.923,0.005
1,140,0.879,0.908,-0.006
1,141,0.998,0.999,-0.0
1,142,0.832,0.871,-0.009
1,143,0.96,0.97,0.002
1,144,0.91,0.932,0.005
1,145,0.926,0.945,0.004
1,146,0.796,0.842,0.01
1,147,0.847,0.883,0.008
1,148,0.832,0.871,0.009
1,149,0.94,0.955,-0.003
1,150,0.995,0.997,-0.0
1,151,0.879,0.908,0.006
1,152,0.85,0.885,0.008
1,153,0.796,0.842,0.011
1,154,0.812,0.855,0.01
1,155,0.686,0.75,0.017
1,156,0.826,0.866,0.009
1,157,0.759,0.811,0.013
1,158,0.967,0.975,0.002
1,159,0.849,0.885,0.008
1,160,0.866,0.898,0.007
1,161,0.924,0.943,-0.004
1,162,0.941,0.956,-0.003
1,163,0.897,0.922,-0.005
1,164,0.881,0.91,0.006
1,165,0.905,0.928,0.005
1,166,0.944,0.958,-0.003
1,167,0.847,0.883,-0.008
1,168,0.873,0.903,0.007
1,169,0.779,0.828,0.012
1,170,0.672,0.738,0.018
1,171,0.935,0.951,0.004
1,172,0.944,0.958,0.003
1,173,0.837,0.875,-0.009
1,174,0.995,0.997,0.0
1,175,0.912,0.934,-0.005
1,176,0.926,0.945,-0.004
1,177,0.844,0.88,0.009
1,178,0.804,0.849,0.011
1,179,0.823,0.863,0.01
1,180,0.801,0.846,0.012
1,181,0.948,0.961,-0.003
1,182,0.994,0.996,-0.0
1,183,0.749,0.803,0.015
1,184,0.838,0.876,0.01
1,185,0.823,0.864,0.011
1,186,0.77,0.82,0.014
1,187,0.631,0.701,0.023
1,188,0.667,0.733,0.021
1,189,0.683,0.747,0.02
1,190,0.613,0.685,0.024
1,191,0.561,0.638,0.028
1,192,0.546,0.624,0.029
1,193,0.576,0.652,0.027
1,194,0.557,0.635,0.029
1,195,0.552,0.63,0.029
1,196,0.315,0.395,0.05
1,197,0.408,0.491,0.041
1,198,0.455,0.537,0.038
1,199,0.516,0.597,0.033
1,200,0.599,0.673,0.027
1,201,0.458,0.541,0.038
1,202,0.381,0.465,0.045
1,203,0.476,0.558,0.036
1,204,0.618,0.69,0.026
1,205,0.488,0.569,0.036
1,206,0.377,0.46,0.046
1,207,0.469,0.551,0.038
1,208,0.441,0.524,0.04
1,209,0.494,0.576,0.036
1,210,0.673,0.738,0.022
1,211,0.587,0.662,0.029
1,212,0.534,0.613,0.033
1,213,0.578,0.653,0.03
1,214,0.619,0.691,0.026
1,215,0.636,0.706,0.025
1,216,0.476,0.558,0.038
1,217,0.58,0.656,0.03
1,218,0.615,0.687,0.027
1,219,0.671,0.736,0.023
1,220,0.55,0.628,0.033
1,221,0.566,0.643,0.031
1,222,0.673,0.738,0.023
1,223,0.484,0.566,0.039
1,224,0.578,0.653,0.031
1,39,0.313,0.394,-0.032
1,40,0.37,0.453,-0.029
1,41,0.172,0.237,-0.044
1,42,0.148,0.209,-0.047
1,43,0.305,0.385,-0.033
1,44,0.276,0.354,-0.035
1,45,0.175,0.24,-0.044
1,46,0.258,0.334,-0.037
1,47,0.098,0.146,-0.054
1,48,0.195,0.264,-0.042
1,49,0.184,0.251,-0.043
1,50,0.139,0.198,-0.048
1,51,0.119,0.173,-0.051
1,52,0.102,0.151,-0.053
1,53,0.282,0.361,-0.035
1,54,0.088,0.133,-0.056
1,55,0.129,0.185,-0.05
1,56,0.155,0.217,-0.047
1,57,0.329,0.411,-0.032
1,58,0.233,0.306,-0.039
1,59,0.277,0.355,-0.036
1,60,0.116,0.169,-0.052
1,61,0.232,0.306,-0.04
1,62,0.174,0.24,-0.045
1,63,0.156,0.218,-0.047
1,64,0.134,0.191,-0.05
1,65,0.196,0.264,-0.043
1,66,0.271,0.349,-0.037
1,67,0.115,0.167,-0.053
1,68,0.11,0.161,-0.054
1,69,0.102,0.151,-0.055
1,70,0.275,0.353,-0.037
1,71,0.382,0.465,-0.03
1,72,0.274,0.352,-0.037
1,73,0.226,0.299,-0.041
1,74,0.266,0.343,-0.038
1,75,0.286,0.365,-0.037
1,76,0.214,0.286,-0.043
1,77,0.235,0.309,-0.041
1,78,0.155,0.216,-0.049
1,79,0.229,0.302,-0.042
1,80,0.216,0.287,-0.043
1,81,0.147,0.208,-0.051
1,82,0.212,0.283,-0.044
1,83,0.154,0.216,-0.05
1,84,0.163,0.226,-0.049
1,85,0.105,0.156,-0.057
