slice_num,coord_num,PValue,adjPVal,logFC
1,100,0.505,0.586,-0.024
1,101,0.391,0.474,-0.031
1,102,0.493,0.575,-0.025
1,103,0.516,0.596,-0.024
1,104,0.548,0.626,-0.022
1,105,0.394,0.477,-0.031
1,106,0.345,0.427,-0.035
1,107,0.303,0.383,-0.038
1,108,0.333,0.414,-0.036
1,109,0.34,0.422,-0.036
1,110,0.413,0.496,-0.031
1,111,0.373,0.456,-0.033
1,112,0.354,0.437,-0.035
1,113,0.346,0.428,-0.036
1,114,0.194,0.262,-0.049
1,115,0.322,0.403,-0.038
1,116,0.36,0.443,-0.035
1,117,0.218,0.29,-0.047
1,118,0.287,0.366,-0.041
1,119,0.233,0.307,-0.045
1,120,0.283,0.362,-0.041
1,121,0.559,0.636,-0.022
1,122,0.489,0.571,-0.027
1,123,0.43,0.514,-0.03
1,124,0.315,0.395,-0.039
1,125,0.372,0.455,-0.035
1,126,0.354,0.437,-0.036
1,127,0.248,0.323,-0.045
1,128,0.293,0.372,-0.041
1,129,0.267,0.344,-0.043
1,130,0.291,0.371,-0.041
1,131,0.328,0.409,-0.038
1,132,0.3,0.379,-0.04
1,133,0.24,0.314,-0.046
1,134,0.224,0.296,-0.048
1,135,0.137,0.196,-0.058
1,136,0.087,0.132,-0.067
1,137,0.141,0.199,-0.058
1,138,0.153,0.214,-0.057
1,139,0.228,0.301,-0.048
1,140,0.216,0.288,-0.049
1,141,0.183,0.25,-0.053
1,142,0.137,0.195,-0.059
1,143,0.133,0.19,-0.06
1,144,0.147,0.207,-0.058
1,145,0.195,0.264,-0.052
1,146,0.242,0.316,-0.047
1,147,0.245,0.321,-0.047
1,148,0.232,0.305,-0.048
1,149,0.232,0.306,-0.048
1,150,0.175,0.24,-0.055
1,151,0.156,0.218,-0.058
1,152,0.159,0.222,-0.057
1,153,0.184,0.251,-0.054
1,154,0.21,0.28,-0.051
1,155,0.23,0.303,-0.049
1,156,0.19,0.258,-0.054
1,157,0.241,0.315,-0.049
1,158,0.185,0.252,-0.055
1,159,0.24,0.314,-0.049
1,160,0.259,0.336,-0.047
1,161,0.134,0.192,-0.063
1,162,0.177,0.243,-0.057
1,163,0.177,0.243,-0.057
1,164,0.186,0.253,-0.056
1,165,0.268,0.345,-0.047
1,166,0.114,0.167,-0.067
1,167,0.133,0.19,-0.064
1,168,0.194,0.263,-0.056
1,169,0.122,0.177,-0.067
1,170,0.15,0.211,-0.063
1,171,0.103,0.152,-0.071
1,172,0.081,0.124,-0.077
1,173,0.05,0.082,-0.087
1,174,0.094,0.141,-0.074
1,175,0.12,0.174,-0.069
1,176,0.05,0.083,-0.088
1,177,0.042,0.07,-0.092
1,178,0.025,0.045,-0.102
1,179,0.041,0.069,-0.093
1,180,0.039,0.067,-0.094
1,181,0.033,0.057,-0.098
1,182,0.039,0.066,-0.095
1,183,0.02,0.037,-0.107
1,184,0.025,0.045,-0.105
1,185,0.022,0.041,-0.107
1,186,0.013,0.027,-0.116
1,187,0.009,0.019,-0.123
1,188,0.02,0.037,-0.111
1,189,0.014,0.028,-0.117
1,190,0.019,0.036,-0.113
1,191,0.011,0.023,-0.122
1,192,0.009,0.018,-0.127
1,193,0.005,0.012,-0.136
1,194,0.002,0.005,-0.153
1,195,0.001,0.004,-0.158
1,196,0.002,0.006,-0.15
1,197,0.002,0.005,-0.152
1,198,0.001,0.003,-0.162
1,199,0.005,0.011,-0.141
1,200,0.002,0.005,-0.156
1,201,0.002,0.004,-0.159
1,202,0.002,0.005,-0.159
1,203,0.002,0.005,-0.157
1,204,0.002,0.004,-0.161
1,205,0.002,0.005,-0.161
1,206,0.002,0.006,-0.156
1,207,0.003,0.008,-0.153
1,208,0.004,0.009,-0.151
1,209,0.002,0.006,-0.158
1,210,0.003,0.007,-0.156
1,211,0.003,0.006,-0.159
1,212,0.002,0.005,-0.165
1,213,0.003,0.006,-0.16
1,214,0.002,0.005,-0.165
1,215,0.004,0.008,-0.156
1,216,0.002,0.005,-0.167
1,217,0.002,0.005,-0.168
1,218,0.001,0.003,-0.178
1,219,0.003,0.007,-0.162
1,220,0.002,0.005,-0.167
1,221,0.002,0.005,-0.17
1,222,0.004,0.009,-0.157
1,223,0.002,0.004,-0.172
1,224,0.004,0.01,-0.157
1,39,0.74,0.796,-0.011
1,40,0.86,0.893,-0.006
1,41,0.748,0.803,-0.01
1,42,0.778,0.827,-0.009
1,43,0.937,0.953,0.003
1,44,0.698,0.76,-0.012
1,45,0.767,0.818,-0.01
1,46,0.691,0.754,-0.013
1,47,0.746,0.801,-0.01
1,48,0.774,0.824,-0.009
1,49,0.876,0.906,0.005
1,50,0.654,0.721,-0.015
1,51,0.569,0.646,-0.019
1,52,0.891,0.918,-0.004
1,53,0.715,0.774,-0.012
1,54,0.554,0.632,-0.019
1,55,0.508,0.588,-0.022
1,56,0.655,0.723,-0.015
1,57,0.742,0.797,-0.011
1,58,0.574,0.65,-0.018
1,59,0.614,0.686,-0.017
1,60,0.555,0.633,-0.019
1,61,1.0,1.0,0.0
1,62,0.641,0.711,-0.015
1,63,0.528,0.607,-0.021
1,64,0.657,0.724,-0.015
1,65,0.574,0.65,-0.019
1,66,0.519,0.599,-0.022
1,67,0.622,0.693,-0.017
1,68,0.801,0.846,-0.008
1,69,0.438,0.521,-0.026
1,70,0.601,0.674,-0.018
1,71,0.864,0.896,-0.006
1,72,0.997,0.998,0.0
1,73,0.82,0.861,-0.008
1,74,0.569,0.645,-0.019
1,75,0.787,0.834,-0.009
1,76,0.57,0.647,-0.02
1,77,0.617,0.689,-0.017
1,78,0.774,0.824,-0.01
1,79,0.952,0.964,0.002
1,80,0.56,0.637,-0.02
1,81,0.566,0.642,-0.02
1,82,0.366,0.448,-0.032
1,83,0.423,0.507,-0.028
1,84,0.776,0.826,-0.01
1,85,0.745,0.8,-0.011
1,86,0.519,0.599,-0.023
1,87,0.66,0.727,-0.016
1,88,0.627,0.698,-0.017
1,89,0.648,0.716,-0.016
1,90,0.52,0.6,-0.023
1,91,0.716,0.775,-0.013
1,92,0.565,0.642,-0.021
1,93,0.939,0.954,-0.003
1,94,0.597,0.671,-0.019
1,95,0.796,0.842,-0.009
1,96,0.38,0.463,-0.032
1,97,0.414,0.497,-0.03
1,98,0.605,0.679,-0.019
1,99,0.603,0.676,-0.019
10,10,0.774,0.824,-0.009
10,100,0.76,0.812,-0.011
10,101,0.695,0.757,-0.014
10,102,0.737,0.793,-0.012
10,103,0.539,0.618,-0.022
10,104,0.504,0.585,-0.025
10,105,0.563,0.64,-0.021
10,106,0.635,0.705,-0.017
10,107,0.613,0.685,-0.019
10,108,0.407,0.49,-0.031
10,109,0.265,0.342,-0.041
10,11,0.736,0.792,-0.011
10,110,0.346,0.429,-0.035
10,111,0.319,0.4,-0.037
10,112,0.245,0.32,-0.043
10,113,0.335,0.417,-0.036
10,114,0.392,0.475,-0.032
10,115,0.579,0.654,-0.021
10,116,0.572,0.649,-0.021
10,117,0.478,0.56,-0.027
10,118,0.366,0.449,-0.034
10,119,0.353,0.435,-0.035
10,12,0.846,0.882,-0.006
10,120,0.316,0.396,-0.038
10,121,0.269,0.347,-0.042
10,122,0.323,0.404,-0.038
10,123,0.449,0.532,-0.029
10,124,0.434,0.517,-0.03
10,125,0.403,0.486,-0.032
10,126,0.413,0.496,-0.031
10,127,0.454,0.537,-0.029
10,128,0.545,0.624,-0.023
10,129,0.402,0.485,-0.032
10,13,0.327,0.408,-0.031
10,130,0.358,0.44,-0.035
10,131,0.308,0.388,-0.039
10,132,0.498,0.579,-0.026
10,133,0.589,0.664,-0.021
10,134,0.574,0.65,-0.022
10,135,0.342,0.424,-0.037
10,136,0.38,0.463,-0.034
10,137,0.303,0.383,-0.04
10,138,0.302,0.382,-0.04
10,139,0.377,0.46,-0.035
10,14,0.845,0.881,-0.006
10,140,0.33,0.412,-0.038
10,141,0.325,0.406,-0.039
10,142,0.22,0.292,-0.048
10,143,0.226,0.299,-0.048
10,144,0.277,0.355,-0.043
10,145,0.319,0.4,-0.039
10,146,0.292,0.371,-0.042
10,147,0.294,0.373,-0.041
10,148,0.356,0.439,-0.037
10,149,0.233,0.307,-0.047
10,15,0.788,0.836,-0.008
10,150,0.392,0.475,-0.034
10,151,0.239,0.314,-0.047
10,152,0.171,0.236,-0.055
10,153,0.289,0.368,-0.042
10,154,0.406,0.489,-0.033
10,155,0.511,0.591,-0.026
10,156,0.351,0.433,-0.037
10,157,0.32,0.4,-0.04
10,158,0.386,0.47,-0.035
10,159,0.339,0.421,-0.038
10,16,0.515,0.595,-0.02
10,160,0.248,0.324,-0.046
10,161,0.223,0.296,-0.049
10,162,0.185,0.252,-0.053
10,163,0.283,0.361,-0.043
10,164,0.369,0.452,-0.036
10,165,0.261,0.337,-0.045
10,166,0.382,0.466,-0.035
10,167,0.326,0.407,-0.04
10,168,0.234,0.308,-0.048
10,169,0.406,0.489,-0.034
10,17,0.971,0.979,-0.001
10,170,0.402,0.485,-0.034
10,171,0.302,0.381,-0.042
10,172,0.452,0.535,-0.031
10,173,0.284,0.362,-0.044
10,174,0.207,0.278,-0.051
10,175,0.445,0.528,-0.031
10,176,0.454,0.536,-0.031
10,177,0.383,0.466,-0.036
10,178,0.359,0.441,-0.038
10,179,0.282,0.361,-0.044
10,18,0.801,0.846,-0.008
