slice_num,coord_num,PValue,adjPVal,logFC
1,100,0.001,0.003,0.122
1,101,0.0,0.001,0.135
1,102,0.0,0.001,0.131
1,103,0.001,0.003,0.121
1,104,0.002,0.005,0.115
1,105,0.002,0.005,0.117
1,106,0.002,0.005,0.117
1,107,0.002,0.005,0.116
1,108,0.001,0.003,0.121
1,109,0.0,0.001,0.134
1,110,0.001,0.002,0.126
1,111,0.001,0.003,0.124
1,112,0.001,0.003,0.125
1,113,0.001,0.004,0.122
1,114,0.001,0.003,0.127
1,115,0.001,0.002,0.133
1,116,0.002,0.005,0.12
1,117,0.001,0.002,0.131
1,118,0.001,0.002,0.133
1,119,0.001,0.003,0.129
1,120,0.002,0.006,0.119
1,121,0.001,0.004,0.125
1,122,0.002,0.005,0.12
1,123,0.001,0.003,0.13
1,124,0.002,0.004,0.124
1,125,0.001,0.003,0.127
1,126,0.001,0.003,0.129
1,127,0.001,0.003,0.127
1,128,0.0,0.001,0.142
1,129,0.001,0.003,0.13
1,130,0.001,0.004,0.126
1,131,0.001,0.002,0.136
1,132,0.001,0.002,0.135
1,133,0.0,0.001,0.141
1,134,0.0,0.001,0.145
1,135,0.0,0.001,0.147
1,136,0.0,0.001,0.141
1,137,0.001,0.002,0.134
1,138,0.001,0.003,0.13
1,139,0.0,0.002,0.14
1,140,0.0,0.001,0.147
1,141,0.0,0.001,0.15
1,142,0.0,0.001,0.147
1,143,0.0,0.001,0.154
1,144,0.0,0.001,0.148
1,145,0.0,0.001,0.156
1,146,0.0,0.001,0.146
1,147,0.0,0.001,0.146
1,148,0.0,0.0,0.161
1,149,0.0,0.001,0.152
1,150,0.0,0.001,0.155
1,151,0.0,0.001,0.157
1,152,0.0,0.001,0.155
1,153,0.0,0.001,0.149
1,154,0.0,0.0,0.162
1,155,0.0,0.001,0.157
1,156,0.0,0.001,0.147
1,157,0.0,0.001,0.152
1,158,0.0,0.001,0.151
1,159,0.0,0.001,0.16
1,160,0.0,0.001,0.156
1,161,0.0,0.001,0.15
1,162,0.0,0.001,0.159
1,163,0.0,0.001,0.157
1,164,0.0,0.001,0.161
1,165,0.0,0.001,0.154
1,166,0.001,0.003,0.143
1,167,0.001,0.002,0.145
1,168,0.002,0.004,0.137
1,169,0.003,0.007,0.13
1,170,0.001,0.002,0.148
1,171,0.001,0.002,0.15
1,172,0.0,0.001,0.159
1,173,0.001,0.004,0.143
1,174,0.001,0.003,0.147
1,175,0.002,0.005,0.141
1,176,0.004,0.008,0.132
1,177,0.002,0.005,0.142
1,178,0.003,0.007,0.137
1,179,0.004,0.009,0.133
1,180,0.003,0.007,0.139
1,181,0.004,0.009,0.134
1,182,0.009,0.019,0.122
1,183,0.01,0.02,0.121
1,184,0.014,0.028,0.116
1,185,0.018,0.034,0.112
1,186,0.018,0.034,0.113
1,187,0.017,0.033,0.114
1,188,0.01,0.02,0.124
1,189,0.017,0.032,0.116
1,190,0.014,0.027,0.12
1,191,0.012,0.025,0.122
1,192,0.019,0.036,0.115
1,193,0.022,0.04,0.113
1,194,0.012,0.023,0.125
1,195,0.009,0.018,0.131
1,196,0.011,0.023,0.127
1,197,0.017,0.033,0.12
1,198,0.006,0.014,0.138
1,199,0.009,0.019,0.132
1,200,0.005,0.011,0.143
1,201,0.012,0.024,0.129
1,202,0.011,0.023,0.131
1,203,0.008,0.016,0.138
1,204,0.004,0.009,0.15
1,205,0.005,0.011,0.147
1,206,0.005,0.011,0.147
1,207,0.006,0.012,0.146
1,208,0.004,0.009,0.152
1,209,0.003,0.006,0.159
1,210,0.002,0.006,0.161
1,211,0.002,0.006,0.161
1,212,0.004,0.01,0.153
