slice_num,coord_num,PValue,adjPVal,logFC
1,100,0.505,0.585,0.024
1,101,0.389,0.472,0.031
1,102,0.492,0.573,0.025
1,103,0.514,0.594,0.024
1,104,0.546,0.624,0.022
1,105,0.393,0.476,0.031
1,106,0.344,0.426,0.035
1,107,0.302,0.382,0.038
1,108,0.331,0.412,0.036
1,109,0.338,0.42,0.036
1,110,0.411,0.494,0.031
1,111,0.371,0.454,0.033
1,112,0.352,0.435,0.035
1,113,0.343,0.425,0.036
1,114,0.192,0.261,0.049
1,115,0.321,0.401,0.038
1,116,0.359,0.442,0.035
1,117,0.217,0.289,0.047
1,118,0.285,0.364,0.041
1,119,0.232,0.306,0.046
1,120,0.282,0.36,0.041
1,121,0.557,0.634,0.023
1,122,0.487,0.569,0.027
1,123,0.428,0.511,0.031
1,124,0.313,0.394,0.039
1,125,0.37,0.452,0.035
1,126,0.352,0.434,0.036
1,127,0.246,0.321,0.045
1,128,0.29,0.369,0.041
1,129,0.264,0.341,0.043
1,130,0.288,0.367,0.041
1,131,0.325,0.406,0.038
1,132,0.297,0.376,0.041
1,133,0.236,0.31,0.046
1,134,0.221,0.293,0.048
1,135,0.136,0.193,0.059
1,136,0.086,0.131,0.068
1,137,0.139,0.197,0.058
1,138,0.151,0.212,0.057
1,139,0.225,0.298,0.048
1,140,0.213,0.284,0.049
1,141,0.181,0.247,0.053
1,142,0.135,0.192,0.06
1,143,0.13,0.187,0.061
1,144,0.145,0.204,0.058
1,145,0.192,0.261,0.052
1,146,0.238,0.313,0.048
1,147,0.242,0.317,0.047
1,148,0.229,0.302,0.049
1,149,0.229,0.303,0.049
1,150,0.172,0.237,0.055
1,151,0.153,0.215,0.058
1,152,0.157,0.219,0.058
1,153,0.182,0.249,0.055
1,154,0.207,0.278,0.052
1,155,0.227,0.3,0.05
1,156,0.188,0.255,0.054
1,157,0.238,0.312,0.049
1,158,0.183,0.249,0.055
1,159,0.238,0.312,0.049
1,160,0.257,0.333,0.047
1,161,0.133,0.19,0.063
1,162,0.175,0.241,0.057
1,163,0.175,0.241,0.057
1,164,0.184,0.251,0.056
1,165,0.266,0.343,0.047
1,166,0.113,0.166,0.068
1,167,0.132,0.189,0.065
1,168,0.193,0.261,0.056
1,169,0.121,0.175,0.067
1,170,0.148,0.208,0.063
1,171,0.101,0.151,0.071
1,172,0.08,0.123,0.077
1,173,0.049,0.081,0.087
1,174,0.093,0.14,0.075
1,175,0.119,0.172,0.07
1,176,0.05,0.082,0.088
1,177,0.041,0.069,0.092
1,178,0.024,0.044,0.102
1,179,0.04,0.068,0.093
1,180,0.039,0.066,0.094
1,181,0.032,0.056,0.098
1,182,0.038,0.066,0.095
1,183,0.02,0.037,0.108
1,184,0.024,0.044,0.105
1,185,0.022,0.041,0.107
1,186,0.013,0.026,0.117
1,187,0.009,0.019,0.124
1,188,0.019,0.036,0.111
1,189,0.014,0.027,0.117
1,190,0.018,0.035,0.113
1,191,0.011,0.023,0.122
1,192,0.009,0.018,0.127
1,193,0.005,0.012,0.137
1,194,0.002,0.005,0.153
1,195,0.001,0.004,0.158
1,196,0.002,0.006,0.15
1,197,0.002,0.005,0.153
1,198,0.001,0.003,0.162
1,199,0.005,0.011,0.142
1,200,0.002,0.005,0.156
1,201,0.002,0.004,0.16
1,202,0.002,0.004,0.16
1,203,0.002,0.005,0.157
1,204,0.002,0.004,0.162
1,205,0.002,0.005,0.161
1,206,0.002,0.006,0.157
1,207,0.003,0.008,0.153
1,208,0.004,0.009,0.151
1,209,0.002,0.006,0.158
1,210,0.003,0.007,0.157
1,211,0.002,0.006,0.159
1,212,0.002,0.005,0.165
1,213,0.002,0.006,0.16
1,214,0.002,0.005,0.165
1,215,0.003,0.008,0.156
1,216,0.002,0.005,0.168
1,217,0.002,0.004,0.169
1,218,0.001,0.003,0.178
1,219,0.003,0.007,0.163
1,220,0.002,0.005,0.168
1,221,0.002,0.005,0.17
1,222,0.004,0.009,0.158
1,223,0.002,0.004,0.173
1,224,0.004,0.01,0.158
1,39,0.736,0.792,0.011
1,40,0.856,0.89,0.006
1,41,0.744,0.799,0.01
1,42,0.774,0.824,0.009
1,43,0.943,0.957,-0.002
1,44,0.694,0.756,0.013
1,45,0.763,0.815,0.01
1,46,0.688,0.751,0.013
1,47,0.743,0.798,0.011
1,48,0.77,0.82,0.009
1,49,0.879,0.908,-0.005
1,50,0.65,0.718,0.015
1,51,0.567,0.644,0.019
1,52,0.888,0.915,0.005
1,53,0.712,0.772,0.012
1,54,0.554,0.632,0.019
1,55,0.506,0.586,0.022
1,56,0.653,0.721,0.015
1,57,0.74,0.796,0.011
1,58,0.573,0.649,0.019
1,59,0.612,0.685,0.017
1,60,0.554,0.632,0.02
1,61,0.998,0.999,0.0
1,62,0.64,0.709,0.016
1,63,0.527,0.606,0.021
1,64,0.656,0.724,0.015
1,65,0.574,0.65,0.019
1,66,0.518,0.598,0.022
1,67,0.62,0.692,0.017
