slice_num,coord_num,PValue,adjPVal,logFC
1,100,0.503,0.584,0.024
1,101,0.382,0.465,0.032
1,102,0.487,0.568,0.025
1,103,0.507,0.588,0.024
1,104,0.538,0.617,0.023
1,105,0.391,0.474,0.032
1,106,0.342,0.424,0.035
1,107,0.298,0.378,0.039
1,108,0.324,0.405,0.037
1,109,0.33,0.412,0.036
1,110,0.401,0.484,0.031
1,111,0.364,0.447,0.034
1,112,0.345,0.427,0.035
1,113,0.335,0.417,0.036
1,114,0.187,0.255,0.05
1,115,0.316,0.397,0.038
1,116,0.355,0.437,0.035
1,117,0.212,0.283,0.048
1,118,0.278,0.356,0.041
1,119,0.229,0.303,0.046
1,120,0.276,0.354,0.042
1,121,0.548,0.626,0.023
1,122,0.479,0.561,0.027
1,123,0.418,0.501,0.031
1,124,0.307,0.387,0.039
1,125,0.361,0.444,0.035
1,126,0.342,0.424,0.037
1,127,0.238,0.312,0.046
1,128,0.281,0.359,0.042
1,129,0.255,0.331,0.044
1,130,0.276,0.354,0.042
1,131,0.312,0.392,0.039
1,132,0.285,0.364,0.042
1,133,0.224,0.296,0.048
1,134,0.21,0.281,0.049
1,135,0.129,0.185,0.06
1,136,0.082,0.126,0.068
1,137,0.133,0.19,0.059
1,138,0.145,0.204,0.058
1,139,0.216,0.287,0.049
1,140,0.201,0.271,0.051
1,141,0.173,0.238,0.054
1,142,0.128,0.184,0.061
1,143,0.122,0.177,0.062
1,144,0.137,0.195,0.06
1,145,0.183,0.25,0.054
1,146,0.226,0.299,0.049
1,147,0.232,0.305,0.048
1,148,0.218,0.29,0.05
1,149,0.219,0.291,0.05
1,150,0.163,0.226,0.057
1,151,0.145,0.204,0.059
1,152,0.149,0.21,0.059
1,153,0.175,0.24,0.056
1,154,0.199,0.268,0.053
1,155,0.217,0.289,0.051
1,156,0.18,0.246,0.055
1,157,0.228,0.302,0.05
1,158,0.176,0.242,0.056
1,159,0.232,0.305,0.05
1,160,0.251,0.326,0.048
1,161,0.129,0.186,0.064
1,162,0.17,0.235,0.058
1,163,0.17,0.235,0.058
1,164,0.179,0.245,0.057
1,165,0.258,0.335,0.048
1,166,0.109,0.161,0.068
1,167,0.128,0.184,0.065
1,168,0.187,0.254,0.057
1,169,0.117,0.17,0.068
1,170,0.142,0.201,0.064
1,171,0.097,0.146,0.072
1,172,0.077,0.119,0.078
1,173,0.048,0.079,0.088
1,174,0.09,0.136,0.075
1,175,0.115,0.168,0.07
1,176,0.048,0.079,0.089
1,177,0.039,0.067,0.093
1,178,0.023,0.042,0.103
1,179,0.038,0.065,0.094
1,180,0.037,0.063,0.095
1,181,0.031,0.055,0.099
1,182,0.037,0.063,0.096
1,183,0.018,0.035,0.109
1,184,0.022,0.041,0.106
1,185,0.02,0.038,0.108
1,186,0.012,0.025,0.118
1,187,0.008,0.018,0.125
1,188,0.018,0.034,0.112
1,189,0.013,0.026,0.119
1,190,0.017,0.033,0.114
1,191,0.01,0.021,0.124
1,192,0.008,0.017,0.129
1,193,0.005,0.011,0.138
1,194,0.002,0.004,0.155
1,195,0.001,0.003,0.159
1,196,0.002,0.006,0.151
1,197,0.002,0.005,0.154
1,198,0.001,0.003,0.163
1,199,0.004,0.01,0.143
1,200,0.002,0.005,0.158
1,201,0.001,0.004,0.161
1,202,0.002,0.004,0.161
1,203,0.002,0.005,0.159
1,204,0.001,0.004,0.163
1,205,0.002,0.004,0.163
1,206,0.002,0.006,0.158
1,207,0.003,0.007,0.155
1,208,0.003,0.008,0.153
1,209,0.002,0.005,0.16
1,210,0.002,0.006,0.159
1,211,0.002,0.006,0.161
1,212,0.002,0.004,0.167
1,213,0.002,0.006,0.162
1,214,0.002,0.004,0.167
1,215,0.003,0.008,0.158
1,216,0.002,0.004,0.17
1,217,0.001,0.004,0.171
1,218,0.001,0.002,0.18
1,219,0.002,0.006,0.165
1,220,0.002,0.005,0.169
1,221,0.002,0.004,0.172
1,222,0.003,0.008,0.16
1,223,0.001,0.004,0.175
1,224,0.004,0.009,0.16
1,39,0.72,0.778,0.012
