slice_num,coord_num,PValue,adjPVal,logFC
1,100,0.01,0.021,0.096
1,101,0.002,0.005,0.116
1,102,0.002,0.004,0.118
1,103,0.004,0.01,0.108
1,104,0.003,0.008,0.111
1,105,0.003,0.008,0.111
1,106,0.003,0.008,0.111
1,107,0.007,0.014,0.104
1,108,0.006,0.014,0.105
1,109,0.002,0.005,0.118
1,110,0.003,0.007,0.114
1,111,0.006,0.013,0.106
1,112,0.002,0.006,0.117
1,113,0.002,0.005,0.119
1,114,0.002,0.005,0.12
1,115,0.001,0.003,0.129
1,116,0.001,0.003,0.128
1,117,0.001,0.004,0.126
1,118,0.002,0.005,0.123
1,119,0.002,0.004,0.124
1,120,0.001,0.003,0.131
1,121,0.001,0.003,0.131
1,122,0.001,0.004,0.126
1,123,0.001,0.003,0.129
1,124,0.001,0.003,0.129
1,125,0.002,0.005,0.124
1,126,0.001,0.002,0.134
1,127,0.0,0.002,0.139
1,128,0.0,0.001,0.15
1,129,0.0,0.001,0.141
1,130,0.0,0.002,0.14
1,131,0.0,0.001,0.146
1,132,0.0,0.001,0.149
1,133,0.0,0.001,0.15
1,134,0.0,0.001,0.144
1,135,0.0,0.0,0.16
1,136,0.0,0.0,0.158
1,137,0.0,0.001,0.144
1,138,0.0,0.002,0.142
1,139,0.0,0.001,0.152
1,140,0.0,0.001,0.154
1,141,0.0,0.001,0.151
1,142,0.0,0.0,0.158
1,143,0.0,0.001,0.157
1,144,0.0,0.001,0.149
1,145,0.0,0.001,0.156
1,146,0.0,0.0,0.162
1,147,0.0,0.0,0.163
1,148,0.0,0.0,0.171
1,149,0.0,0.0,0.165
1,150,0.0,0.0,0.167
1,151,0.0,0.0,0.17
1,152,0.0,0.0,0.17
1,153,0.0,0.001,0.161
1,154,0.0,0.0,0.174
1,155,0.0,0.0,0.173
1,156,0.0,0.001,0.159
1,157,0.0,0.0,0.167
1,158,0.0,0.001,0.159
1,159,0.0,0.0,0.17
1,160,0.0,0.0,0.167
1,161,0.0,0.001,0.163
1,162,0.0,0.001,0.164
1,163,0.0,0.001,0.165
1,164,0.0,0.001,0.166
1,165,0.0,0.001,0.161
1,166,0.0,0.001,0.165
1,167,0.0,0.001,0.156
1,168,0.0,0.001,0.155
1,169,0.002,0.004,0.14
1,170,0.0,0.001,0.159
1,171,0.0,0.001,0.167
1,172,0.0,0.001,0.164
1,173,0.001,0.002,0.152
1,174,0.001,0.004,0.146
1,175,0.002,0.005,0.142
1,176,0.002,0.005,0.142
1,177,0.002,0.004,0.146
1,178,0.004,0.009,0.135
1,179,0.003,0.007,0.139
1,180,0.004,0.009,0.136
