slice_num,coord_num,PValue,adjPVal,logFC
1,100,0.031,0.054,0.079
1,101,0.005,0.011,0.103
1,102,0.003,0.008,0.107
1,103,0.009,0.019,0.096
1,104,0.008,0.017,0.098
1,105,0.009,0.02,0.096
1,106,0.009,0.019,0.097
1,107,0.013,0.026,0.093
1,108,0.015,0.029,0.091
1,109,0.005,0.011,0.105
1,110,0.008,0.016,0.1
1,111,0.014,0.027,0.093
1,112,0.006,0.013,0.103
1,113,0.004,0.01,0.108
1,114,0.006,0.013,0.105
1,115,0.002,0.005,0.117
1,116,0.003,0.007,0.114
1,117,0.003,0.007,0.114
1,118,0.003,0.008,0.113
1,119,0.003,0.007,0.115
1,120,0.001,0.004,0.122
1,121,0.001,0.004,0.123
1,122,0.002,0.005,0.119
1,123,0.002,0.005,0.12
1,124,0.002,0.006,0.119
1,125,0.004,0.009,0.112
1,126,0.002,0.005,0.122
1,127,0.001,0.003,0.126
1,128,0.001,0.002,0.136
1,129,0.001,0.003,0.128
1,130,0.001,0.003,0.128
1,131,0.001,0.002,0.133
1,132,0.0,0.001,0.139
1,133,0.0,0.001,0.139
1,134,0.001,0.002,0.133
1,135,0.0,0.001,0.148
1,136,0.0,0.001,0.145
1,137,0.001,0.003,0.13
1,138,0.001,0.004,0.128
1,139,0.0,0.001,0.14
1,140,0.001,0.002,0.138
1,141,0.001,0.002,0.135
1,142,0.0,0.001,0.142
1,143,0.0,0.001,0.144
1,144,0.001,0.002,0.137
1,145,0.0,0.001,0.143
1,146,0.0,0.001,0.151
1,147,0.0,0.001,0.147
1,148,0.0,0.0,0.156
1,149,0.0,0.001,0.15
1,150,0.0,0.001,0.15
1,151,0.0,0.001,0.153
1,152,0.0,0.001,0.153
1,153,0.0,0.001,0.145
1,154,0.0,0.001,0.151
1,155,0.0,0.001,0.153
1,156,0.001,0.002,0.14
1,157,0.0,0.001,0.145
1,158,0.001,0.002,0.14
1,159,0.0,0.001,0.15
1,160,0.001,0.002,0.145
1,161,0.001,0.002,0.143
1,162,0.001,0.002,0.143
1,163,0.001,0.002,0.146
1,164,0.001,0.002,0.148
1,165,0.001,0.003,0.142
1,166,0.001,0.002,0.148
1,167,0.001,0.003,0.142
1,168,0.001,0.004,0.138
1,169,0.004,0.009,0.125
1,170,0.001,0.003,0.144
1,171,0.001,0.002,0.152
1,172,0.001,0.003,0.147
1,173,0.002,0.005,0.137
1,174,0.004,0.009,0.129
1,175,0.007,0.016,0.12
1,176,0.007,0.014,0.122
1,177,0.005,0.012,0.126
1,178,0.01,0.02,0.117
1,179,0.008,0.016,0.122
1,180,0.011,0.022,0.117
1,181,0.016,0.03,0.111
1,182,0.015,0.03,0.112
1,183,0.018,0.035,0.109
1,184,0.016,0.031,0.113
1,185,0.019,0.036,0.11
1,186,0.019,0.035,0.111
1,187,0.029,0.051,0.104
1,188,0.013,0.026,0.119
1,189,0.019,0.035,0.113
1,190,0.022,0.041,0.11
1,191,0.04,0.067,0.1
1,192,0.021,0.04,0.112
1,193,0.028,0.05,0.108
1,194,0.032,0.056,0.106
1,195,0.024,0.043,0.112
1,196,0.02,0.037,0.116
1,197,0.021,0.039,0.115
1,198,0.013,0.026,0.125
1,199,0.017,0.033,0.12
1,200,0.011,0.022,0.129
1,201,0.009,0.019,0.132
1,202,0.007,0.015,0.138
1,203,0.007,0.015,0.139
1,204,0.004,0.01,0.147
1,205,0.004,0.009,0.149
1,206,0.004,0.009,0.15
1,207,0.003,0.008,0.154
1,208,0.003,0.008,0.155
1,209,0.001,0.004,0.167
1,210,0.002,0.006,0.159
1,211,0.002,0.004,0.166
1,212,0.002,0.005,0.166
1,213,0.0,0.002,0.186
1,214,0.001,0.003,0.178
1,215,0.001,0.004,0.172
1,216,0.001,0.003,0.178
1,217,0.001,0.002,0.18
1,218,0.001,0.002,0.182
1,219,0.002,0.004,0.172
1,220,0.001,0.003,0.178
1,221,0.002,0.005,0.171
1,222,0.002,0.004,0.174
1,223,0.001,0.004,0.176
1,224,0.002,0.004,0.175
1,39,0.004,0.009,0.093
1,40,0.008,0.018,0.085
1,41,0.008,0.017,0.086
1,42,0.004,0.01,0.092
