slice_num,coord_num,PValue,adjPVal,logFC
1,100,0.006,0.013,0.104
1,101,0.001,0.003,0.123
1,102,0.001,0.002,0.128
1,103,0.002,0.005,0.117
1,104,0.001,0.004,0.121
1,105,0.001,0.004,0.121
1,106,0.001,0.004,0.122
1,107,0.003,0.006,0.115
1,108,0.003,0.007,0.115
1,109,0.001,0.002,0.128
1,110,0.001,0.004,0.124
1,111,0.002,0.006,0.117
1,112,0.001,0.002,0.131
1,113,0.001,0.002,0.133
1,114,0.001,0.002,0.134
1,115,0.0,0.001,0.142
1,116,0.0,0.001,0.143
1,117,0.0,0.001,0.139
1,118,0.001,0.002,0.136
1,119,0.0,0.002,0.137
1,120,0.0,0.001,0.146
1,121,0.0,0.001,0.144
1,122,0.0,0.001,0.14
1,123,0.0,0.001,0.143
1,124,0.0,0.001,0.146
1,125,0.0,0.001,0.14
1,126,0.0,0.001,0.15
1,127,0.0,0.0,0.155
1,128,0.0,0.0,0.164
1,129,0.0,0.0,0.157
1,130,0.0,0.0,0.155
1,131,0.0,0.0,0.16
1,132,0.0,0.0,0.164
1,133,0.0,0.0,0.166
1,134,0.0,0.0,0.157
1,135,0.0,0.0,0.174
1,136,0.0,0.0,0.173
1,137,0.0,0.0,0.158
1,138,0.0,0.0,0.158
1,139,0.0,0.0,0.167
1,140,0.0,0.0,0.169
1,141,0.0,0.0,0.164
1,142,0.0,0.0,0.173
1,143,0.0,0.0,0.17
1,144,0.0,0.0,0.164
1,145,0.0,0.0,0.169
1,146,0.0,0.0,0.177
1,147,0.0,0.0,0.177
1,148,0.0,0.0,0.183
1,149,0.0,0.0,0.178
1,150,0.0,0.0,0.18
1,151,0.0,0.0,0.184
1,152,0.0,0.0,0.184
1,153,0.0,0.0,0.175
1,154,0.0,0.0,0.186
1,155,0.0,0.0,0.185
1,156,0.0,0.0,0.172
1,157,0.0,0.0,0.178
1,158,0.0,0.0,0.17
1,159,0.0,0.0,0.18
1,160,0.0,0.0,0.178
1,161,0.0,0.0,0.176
1,162,0.0,0.0,0.176
1,163,0.0,0.0,0.177
1,164,0.0,0.0,0.176
1,165,0.0,0.0,0.171
1,166,0.0,0.0,0.179
1,167,0.0,0.001,0.169
1,168,0.0,0.001,0.168
1,169,0.001,0.002,0.154
1,170,0.0,0.0,0.172
1,171,0.0,0.0,0.18
1,172,0.0,0.0,0.177
1,173,0.0,0.001,0.167
1,174,0.0,0.002,0.159
1,175,0.001,0.002,0.157
1,176,0.001,0.002,0.158
1,177,0.0,0.001,0.162
1,178,0.001,0.003,0.152
1,179,0.001,0.003,0.156
1,180,0.001,0.003,0.152
1,181,0.002,0.004,0.149
1,182,0.001,0.004,0.152
1,183,0.002,0.005,0.147
1,184,0.002,0.005,0.15
1,185,0.002,0.005,0.149
1,186,0.003,0.006,0.146
1,187,0.005,0.011,0.137
1,188,0.002,0.005,0.152
1,189,0.003,0.007,0.148
1,190,0.003,0.008,0.146
1,191,0.006,0.014,0.136
1,192,0.003,0.008,0.146
1,193,0.006,0.012,0.139
1,194,0.006,0.013,0.139
1,195,0.004,0.009,0.147
1,196,0.003,0.007,0.151
1,197,0.003,0.008,0.15
1,198,0.003,0.007,0.154
1,199,0.004,0.009,0.15
1,200,0.002,0.005,0.161
1,201,0.002,0.006,0.159
1,202,0.001,0.004,0.168
1,203,0.002,0.004,0.166
1,204,0.001,0.003,0.173
1,205,0.001,0.002,0.179
1,206,0.001,0.002,0.179
1,207,0.001,0.002,0.179
1,208,0.001,0.003,0.179
1,209,0.0,0.001,0.195
1,210,0.001,0.002,0.183
1,211,0.0,0.001,0.191
1,212,0.0,0.001,0.193
1,213,0.0,0.001,0.207
1,214,0.0,0.001,0.198
1,215,0.0,0.001,0.194
1,216,0.0,0.001,0.197
1,217,0.0,0.001,0.201
1,218,0.0,0.001,0.202
1,219,0.001,0.002,0.19
1,220,0.001,0.002,0.193
1,221,0.001,0.003,0.182
1,222,0.001,0.003,0.187
1,223,0.001,0.004,0.181
1,224,0.002,0.005,0.176
1,39,0.001,0.003,0.11
1,40,0.002,0.006,0.101
1,41,0.003,0.006,0.1
1,42,0.001,0.003,0.11
1,43,0.001,0.004,0.107
1,44,0.001,0.002,0.111
1,45,0.0,0.001,0.12
1,46,0.001,0.002,0.114
1,47,0.003,0.007,0.099
1,48,0.001,0.003,0.108
1,49,0.001,0.003,0.109
1,50,0.002,0.006,0.101
1,51,0.002,0.005,0.103
1,52,0.0,0.001,0.117
1,53,0.002,0.005,0.105
1,54,0.001,0.004,0.107
1,55,0.001,0.002,0.114
1,56,0.001,0.002,0.116
1,57,0.001,0.002,0.116
1,58,0.001,0.002,0.117
1,59,0.001,0.003,0.112
1,60,0.001,0.004,0.108
1,61,0.0,0.001,0.122
1,62,0.002,0.006,0.104
1,63,0.003,0.007,0.103
1,64,0.002,0.005,0.105
1,65,0.006,0.012,0.095
1,66,0.003,0.007,0.104
1,67,0.007,0.015,0.093
1,68,0.005,0.011,0.098
1,69,0.005,0.012,0.097
1,70,0.004,0.009,0.1
1,71,0.005,0.012,0.097
1,72,0.004,0.01,0.1
1,73,0.005,0.012,0.098
1,74,0.003,0.008,0.103
1,75,0.002,0.005,0.109
1,76,0.002,0.005,0.11
1,77,0.007,0.016,0.095
1,78,0.001,0.003,0.118
1,79,0.004,0.01,0.102
1,80,0.003,0.008,0.105
1,81,0.002,0.006,0.11
1,82,0.002,0.005,0.111
1,83,0.001,0.002,0.122
1,84,0.001,0.002,0.124
1,85,0.0,0.001,0.133
1,86,0.0,0.001,0.131
1,87,0.0,0.001,0.128
1,88,0.001,0.003,0.118
1,89,0.001,0.002,0.125
1,90,0.001,0.003,0.119
1,91,0.002,0.006,0.112
1,92,0.001,0.002,0.125
1,93,0.001,0.002,0.125
1,94,0.002,0.004,0.116
1,95,0.002,0.005,0.114
1,96,0.002,0.005,0.116
1,97,0.002,0.004,0.117
1,98,0.004,0.01,0.107
1,99,0.002,0.005,0.118
10,10,0.01,0.021,0.085
10,100,0.0,0.0,0.15
10,101,0.0,0.0,0.148
10,102,0.0,0.002,0.131
10,103,0.0,0.0,0.148
10,104,0.0,0.001,0.14
10,105,0.0,0.0,0.146
10,106,0.0,0.001,0.143
10,107,0.0,0.001,0.134
10,108,0.001,0.002,0.128
10,109,0.001,0.003,0.126
