slice_num,coord_num,PValue,adjPVal,logFC
1,100,0.645,0.714,0.017
1,101,0.848,0.884,0.007
1,102,0.636,0.706,0.017
1,103,0.6,0.673,0.019
1,104,0.639,0.708,0.017
1,105,0.537,0.616,0.023
1,106,0.473,0.556,0.026
1,107,0.376,0.459,0.033
1,108,0.513,0.594,0.024
1,109,0.588,0.662,0.02
1,110,0.64,0.709,0.017
1,111,0.409,0.492,0.031
1,112,0.309,0.39,0.038
1,113,0.306,0.386,0.038
1,114,0.278,0.356,0.041
1,115,0.36,0.443,0.035
1,116,0.239,0.314,0.045
1,117,0.392,0.475,0.033
1,118,0.341,0.423,0.036
1,119,0.321,0.402,0.038
1,120,0.227,0.3,0.046
1,121,0.405,0.489,0.032
1,122,0.313,0.394,0.039
1,123,0.335,0.416,0.037
1,124,0.171,0.236,0.053
1,125,0.23,0.304,0.046
1,126,0.244,0.318,0.045
1,127,0.235,0.309,0.046
1,128,0.411,0.494,0.032
1,129,0.269,0.346,0.043
1,130,0.287,0.366,0.041
1,131,0.358,0.441,0.036
1,132,0.335,0.417,0.037
1,133,0.333,0.415,0.038
1,134,0.499,0.58,0.026
1,135,0.497,0.578,0.027
1,136,0.366,0.449,0.035
1,137,0.343,0.425,0.037
1,138,0.269,0.346,0.044
1,139,0.392,0.476,0.034
1,140,0.357,0.439,0.036
1,141,0.475,0.557,0.028
1,142,0.363,0.446,0.036
1,143,0.542,0.621,0.024
1,144,0.378,0.461,0.035
1,145,0.493,0.574,0.028
1,146,0.455,0.538,0.03
1,147,0.524,0.603,0.026
1,148,0.75,0.803,0.013
1,149,0.589,0.664,0.022
1,150,0.596,0.67,0.021
1,151,0.542,0.62,0.025
1,152,0.464,0.547,0.03
1,153,0.438,0.521,0.032
1,154,0.709,0.769,0.015
1,155,0.775,0.824,0.012
1,156,0.501,0.582,0.028
1,157,0.747,0.802,0.013
1,158,0.692,0.755,0.016
1,159,0.796,0.842,0.011
1,160,0.765,0.816,0.012
1,161,0.57,0.646,0.024
1,162,0.667,0.733,0.018
1,163,0.699,0.76,0.016
1,164,0.825,0.865,0.009
