slice_num,coord_num,PValue,adjPVal,logFC
1,100,0.023,0.043,0.082
1,101,0.005,0.011,0.102
1,102,0.004,0.01,0.104
1,103,0.012,0.023,0.093
1,104,0.008,0.017,0.098
1,105,0.007,0.015,0.1
1,106,0.006,0.013,0.101
1,107,0.014,0.028,0.091
1,108,0.01,0.021,0.095
1,109,0.004,0.01,0.107
1,110,0.006,0.013,0.103
1,111,0.01,0.021,0.096
1,112,0.005,0.011,0.106
1,113,0.006,0.013,0.104
1,114,0.006,0.013,0.104
1,115,0.002,0.006,0.116
1,116,0.003,0.007,0.113
1,117,0.003,0.007,0.114
1,118,0.005,0.012,0.106
1,119,0.004,0.01,0.109
1,120,0.002,0.005,0.119
1,121,0.001,0.004,0.123
1,122,0.003,0.007,0.114
1,123,0.002,0.006,0.118
1,124,0.002,0.005,0.12
1,125,0.003,0.008,0.114
1,126,0.002,0.004,0.122
1,127,0.001,0.003,0.129
1,128,0.001,0.002,0.134
1,129,0.001,0.003,0.129
1,130,0.001,0.003,0.129
1,131,0.001,0.003,0.129
1,132,0.001,0.002,0.131
1,133,0.001,0.002,0.135
1,134,0.001,0.002,0.133
1,135,0.0,0.001,0.145
1,136,0.0,0.001,0.142
1,137,0.001,0.003,0.131
1,138,0.001,0.002,0.133
1,139,0.0,0.001,0.142
1,140,0.0,0.001,0.142
1,141,0.0,0.001,0.142
1,142,0.0,0.001,0.148
1,143,0.0,0.001,0.153
1,144,0.0,0.001,0.146
1,145,0.0,0.001,0.147
1,146,0.0,0.0,0.157
1,147,0.0,0.0,0.159
1,148,0.0,0.0,0.165
1,149,0.0,0.0,0.157
1,150,0.0,0.0,0.164
1,151,0.0,0.0,0.172
1,152,0.0,0.0,0.167
1,153,0.0,0.0,0.158
1,154,0.0,0.0,0.169
1,155,0.0,0.0,0.165
1,156,0.0,0.001,0.156
1,157,0.0,0.0,0.163
1,158,0.0,0.001,0.155
1,159,0.0,0.0,0.163
1,160,0.0,0.0,0.162
1,161,0.0,0.001,0.16
1,162,0.0,0.001,0.159
1,163,0.0,0.001,0.161
1,164,0.0,0.001,0.161
1,165,0.0,0.001,0.155
1,166,0.0,0.001,0.159
1,167,0.001,0.002,0.149
1,168,0.001,0.002,0.148
1,169,0.002,0.005,0.135
1,170,0.0,0.002,0.152
1,171,0.0,0.001,0.166
1,172,0.0,0.001,0.164
1,173,0.001,0.002,0.152
1,174,0.001,0.003,0.144
1,175,0.002,0.005,0.138
1,176,0.003,0.007,0.134
1,177,0.002,0.006,0.136
1,178,0.005,0.012,0.126
1,179,0.003,0.008,0.132
1,180,0.004,0.009,0.132
1,181,0.007,0.015,0.124
1,182,0.006,0.014,0.126
1,183,0.011,0.022,0.118
1,184,0.009,0.019,0.121
1,185,0.011,0.022,0.119
1,186,0.01,0.021,0.12
1,187,0.017,0.033,0.113
1,188,0.009,0.018,0.125
1,189,0.012,0.023,0.12
1,190,0.015,0.029,0.116
