slice_num,coord_num,PValue,adjPVal,logFC
1,100,0.719,0.778,0.013
1,101,0.58,0.655,0.02
1,102,0.628,0.699,0.018
1,103,0.769,0.82,0.011
1,104,0.649,0.717,0.017
1,105,0.504,0.585,0.025
1,106,0.373,0.456,0.033
1,107,0.621,0.693,0.018
1,108,0.488,0.569,0.026
1,109,0.399,0.483,0.031
1,110,0.398,0.481,0.031
1,111,0.389,0.472,0.032
1,112,0.281,0.359,0.04
1,113,0.348,0.43,0.035
1,114,0.457,0.54,0.028
1,115,0.316,0.397,0.038
1,116,0.267,0.345,0.042
1,117,0.27,0.348,0.042
1,118,0.47,0.552,0.027
1,119,0.379,0.462,0.033
1,120,0.241,0.315,0.045
1,121,0.18,0.246,0.051
1,122,0.249,0.325,0.044
1,123,0.194,0.263,0.05
1,124,0.16,0.222,0.054
1,125,0.246,0.321,0.045
1,126,0.197,0.266,0.05
1,127,0.15,0.211,0.056
1,128,0.229,0.302,0.047
1,129,0.24,0.314,0.046
1,130,0.228,0.301,0.047
1,131,0.179,0.245,0.052
1,132,0.181,0.247,0.052
1,133,0.185,0.252,0.052
1,134,0.225,0.298,0.047
1,135,0.215,0.286,0.049
1,136,0.225,0.298,0.048
1,137,0.217,0.289,0.049
1,138,0.151,0.212,0.057
1,139,0.155,0.217,0.056
1,140,0.16,0.223,0.056
1,141,0.131,0.187,0.06
1,142,0.11,0.161,0.064
1,143,0.068,0.107,0.073
1,144,0.081,0.124,0.07
1,145,0.14,0.199,0.059
1,146,0.077,0.119,0.071
1,147,0.058,0.093,0.076
1,148,0.057,0.093,0.077
1,149,0.093,0.141,0.068
1,150,0.048,0.079,0.08
1,151,0.037,0.064,0.084
1,152,0.077,0.119,0.072
1,153,0.084,0.128,0.07
1,154,0.056,0.091,0.078
1,155,0.092,0.139,0.069
1,156,0.077,0.119,0.073
1,157,0.048,0.079,0.082
1,158,0.094,0.141,0.069
1,159,0.097,0.145,0.069
1,160,0.11,0.161,0.066
1,161,0.099,0.148,0.069
1,162,0.11,0.162,0.067
1,163,0.095,0.143,0.07
1,164,0.121,0.175,0.066
1,165,0.13,0.186,0.064
1,166,0.112,0.165,0.067
1,167,0.212,0.284,0.053
1,168,0.167,0.23,0.059
1,169,0.22,0.292,0.053
1,170,0.192,0.26,0.057
1,171,0.113,0.165,0.069
1,172,0.157,0.219,0.062
1,173,0.17,0.235,0.06
1,174,0.163,0.226,0.062
1,175,0.201,0.271,0.057
1,176,0.283,0.361,0.048
1,177,0.353,0.435,0.042
1,178,0.407,0.49,0.037
1,179,0.334,0.416,0.044
1,180,0.251,0.327,0.052
1,181,0.376,0.459,0.04
1,182,0.263,0.34,0.051
1,183,0.47,0.552,0.033
1,184,0.371,0.453,0.042
1,185,0.325,0.406,0.046
1,186,0.273,0.35,0.051
1,187,0.38,0.463,0.041
1,188,0.253,0.329,0.054
1,189,0.302,0.382,0.049
1,190,0.328,0.409,0.047
1,191,0.403,0.486,0.04
1,192,0.243,0.318,0.056
1,193,0.299,0.379,0.05
1,194,0.261,0.338,0.055
1,195,0.316,0.397,0.049
1,196,0.301,0.381,0.051
1,197,0.233,0.307,0.059
1,198,0.339,0.421,0.048
1,199,0.259,0.336,0.056
1,200,0.306,0.386,0.051
1,201,0.216,0.287,0.062
1,202,0.249,0.324,0.058
1,203,0.287,0.366,0.054
1,204,0.212,0.283,0.064
1,205,0.324,0.406,0.051
1,206,0.159,0.221,0.072
1,207,0.223,0.295,0.063
1,208,0.348,0.43,0.049
1,209,0.225,0.298,0.063
1,210,0.318,0.399,0.052
1,211,0.303,0.383,0.054
1,212,0.287,0.366,0.056
1,213,0.244,0.319,0.062
1,214,0.308,0.388,0.054
1,215,0.294,0.373,0.056
