slice_num,coord_num,PValue,adjPVal,logFC
1,100,0.0,0.001,0.137
1,101,0.0,0.0,0.142
1,102,0.0,0.0,0.144
1,103,0.0,0.001,0.137
1,104,0.001,0.002,0.126
1,105,0.001,0.002,0.129
1,106,0.001,0.003,0.125
1,107,0.0,0.001,0.136
1,108,0.0,0.002,0.133
1,109,0.0,0.001,0.14
1,110,0.001,0.002,0.13
1,111,0.001,0.002,0.13
1,112,0.001,0.002,0.131
1,113,0.001,0.002,0.131
1,114,0.0,0.001,0.144
1,115,0.0,0.001,0.141
1,116,0.001,0.003,0.128
1,117,0.001,0.002,0.134
1,118,0.0,0.001,0.146
1,119,0.0,0.001,0.14
1,120,0.001,0.003,0.127
1,121,0.002,0.005,0.123
1,122,0.001,0.004,0.126
1,123,0.001,0.002,0.134
1,124,0.001,0.002,0.132
1,125,0.0,0.001,0.139
1,126,0.001,0.002,0.137
1,127,0.001,0.002,0.133
1,128,0.0,0.001,0.146
1,129,0.0,0.001,0.141
1,130,0.001,0.002,0.136
1,131,0.0,0.002,0.139
1,132,0.001,0.002,0.137
1,133,0.0,0.001,0.145
1,134,0.0,0.001,0.148
1,135,0.0,0.001,0.147
1,136,0.0,0.001,0.147
1,137,0.0,0.002,0.14
1,138,0.001,0.003,0.134
1,139,0.001,0.002,0.141
1,140,0.0,0.001,0.148
1,141,0.0,0.001,0.144
1,142,0.001,0.002,0.141
1,143,0.001,0.002,0.137
1,144,0.001,0.002,0.137
1,145,0.0,0.001,0.148
1,146,0.002,0.004,0.131
1,147,0.002,0.006,0.126
1,148,0.001,0.002,0.139
1,149,0.001,0.003,0.136
1,150,0.001,0.003,0.134
1,151,0.001,0.003,0.137
1,152,0.001,0.002,0.144
1,153,0.001,0.003,0.138
1,154,0.001,0.002,0.142
1,155,0.001,0.002,0.141
1,156,0.001,0.004,0.135
1,157,0.002,0.005,0.13
1,158,0.001,0.004,0.135
1,159,0.001,0.002,0.143
1,160,0.001,0.002,0.144
1,161,0.001,0.003,0.14
1,162,0.001,0.002,0.147
1,163,0.001,0.003,0.144
1,164,0.001,0.002,0.147
1,165,0.001,0.003,0.14
1,166,0.002,0.005,0.136
1,167,0.001,0.003,0.141
1,168,0.003,0.008,0.13
1,169,0.003,0.008,0.131
1,170,0.001,0.004,0.143
1,171,0.002,0.005,0.138
1,172,0.001,0.002,0.155
1,173,0.002,0.004,0.143
1,174,0.002,0.005,0.141
1,175,0.001,0.004,0.145
1,176,0.001,0.004,0.147
1,177,0.001,0.002,0.157
1,178,0.001,0.002,0.158
1,179,0.001,0.004,0.148
1,180,0.001,0.004,0.149
1,181,0.001,0.003,0.155
1,182,0.002,0.006,0.144
