slice_num,coord_num,PValue,adjPVal,logFC
1,100,0.046,0.076,0.073
1,101,0.011,0.022,0.093
1,102,0.009,0.019,0.095
1,103,0.022,0.041,0.084
1,104,0.015,0.029,0.089
1,105,0.014,0.027,0.091
1,106,0.013,0.025,0.092
1,107,0.028,0.05,0.081
1,108,0.021,0.039,0.086
1,109,0.01,0.02,0.096
1,110,0.012,0.025,0.093
1,111,0.022,0.04,0.086
1,112,0.01,0.021,0.096
1,113,0.013,0.026,0.094
1,114,0.013,0.026,0.094
1,115,0.005,0.012,0.105
1,116,0.007,0.015,0.103
1,117,0.006,0.014,0.104
1,118,0.012,0.024,0.096
1,119,0.01,0.021,0.098
1,120,0.004,0.01,0.109
1,121,0.003,0.008,0.113
1,122,0.006,0.014,0.105
1,123,0.005,0.012,0.107
1,124,0.005,0.011,0.109
1,125,0.008,0.017,0.103
1,126,0.004,0.01,0.111
1,127,0.002,0.006,0.118
1,128,0.002,0.004,0.123
1,129,0.002,0.006,0.118
1,130,0.002,0.006,0.118
1,131,0.002,0.006,0.119
1,132,0.002,0.005,0.121
1,133,0.001,0.004,0.124
1,134,0.002,0.005,0.122
1,135,0.001,0.002,0.134
1,136,0.001,0.002,0.131
1,137,0.002,0.006,0.12
1,138,0.002,0.005,0.122
1,139,0.001,0.003,0.131
1,140,0.001,0.003,0.13
1,141,0.001,0.003,0.13
1,142,0.001,0.002,0.136
1,143,0.0,0.001,0.142
1,144,0.001,0.002,0.135
1,145,0.001,0.002,0.135
1,146,0.0,0.001,0.147
1,147,0.0,0.001,0.148
1,148,0.0,0.001,0.154
1,149,0.0,0.001,0.147
1,150,0.0,0.001,0.153
1,151,0.0,0.0,0.161
1,152,0.0,0.001,0.155
1,153,0.0,0.001,0.148
1,154,0.0,0.0,0.158
1,155,0.0,0.001,0.154
1,156,0.0,0.001,0.145
1,157,0.0,0.001,0.152
1,158,0.0,0.002,0.144
1,159,0.0,0.001,0.152
1,160,0.0,0.001,0.15
1,161,0.0,0.001,0.149
1,162,0.0,0.001,0.147
1,163,0.0,0.001,0.15
1,164,0.0,0.001,0.15
1,165,0.001,0.002,0.144
1,166,0.0,0.002,0.149
1,167,0.001,0.004,0.138
1,168,0.001,0.004,0.138
1,169,0.004,0.009,0.125
1,170,0.001,0.003,0.141
1,171,0.0,0.001,0.156
1,172,0.001,0.002,0.153
1,173,0.001,0.004,0.142
1,174,0.003,0.007,0.133
1,175,0.005,0.011,0.126
1,176,0.006,0.013,0.123
1,177,0.006,0.012,0.125
1,178,0.011,0.023,0.115
1,179,0.007,0.016,0.122
1,180,0.008,0.018,0.12
1,181,0.014,0.028,0.112
1,182,0.013,0.025,0.114
1,183,0.021,0.039,0.107
1,184,0.018,0.034,0.11
1,185,0.021,0.039,0.108
1,186,0.02,0.037,0.11
1,187,0.032,0.056,0.102
1,188,0.017,0.032,0.114
1,189,0.022,0.04,0.109
1,190,0.028,0.05,0.105
1,191,0.039,0.067,0.099
1,192,0.023,0.042,0.11
1,193,0.039,0.067,0.1
1,194,0.038,0.065,0.101
1,195,0.029,0.052,0.107
1,196,0.025,0.045,0.111
1,197,0.028,0.051,0.109
1,198,0.026,0.047,0.111
1,199,0.031,0.055,0.108
1,200,0.021,0.04,0.116
1,201,0.02,0.038,0.117
1,202,0.02,0.037,0.118
1,203,0.021,0.039,0.117
1,204,0.015,0.03,0.124
1,205,0.014,0.027,0.127
1,206,0.01,0.021,0.133
1,207,0.013,0.026,0.129
1,208,0.015,0.029,0.127
1,209,0.006,0.014,0.143
1,210,0.011,0.022,0.134
1,211,0.008,0.017,0.139
1,212,0.008,0.017,0.14
1,213,0.003,0.008,0.155
1,214,0.005,0.011,0.15
1,215,0.007,0.015,0.145
1,216,0.004,0.009,0.155
1,217,0.003,0.007,0.16
1,218,0.003,0.007,0.162
1,219,0.005,0.012,0.15
1,220,0.004,0.009,0.157
1,221,0.007,0.015,0.148
1,222,0.004,0.01,0.156
1,223,0.006,0.013,0.152
1,224,0.005,0.012,0.154
1,39,0.02,0.037,0.075
1,40,0.04,0.068,0.066
1,41,0.025,0.045,0.072
1,42,0.014,0.028,0.078
1,43,0.019,0.036,0.076
1,44,0.01,0.02,0.083
1,45,0.006,0.014,0.088
1,46,0.011,0.022,0.082
1,47,0.034,0.06,0.068
1,48,0.015,0.03,0.078
1,49,0.023,0.042,0.074
1,50,0.026,0.047,0.072
1,51,0.027,0.048,0.072
1,52,0.011,0.022,0.083
1,53,0.025,0.046,0.073
1,54,0.015,0.03,0.079
1,55,0.013,0.026,0.081
1,56,0.011,0.022,0.083
1,57,0.014,0.028,0.08
1,58,0.01,0.02,0.085
1,59,0.016,0.031,0.079
1,60,0.03,0.053,0.071
1,61,0.013,0.025,0.083
1,62,0.031,0.055,0.072
1,63,0.036,0.063,0.069
1,64,0.032,0.056,0.071
1,65,0.074,0.116,0.06
1,66,0.031,0.055,0.072
1,67,0.085,0.13,0.058
1,68,0.055,0.089,0.064
1,69,0.048,0.079,0.067
1,70,0.04,0.068,0.069
1,71,0.032,0.056,0.073
1,72,0.028,0.051,0.074
1,73,0.042,0.071,0.069
1,74,0.027,0.049,0.075
1,75,0.018,0.035,0.081
1,76,0.019,0.036,0.08
1,77,0.034,0.06,0.073
1,78,0.007,0.014,0.094
1,79,0.03,0.054,0.075
1,80,0.024,0.044,0.078
1,81,0.013,0.025,0.087
1,82,0.013,0.027,0.086
1,83,0.005,0.011,0.099
1,84,0.007,0.014,0.095
1,85,0.002,0.006,0.108
