slice_num,coord_num,PValue,adjPVal,logFC
1,100,0.036,0.061,0.076
1,101,0.007,0.016,0.097
1,102,0.005,0.011,0.103
1,103,0.011,0.023,0.092
1,104,0.009,0.019,0.096
1,105,0.008,0.017,0.097
1,106,0.007,0.014,0.1
1,107,0.014,0.028,0.091
1,108,0.013,0.025,0.092
1,109,0.005,0.011,0.105
1,110,0.006,0.013,0.103
1,111,0.008,0.017,0.099
1,112,0.003,0.008,0.11
1,113,0.004,0.009,0.108
1,114,0.004,0.01,0.108
1,115,0.002,0.004,0.119
1,116,0.002,0.005,0.118
1,117,0.002,0.005,0.118
1,118,0.004,0.009,0.11
1,119,0.003,0.008,0.112
1,120,0.001,0.003,0.125
1,121,0.001,0.003,0.128
1,122,0.002,0.005,0.12
1,123,0.002,0.004,0.121
1,124,0.001,0.003,0.126
1,125,0.002,0.006,0.117
1,126,0.001,0.004,0.123
1,127,0.001,0.002,0.131
1,128,0.001,0.002,0.134
1,129,0.001,0.002,0.13
1,130,0.001,0.002,0.13
1,131,0.001,0.002,0.13
1,132,0.001,0.002,0.135
1,133,0.0,0.001,0.137
1,134,0.001,0.002,0.131
1,135,0.0,0.001,0.144
1,136,0.0,0.001,0.142
1,137,0.001,0.003,0.13
1,138,0.001,0.002,0.135
1,139,0.0,0.001,0.144
1,140,0.0,0.001,0.142
1,141,0.0,0.001,0.14
1,142,0.0,0.001,0.147
1,143,0.0,0.001,0.153
1,144,0.0,0.001,0.146
1,145,0.0,0.001,0.146
1,146,0.0,0.0,0.16
1,147,0.0,0.0,0.16
1,148,0.0,0.0,0.162
1,149,0.0,0.0,0.156
1,150,0.0,0.0,0.161
1,151,0.0,0.0,0.168
1,152,0.0,0.0,0.165
1,153,0.0,0.0,0.159
1,154,0.0,0.0,0.164
1,155,0.0,0.0,0.161
1,156,0.0,0.001,0.152
1,157,0.0,0.001,0.156
1,158,0.0,0.001,0.15
1,159,0.0,0.001,0.157
1,160,0.0,0.001,0.154
1,161,0.0,0.001,0.156
1,162,0.0,0.001,0.153
1,163,0.0,0.001,0.156
1,164,0.0,0.001,0.155
1,165,0.0,0.001,0.15
1,166,0.0,0.001,0.16
1,167,0.001,0.002,0.148
1,168,0.001,0.002,0.148
1,169,0.001,0.004,0.138
1,170,0.0,0.002,0.151
1,171,0.0,0.001,0.165
1,172,0.0,0.001,0.16
1,173,0.001,0.002,0.151
1,174,0.001,0.004,0.141
1,175,0.002,0.006,0.135
1,176,0.002,0.006,0.135
1,177,0.002,0.006,0.136
1,178,0.004,0.01,0.128
1,179,0.003,0.007,0.135
1,180,0.004,0.009,0.131
1,181,0.006,0.013,0.125
1,182,0.005,0.012,0.128
1,183,0.009,0.019,0.12
1,184,0.008,0.017,0.123
1,185,0.008,0.016,0.124
1,186,0.007,0.015,0.127
1,187,0.01,0.021,0.121
1,188,0.006,0.013,0.131
1,189,0.008,0.017,0.126
1,190,0.01,0.021,0.123
1,191,0.016,0.03,0.116
1,192,0.008,0.017,0.129
1,193,0.014,0.027,0.12
1,194,0.012,0.025,0.122
1,195,0.011,0.022,0.125
1,196,0.009,0.018,0.129
1,197,0.008,0.018,0.13
1,198,0.008,0.017,0.132
1,199,0.011,0.022,0.127
1,200,0.008,0.017,0.133
1,201,0.007,0.014,0.137
1,202,0.005,0.011,0.143
1,203,0.007,0.015,0.137
1,204,0.005,0.011,0.144
1,205,0.005,0.011,0.145
1,206,0.003,0.008,0.152
1,207,0.004,0.01,0.148
1,208,0.006,0.012,0.144
1,209,0.002,0.005,0.162
1,210,0.004,0.01,0.149
1,211,0.003,0.007,0.155
1,212,0.003,0.007,0.157
1,213,0.001,0.003,0.173
1,214,0.002,0.005,0.163
1,215,0.003,0.007,0.16
1,216,0.002,0.004,0.168
1,217,0.001,0.003,0.175
1,218,0.001,0.003,0.174
1,219,0.003,0.007,0.16
1,220,0.002,0.005,0.169
1,221,0.003,0.007,0.161
1,222,0.002,0.006,0.166
1,223,0.002,0.006,0.167
1,224,0.003,0.007,0.165
1,39,0.027,0.048,0.071
1,40,0.049,0.08,0.063
1,41,0.027,0.049,0.071
1,42,0.019,0.036,0.075
1,43,0.021,0.039,0.074
1,44,0.012,0.023,0.081
1,45,0.007,0.014,0.087
1,46,0.011,0.023,0.081
1,47,0.031,0.055,0.069
1,48,0.013,0.025,0.08
1,49,0.035,0.06,0.068
1,50,0.026,0.047,0.072
1,51,0.021,0.039,0.075
1,52,0.01,0.021,0.083
1,53,0.026,0.046,0.072
1,54,0.014,0.027,0.08
1,55,0.013,0.026,0.081
1,56,0.012,0.024,0.082
1,57,0.015,0.03,0.079
1,58,0.008,0.017,0.087
1,59,0.02,0.037,0.076
1,60,0.03,0.053,0.071
1,61,0.017,0.033,0.079
1,62,0.033,0.057,0.071
1,63,0.044,0.074,0.066
1,64,0.033,0.057,0.071
1,65,0.077,0.12,0.059
1,66,0.041,0.07,0.068
1,67,0.12,0.174,0.052
1,68,0.071,0.112,0.06
1,69,0.06,0.096,0.063
1,70,0.057,0.092,0.064
1,71,0.049,0.081,0.066
1,72,0.041,0.069,0.069
1,73,0.054,0.088,0.065
1,74,0.041,0.07,0.069
1,75,0.028,0.05,0.075
1,76,0.03,0.053,0.074
1,77,0.033,0.058,0.073
1,78,0.007,0.015,0.093
1,79,0.042,0.07,0.07
1,80,0.026,0.048,0.077
1,81,0.011,0.023,0.088
1,82,0.015,0.028,0.085
1,83,0.006,0.013,0.096
1,84,0.007,0.015,0.095
1,85,0.002,0.006,0.107
1,86,0.004,0.009,0.102
1,87,0.005,0.011,0.1
1,88,0.014,0.028,0.087
1,89,0.006,0.014,0.096
1,90,0.009,0.019,0.092
1,91,0.019,0.035,0.083
1,92,0.005,0.012,0.1
1,93,0.01,0.02,0.092
1,94,0.013,0.026,0.089
1,95,0.018,0.034,0.085
1,96,0.017,0.032,0.086
1,97,0.013,0.026,0.089
1,98,0.021,0.038,0.084
1,99,0.013,0.026,0.09
10,10,0.093,0.139,0.054
10,100,0.0,0.001,0.127
10,101,0.001,0.002,0.122
10,102,0.003,0.008,0.107
10,103,0.001,0.003,0.121
10,104,0.001,0.003,0.119
10,105,0.001,0.003,0.118
10,106,0.002,0.006,0.112
10,107,0.001,0.004,0.119
10,108,0.003,0.008,0.108
10,109,0.006,0.014,0.101
10,11,0.048,0.079,0.063
10,110,0.001,0.004,0.118
10,111,0.001,0.003,0.121
10,112,0.001,0.004,0.119
10,113,0.002,0.004,0.117
10,114,0.0,0.002,0.13
10,115,0.0,0.001,0.135
10,116,0.001,0.003,0.124
10,117,0.002,0.004,0.119
10,118,0.001,0.003,0.125
10,119,0.001,0.004,0.12
10,12,0.051,0.084,0.062
10,120,0.001,0.003,0.124
10,121,0.001,0.003,0.124
10,122,0.001,0.003,0.124
10,123,0.002,0.005,0.117
10,124,0.001,0.003,0.125
10,125,0.002,0.004,0.12
10,126,0.001,0.003,0.127
10,127,0.001,0.002,0.132
10,128,0.001,0.002,0.131
10,129,0.001,0.003,0.127
10,13,0.031,0.054,0.067
10,130,0.001,0.002,0.133
10,131,0.001,0.003,0.126
10,132,0.001,0.003,0.128
10,133,0.002,0.004,0.122
10,134,0.001,0.003,0.127
10,135,0.0,0.001,0.14
10,136,0.0,0.001,0.147
10,137,0.001,0.002,0.13
10,138,0.001,0.003,0.127
10,139,0.001,0.003,0.13
10,14,0.051,0.083,0.061
10,140,0.001,0.002,0.134
10,141,0.001,0.002,0.132
10,142,0.001,0.002,0.134
10,143,0.0,0.001,0.145
10,144,0.0,0.001,0.138
10,145,0.001,0.003,0.131
10,146,0.0,0.001,0.142
10,147,0.001,0.002,0.135
10,148,0.0,0.002,0.138
10,149,0.0,0.002,0.138
10,15,0.018,0.035,0.074
10,150,0.0,0.001,0.138
10,151,0.0,0.001,0.147
10,152,0.0,0.0,0.158
10,153,0.0,0.0,0.164
10,154,0.0,0.0,0.165
10,155,0.0,0.0,0.158
10,156,0.0,0.0,0.167
10,157,0.0,0.0,0.164
10,158,0.0,0.0,0.155
10,159,0.0,0.0,0.156
10,16,0.045,0.076,0.062
10,160,0.0,0.0,0.167
10,161,0.0,0.0,0.167
10,162,0.0,0.0,0.159
10,163,0.0,0.001,0.148
10,164,0.0,0.001,0.148
10,165,0.0,0.002,0.14
10,166,0.001,0.002,0.137
10,167,0.001,0.002,0.136
10,168,0.001,0.002,0.135
10,169,0.001,0.003,0.134
10,17,0.017,0.033,0.074
10,170,0.001,0.004,0.129
10,171,0.001,0.002,0.137
10,172,0.001,0.002,0.139
10,173,0.001,0.004,0.13
10,174,0.002,0.005,0.125
10,175,0.001,0.004,0.129
10,176,0.001,0.004,0.13
10,177,0.006,0.013,0.113
10,178,0.004,0.01,0.117
10,179,0.005,0.012,0.115
10,18,0.018,0.034,0.073
10,180,0.003,0.008,0.122
10,181,0.006,0.013,0.114
10,182,0.003,0.007,0.124
10,183,0.002,0.005,0.13
10,184,0.002,0.004,0.133
10,185,0.001,0.004,0.134
10,186,0.004,0.009,0.122
10,187,0.004,0.01,0.122
10,188,0.005,0.011,0.121
10,189,0.008,0.017,0.114
10,19,0.016,0.031,0.075
10,190,0.008,0.016,0.116
10,191,0.006,0.014,0.119
10,192,0.005,0.011,0.123
10,193,0.006,0.014,0.121
10,194,0.003,0.007,0.133
10,195,0.003,0.008,0.132
10,196,0.009,0.018,0.118
10,197,0.007,0.015,0.122
10,198,0.012,0.025,0.114
10,199,0.007,0.014,0.124
10,20,0.049,0.081,0.061
10,200,0.007,0.015,0.125
10,201,0.007,0.015,0.125
10,202,0.008,0.017,0.124
10,203,0.006,0.013,0.129
10,204,0.008,0.017,0.126
10,205,0.006,0.013,0.132
10,206,0.005,0.012,0.134
10,207,0.005,0.012,0.135
10,208,0.008,0.018,0.129
10,209,0.005,0.012,0.137
10,21,0.01,0.02,0.08
10,210,0.004,0.01,0.142
10,211,0.009,0.019,0.131
10,212,0.004,0.009,0.145
10,213,0.003,0.008,0.148
10,214,0.002,0.005,0.158
10,215,0.004,0.009,0.149
10,216,0.003,0.007,0.155
10,217,0.003,0.008,0.154
10,218,0.003,0.008,0.154
10,219,0.008,0.018,0.14
10,22,0.02,0.037,0.073
10,220,0.007,0.015,0.144
10,221,0.008,0.017,0.142
10,222,0.012,0.024,0.136
10,223,0.016,0.032,0.13
10,224,0.009,0.02,0.142
10,225,0.01,0.021,0.141
10,226,0.016,0.03,0.134
10,227,0.021,0.039,0.128
10,228,0.022,0.04,0.128
10,229,0.029,0.051,0.123
10,23,0.019,0.035,0.073
10,230,0.023,0.042,0.128
10,231,0.023,0.042,0.129
10,232,0.025,0.045,0.128
10,233,0.02,0.037,0.133
10,234,0.015,0.029,0.14
10,235,0.011,0.022,0.147
10,236,0.012,0.023,0.146
10,237,0.031,0.055,0.125
10,238,0.008,0.017,0.155
10,239,0.012,0.025,0.147
10,24,0.013,0.026,0.077
10,240,0.013,0.025,0.147
10,241,0.008,0.017,0.157
10,242,0.01,0.02,0.154
10,243,0.013,0.027,0.148
10,244,0.021,0.039,0.138
10,245,0.019,0.036,0.141
10,246,0.021,0.039,0.139
10,247,0.022,0.041,0.14
10,248,0.022,0.04,0.14
10,249,0.024,0.043,0.14
10,25,0.01,0.021,0.08
10,250,0.025,0.045,0.14
10,251,0.022,0.041,0.143
10,26,0.008,0.017,0.082
10,27,0.006,0.013,0.085
10,28,0.016,0.03,0.075
10,29,0.012,0.024,0.078
10,30,0.022,0.04,0.071
10,31,0.025,0.045,0.07
10,32,0.021,0.039,0.072
10,33,0.062,0.098,0.058
10,34,0.018,0.035,0.073
10,35,0.055,0.089,0.06
10,36,0.045,0.074,0.063
10,37,0.095,0.143,0.052
10,38,0.022,0.041,0.071
10,39,0.094,0.142,0.052
10,40,0.048,0.08,0.062
10,41,0.015,0.029,0.076
10,42,0.117,0.17,0.049
10,43,0.056,0.091,0.06
10,44,0.041,0.07,0.064
10,45,0.03,0.054,0.068
10,46,0.09,0.137,0.053
10,47,0.05,0.082,0.062
10,48,0.067,0.106,0.058
10,49,0.043,0.073,0.064
10,50,0.028,0.049,0.07
10,51,0.014,0.028,0.078
10,52,0.036,0.062,0.067
10,53,0.019,0.036,0.075
10,54,0.008,0.018,0.084
10,55,0.02,0.038,0.075
10,56,0.011,0.022,0.082
10,57,0.012,0.024,0.081
10,58,0.012,0.024,0.081
10,59,0.009,0.019,0.084
10,60,0.011,0.022,0.082
10,61,0.009,0.018,0.085
10,62,0.006,0.013,0.089
10,63,0.004,0.009,0.094
10,64,0.003,0.008,0.097
10,65,0.005,0.012,0.091
10,66,0.011,0.022,0.084
10,67,0.016,0.031,0.079
10,68,0.007,0.015,0.09
10,69,0.016,0.03,0.08
10,7,0.112,0.164,0.052
10,70,0.025,0.045,0.075
10,71,0.008,0.018,0.088
10,72,0.004,0.009,0.097
10,73,0.007,0.015,0.091
10,74,0.006,0.013,0.093
