slice_num,coord_num,PValue,adjPVal,logFC
1,100,0.749,0.803,0.012
1,101,0.607,0.68,0.019
1,102,0.609,0.681,0.019
1,103,0.637,0.707,0.017
1,104,0.746,0.801,0.012
1,105,0.907,0.93,0.004
1,106,0.974,0.981,-0.001
1,107,0.795,0.841,0.01
1,108,0.765,0.816,0.011
1,109,0.721,0.779,0.013
1,110,0.865,0.897,0.006
1,111,0.805,0.85,0.009
1,112,0.849,0.885,0.007
1,113,0.956,0.968,0.002
1,114,0.854,0.889,0.007
1,115,0.815,0.857,0.009
1,116,0.989,0.992,0.001
1,117,0.852,0.887,0.007
1,118,0.718,0.776,0.014
1,119,0.888,0.915,0.005
1,120,0.961,0.971,-0.002
1,121,0.995,0.996,0.0
1,122,0.877,0.907,-0.006
1,123,0.805,0.849,-0.01
1,124,0.735,0.791,-0.013
1,125,0.931,0.948,-0.003
1,126,0.797,0.843,-0.01
1,127,0.693,0.755,-0.015
1,128,0.828,0.868,-0.009
1,129,0.829,0.868,-0.008
1,130,0.789,0.836,-0.011
1,131,0.77,0.82,-0.012
1,132,0.815,0.857,-0.009
1,133,0.882,0.91,-0.006
1,134,0.975,0.982,-0.001
1,135,0.822,0.863,-0.009
1,136,0.797,0.843,-0.01
1,137,0.738,0.793,-0.013
1,138,0.672,0.737,-0.017
1,139,0.836,0.874,-0.008
1,140,0.881,0.909,-0.006
1,141,0.998,0.999,0.0
1,142,0.893,0.919,-0.005
1,143,0.908,0.931,-0.005
1,144,0.871,0.902,-0.007
1,145,0.902,0.926,0.005
1,146,0.941,0.956,-0.003
1,147,0.717,0.776,-0.015
1,148,0.855,0.889,-0.007
1,149,0.943,0.957,-0.003
1,150,0.741,0.796,-0.014
1,151,0.755,0.808,-0.013
1,152,0.97,0.978,-0.002
1,153,0.992,0.994,-0.0
1,154,0.796,0.842,-0.011
1,155,0.913,0.934,-0.005
1,156,0.948,0.961,-0.003
1,157,0.754,0.807,-0.013
1,158,0.999,0.999,-0.0
1,159,0.966,0.975,0.002
1,160,0.909,0.932,-0.005
1,161,0.954,0.966,-0.002
1,162,0.967,0.976,-0.002
1,163,0.947,0.961,-0.003
1,164,0.973,0.98,0.001
1,165,0.99,0.993,0.001
1,166,0.949,0.962,-0.003
1,167,0.87,0.901,0.007
1,168,0.986,0.989,-0.001
1,169,0.912,0.934,0.005
1,170,0.909,0.931,0.005
1,171,0.979,0.984,0.001
1,172,0.839,0.877,0.009
1,173,0.877,0.906,0.007
1,174,0.855,0.889,0.008
1,175,0.998,0.999,-0.0
1,176,0.915,0.936,0.005
1,177,0.782,0.83,0.013
1,178,0.663,0.73,0.02
1,179,0.77,0.82,0.013
1,180,0.859,0.892,0.008
1,181,0.775,0.825,0.013
1,182,0.949,0.962,-0.003
1,183,0.835,0.874,0.01
1,184,0.885,0.913,0.007
1,185,0.948,0.961,0.003
1,186,0.933,0.95,0.004
1,187,0.726,0.783,0.017
1,188,0.852,0.887,0.009
1,189,0.909,0.931,0.006
1,190,0.925,0.944,0.005
1,191,0.799,0.844,0.012
1,192,0.985,0.989,-0.001
1,193,0.875,0.905,0.008
1,194,0.919,0.939,0.005
1,195,0.825,0.865,0.011
1,196,0.972,0.98,-0.002
1,197,0.913,0.935,-0.005
1,198,0.721,0.78,0.018
1,199,0.888,0.915,0.007
1,200,0.883,0.911,0.007
1,201,0.987,0.991,0.001
1,202,0.96,0.971,0.003
1,203,0.94,0.955,0.004
1,204,0.854,0.889,0.01
1,205,0.919,0.939,0.005
1,206,0.776,0.825,-0.015
1,207,0.99,0.993,-0.001
1,208,0.887,0.914,0.007
1,209,0.993,0.995,-0.0
1,210,0.857,0.891,0.01
1,211,0.904,0.927,0.006
1,212,0.918,0.938,-0.005
1,213,0.914,0.936,0.006
