slice_num,coord_num,PValue,adjPVal,logFC
1,100,0.033,0.057,-0.078
1,101,0.049,0.081,-0.072
1,102,0.062,0.099,-0.068
1,103,0.07,0.11,-0.067
1,104,0.14,0.198,-0.055
1,105,0.099,0.148,-0.061
1,106,0.094,0.142,-0.062
1,107,0.049,0.08,-0.074
1,108,0.051,0.084,-0.073
1,109,0.05,0.082,-0.073
1,110,0.076,0.117,-0.067
1,111,0.049,0.082,-0.074
1,112,0.052,0.086,-0.073
1,113,0.074,0.115,-0.068
1,114,0.046,0.077,-0.076
1,115,0.068,0.108,-0.069
1,116,0.098,0.146,-0.063
1,117,0.07,0.109,-0.07
1,118,0.041,0.069,-0.078
1,119,0.051,0.084,-0.075
1,120,0.117,0.17,-0.06
1,121,0.12,0.175,-0.06
1,122,0.128,0.184,-0.059
1,123,0.084,0.128,-0.067
1,124,0.092,0.139,-0.065
1,125,0.057,0.092,-0.074
1,126,0.088,0.133,-0.067
1,127,0.119,0.173,-0.061
1,128,0.112,0.164,-0.062
1,129,0.106,0.157,-0.063
1,130,0.141,0.2,-0.058
1,131,0.113,0.166,-0.062
1,132,0.136,0.193,-0.058
1,133,0.104,0.154,-0.064
1,134,0.08,0.124,-0.069
1,135,0.16,0.222,-0.056
1,136,0.164,0.228,-0.055
1,137,0.12,0.174,-0.062
1,138,0.145,0.205,-0.058
1,139,0.14,0.199,-0.059
1,140,0.095,0.143,-0.067
1,141,0.081,0.125,-0.07
1,142,0.123,0.178,-0.062
1,143,0.126,0.181,-0.062
1,144,0.103,0.153,-0.066
1,145,0.087,0.133,-0.069
1,146,0.226,0.299,-0.049
1,147,0.265,0.342,-0.045
1,148,0.186,0.253,-0.054
1,149,0.2,0.27,-0.052
1,150,0.198,0.267,-0.052
1,151,0.224,0.297,-0.05
1,152,0.192,0.261,-0.053
1,153,0.17,0.234,-0.056
1,154,0.178,0.244,-0.056
1,155,0.207,0.277,-0.052
1,156,0.161,0.224,-0.058
1,157,0.229,0.302,-0.05
1,158,0.181,0.247,-0.056
1,159,0.158,0.22,-0.059
1,160,0.169,0.234,-0.058
1,161,0.158,0.221,-0.059
1,162,0.12,0.174,-0.066
1,163,0.158,0.22,-0.06
1,164,0.148,0.209,-0.062
1,165,0.164,0.228,-0.059
1,166,0.221,0.293,-0.052
1,167,0.167,0.231,-0.06
1,168,0.243,0.318,-0.05
1,169,0.184,0.251,-0.058
1,170,0.193,0.261,-0.057
1,171,0.24,0.315,-0.052
1,172,0.14,0.198,-0.065
1,173,0.164,0.227,-0.062
1,174,0.113,0.165,-0.071
1,175,0.103,0.153,-0.073
1,176,0.113,0.166,-0.071
1,177,0.086,0.131,-0.077
1,178,0.06,0.096,-0.085
1,179,0.11,0.162,-0.073
1,180,0.078,0.121,-0.081
1,181,0.063,0.101,-0.085
1,182,0.112,0.164,-0.073
1,183,0.089,0.135,-0.079
1,184,0.102,0.152,-0.076
1,185,0.115,0.168,-0.074
1,186,0.104,0.154,-0.077
1,187,0.073,0.114,-0.085
1,188,0.1,0.149,-0.079
1,189,0.099,0.148,-0.079
1,190,0.085,0.13,-0.083
1,191,0.053,0.087,-0.094
1,192,0.108,0.159,-0.078
1,193,0.076,0.118,-0.087
1,194,0.051,0.084,-0.096
1,195,0.06,0.097,-0.093
1,196,0.098,0.146,-0.082
1,197,0.079,0.122,-0.088
1,198,0.052,0.085,-0.098
1,199,0.071,0.111,-0.091
1,200,0.066,0.105,-0.093
