slice_num,coord_num,PValue,adjPVal,logFC
1,100,0.006,0.014,0.102
1,101,0.005,0.01,0.106
1,102,0.002,0.005,0.115
1,103,0.005,0.011,0.107
1,104,0.005,0.012,0.105
1,105,0.005,0.011,0.106
1,106,0.008,0.017,0.1
1,107,0.004,0.01,0.109
1,108,0.006,0.012,0.106
1,109,0.002,0.006,0.117
1,110,0.006,0.013,0.106
1,111,0.006,0.014,0.105
1,112,0.004,0.009,0.111
1,113,0.006,0.013,0.107
1,114,0.003,0.007,0.115
1,115,0.003,0.007,0.117
1,116,0.002,0.005,0.121
1,117,0.008,0.016,0.105
1,118,0.003,0.008,0.115
1,119,0.005,0.011,0.111
1,120,0.004,0.01,0.112
1,121,0.006,0.014,0.108
1,122,0.017,0.032,0.095
1,123,0.009,0.019,0.103
1,124,0.004,0.01,0.114
1,125,0.002,0.005,0.123
1,126,0.002,0.005,0.123
1,127,0.003,0.007,0.119
1,128,0.003,0.007,0.119
1,129,0.003,0.008,0.117
1,130,0.003,0.008,0.118
1,131,0.003,0.008,0.118
1,132,0.006,0.013,0.11
1,133,0.003,0.007,0.119
1,134,0.004,0.01,0.116
1,135,0.007,0.014,0.11
1,136,0.005,0.012,0.113
1,137,0.005,0.012,0.113
1,138,0.005,0.011,0.115
1,139,0.006,0.013,0.113
1,140,0.003,0.007,0.121
1,141,0.006,0.013,0.113
1,142,0.005,0.011,0.115
1,143,0.008,0.016,0.11
1,144,0.004,0.009,0.119
1,145,0.004,0.009,0.12
1,146,0.006,0.013,0.114
1,147,0.007,0.016,0.112
1,148,0.011,0.022,0.106
1,149,0.006,0.013,0.115
1,150,0.005,0.012,0.116
1,151,0.004,0.01,0.119
1,152,0.001,0.003,0.137
1,153,0.001,0.004,0.134
1,154,0.002,0.006,0.129
1,155,0.003,0.008,0.125
1,156,0.004,0.009,0.124
1,157,0.008,0.018,0.112
1,158,0.009,0.019,0.111
1,159,0.005,0.011,0.12
1,160,0.003,0.007,0.128
1,161,0.004,0.008,0.126
1,162,0.002,0.005,0.136
1,163,0.003,0.008,0.128
1,164,0.003,0.007,0.13
1,165,0.002,0.006,0.133
1,166,0.007,0.014,0.119
1,167,0.009,0.019,0.115
1,168,0.011,0.023,0.112
1,169,0.008,0.017,0.118
1,170,0.008,0.017,0.119
1,171,0.008,0.017,0.119
1,172,0.004,0.01,0.129
1,173,0.012,0.024,0.114
1,174,0.01,0.02,0.118
1,175,0.005,0.011,0.128
1,176,0.01,0.021,0.118
1,177,0.005,0.012,0.129
1,178,0.007,0.015,0.125
1,179,0.007,0.015,0.125
1,180,0.006,0.014,0.128
1,181,0.005,0.012,0.131
1,182,0.007,0.016,0.126
1,183,0.008,0.017,0.126
1,184,0.011,0.022,0.122
1,185,0.01,0.021,0.124
1,186,0.02,0.038,0.112
1,187,0.022,0.04,0.112
1,188,0.04,0.068,0.1
1,189,0.04,0.068,0.101
1,190,0.046,0.076,0.098
1,191,0.07,0.11,0.09
1,192,0.064,0.102,0.092
1,193,0.079,0.122,0.088
1,194,0.097,0.145,0.084
1,195,0.115,0.168,0.08
1,196,0.11,0.162,0.081
1,197,0.099,0.147,0.084
1,198,0.124,0.179,0.079
1,199,0.119,0.173,0.08
1,200,0.168,0.233,0.071
1,201,0.207,0.277,0.066
1,202,0.101,0.151,0.086
1,203,0.131,0.188,0.079
1,204,0.155,0.216,0.075
1,205,0.126,0.181,0.081
1,206,0.117,0.17,0.083
1,207,0.152,0.213,0.076
1,208,0.094,0.141,0.09
1,209,0.088,0.133,0.092
1,210,0.109,0.16,0.086
1,211,0.091,0.138,0.091
1,212,0.099,0.148,0.089
1,213,0.077,0.12,0.096
1,214,0.1,0.149,0.09
1,215,0.065,0.103,0.101
1,216,0.097,0.146,0.091
1,217,0.077,0.119,0.098
1,218,0.086,0.13,0.095
1,219,0.065,0.103,0.103
1,220,0.079,0.122,0.098
1,221,0.096,0.143,0.093
1,222,0.142,0.201,0.083
1,223,0.127,0.183,0.086
1,224,0.147,0.207,0.082
1,39,0.007,0.016,0.088
1,40,0.01,0.02,0.085
1,41,0.008,0.018,0.087
1,42,0.006,0.013,0.091
1,43,0.006,0.014,0.091
1,44,0.01,0.021,0.085
1,45,0.003,0.007,0.099
1,46,0.006,0.014,0.09
1,47,0.011,0.022,0.085
1,48,0.009,0.019,0.087
1,49,0.004,0.01,0.095
1,50,0.005,0.012,0.093
1,51,0.009,0.019,0.087
1,52,0.005,0.012,0.093
1,53,0.01,0.021,0.085
1,54,0.007,0.015,0.09
1,55,0.01,0.02,0.087
1,56,0.015,0.03,0.082
1,57,0.012,0.024,0.085
1,58,0.006,0.013,0.094
1,59,0.005,0.012,0.094
1,60,0.015,0.029,0.083
1,61,0.006,0.013,0.094
1,62,0.023,0.043,0.077
1,63,0.003,0.008,0.099
1,64,0.014,0.027,0.084
1,65,0.021,0.039,0.079
1,66,0.003,0.007,0.102
1,67,0.003,0.008,0.101
1,68,0.004,0.01,0.098
1,69,0.016,0.031,0.083
1,70,0.006,0.013,0.096
1,71,0.01,0.02,0.09
1,72,0.009,0.018,0.092
1,73,0.005,0.012,0.097
1,74,0.009,0.019,0.092
1,75,0.005,0.012,0.098
1,76,0.005,0.012,0.099
1,77,0.023,0.042,0.081
1,78,0.023,0.041,0.081
1,79,0.016,0.031,0.085
1,80,0.028,0.05,0.078
1,81,0.029,0.051,0.078
1,82,0.021,0.039,0.083
1,83,0.015,0.029,0.088
