slice_num,coord_num,PValue,adjPVal,logFC
1,100,0.004,0.009,0.119
1,101,0.012,0.024,0.103
1,102,0.015,0.029,0.1
1,103,0.017,0.033,0.099
1,104,0.029,0.052,0.091
1,105,0.013,0.025,0.104
1,106,0.014,0.028,0.103
1,107,0.017,0.032,0.101
1,108,0.02,0.037,0.098
1,109,0.019,0.036,0.099
1,110,0.021,0.039,0.098
1,111,0.023,0.042,0.097
1,112,0.021,0.038,0.098
1,113,0.015,0.03,0.104
1,114,0.008,0.017,0.114
1,115,0.011,0.023,0.109
1,116,0.011,0.023,0.109
1,117,0.019,0.037,0.101
1,118,0.01,0.021,0.111
1,119,0.014,0.028,0.106
1,120,0.021,0.04,0.1
1,121,0.044,0.073,0.088
1,122,0.023,0.043,0.099
1,123,0.009,0.019,0.114
1,124,0.011,0.022,0.111
1,125,0.007,0.016,0.117
1,126,0.009,0.019,0.115
1,127,0.012,0.024,0.11
1,128,0.004,0.009,0.128
1,129,0.009,0.018,0.116
1,130,0.017,0.032,0.106
1,131,0.009,0.018,0.116
1,132,0.012,0.024,0.111
1,133,0.012,0.024,0.112
1,134,0.014,0.027,0.109
1,135,0.009,0.019,0.116
1,136,0.008,0.018,0.118
1,137,0.013,0.026,0.111
1,138,0.018,0.035,0.106
1,139,0.022,0.04,0.103
1,140,0.01,0.021,0.116
1,141,0.013,0.026,0.112
1,142,0.016,0.031,0.109
1,143,0.034,0.059,0.097
1,144,0.033,0.058,0.097
1,145,0.028,0.05,0.1
1,146,0.076,0.118,0.081
1,147,0.05,0.082,0.09
1,148,0.043,0.072,0.093
1,149,0.049,0.081,0.09
1,150,0.041,0.069,0.094
1,151,0.05,0.083,0.09
1,152,0.051,0.083,0.09
1,153,0.057,0.092,0.088
1,154,0.023,0.042,0.106
1,155,0.031,0.055,0.101
1,156,0.049,0.081,0.092
1,157,0.039,0.066,0.097
1,158,0.052,0.086,0.091
1,159,0.042,0.071,0.096
1,160,0.042,0.07,0.096
1,161,0.065,0.103,0.088
1,162,0.045,0.075,0.095
1,163,0.049,0.081,0.094
1,164,0.058,0.093,0.091
1,165,0.051,0.083,0.094
1,166,0.08,0.122,0.085
1,167,0.07,0.109,0.088
1,168,0.07,0.109,0.088
1,169,0.09,0.136,0.083
1,170,0.089,0.134,0.084
1,171,0.118,0.172,0.077
1,172,0.083,0.127,0.086
1,173,0.12,0.174,0.078
1,174,0.093,0.141,0.084
1,175,0.047,0.077,0.101
1,176,0.069,0.109,0.092
1,177,0.061,0.097,0.096
1,178,0.062,0.099,0.096
1,179,0.087,0.132,0.088
1,180,0.09,0.136,0.088
1,181,0.055,0.089,0.1
1,182,0.056,0.09,0.1
1,183,0.061,0.097,0.098
1,184,0.082,0.125,0.092
1,185,0.08,0.122,0.093
1,186,0.135,0.192,0.08
1,187,0.126,0.182,0.082
1,188,0.131,0.188,0.081
1,189,0.127,0.183,0.082
1,190,0.083,0.127,0.094
1,191,0.091,0.137,0.093
1,192,0.159,0.222,0.077
1,193,0.182,0.249,0.074
1,194,0.111,0.163,0.088
1,195,0.092,0.139,0.094
1,196,0.09,0.136,0.095
1,197,0.118,0.172,0.088
1,198,0.154,0.215,0.081
1,199,0.135,0.192,0.085
1,200,0.071,0.111,0.103
1,201,0.18,0.246,0.077
1,202,0.127,0.183,0.088
1,203,0.143,0.202,0.085
1,204,0.164,0.228,0.081
1,205,0.088,0.134,0.1
1,206,0.142,0.201,0.086
1,207,0.141,0.2,0.087
1,208,0.12,0.174,0.092
1,209,0.122,0.176,0.092
1,210,0.123,0.178,0.092
1,211,0.116,0.169,0.094
1,212,0.103,0.153,0.097
1,213,0.137,0.196,0.089
1,214,0.157,0.22,0.085
1,215,0.11,0.162,0.097
1,216,0.18,0.247,0.081
1,217,0.195,0.264,0.079
1,218,0.22,0.293,0.075
1,219,0.153,0.215,0.088
1,220,0.254,0.33,0.07
1,221,0.26,0.336,0.07
1,222,0.273,0.351,0.068
1,223,0.354,0.436,0.058
1,224,0.462,0.544,0.046
1,39,0.002,0.006,0.11
1,40,0.002,0.005,0.113
1,41,0.004,0.009,0.106
1,42,0.001,0.003,0.118
1,43,0.005,0.011,0.104
1,44,0.01,0.021,0.094
1,45,0.004,0.01,0.105
1,46,0.001,0.004,0.116
1,47,0.004,0.01,0.105
1,48,0.004,0.01,0.105
1,49,0.001,0.002,0.123
1,50,0.004,0.01,0.104
1,51,0.004,0.009,0.107
1,52,0.001,0.003,0.121
1,53,0.001,0.003,0.122
1,54,0.004,0.01,0.105
1,55,0.002,0.004,0.117
1,56,0.001,0.003,0.124
1,57,0.001,0.003,0.123
1,58,0.003,0.008,0.109
1,59,0.0,0.001,0.131
1,60,0.001,0.003,0.124
1,61,0.0,0.001,0.137
1,62,0.001,0.003,0.125
1,63,0.002,0.005,0.118
1,64,0.003,0.006,0.114
1,65,0.001,0.003,0.124
1,66,0.001,0.002,0.127
1,67,0.0,0.001,0.141
1,68,0.001,0.003,0.125
1,69,0.002,0.005,0.117
1,70,0.001,0.002,0.13
1,71,0.002,0.005,0.118
1,72,0.002,0.006,0.117
1,73,0.002,0.005,0.12
1,74,0.004,0.009,0.112
1,75,0.002,0.004,0.123
1,76,0.004,0.009,0.112
1,77,0.027,0.048,0.087
1,78,0.009,0.018,0.103
1,79,0.005,0.011,0.11
1,80,0.012,0.025,0.099
1,81,0.016,0.031,0.095
1,82,0.009,0.018,0.104
1,83,0.009,0.019,0.104
1,84,0.007,0.016,0.107
1,85,0.008,0.017,0.106
1,86,0.006,0.014,0.109
1,87,0.008,0.016,0.107
1,88,0.003,0.006,0.121
1,89,0.006,0.013,0.112
1,90,0.007,0.015,0.108
1,91,0.005,0.011,0.114
1,92,0.008,0.017,0.108
1,93,0.003,0.007,0.121
1,94,0.009,0.02,0.106
1,95,0.007,0.015,0.111
1,96,0.004,0.009,0.118
1,97,0.007,0.015,0.11
1,98,0.013,0.026,0.102
1,99,0.007,0.015,0.111
10,10,0.001,0.002,0.125
10,100,0.005,0.011,0.117
10,101,0.004,0.009,0.119
10,102,0.005,0.011,0.117
10,103,0.004,0.009,0.121
10,104,0.011,0.023,0.105
10,105,0.002,0.005,0.128
10,106,0.004,0.009,0.121
10,107,0.038,0.066,0.087
10,108,0.014,0.028,0.103
10,109,0.008,0.017,0.111
10,11,0.0,0.001,0.127
10,110,0.008,0.017,0.112
10,111,0.015,0.029,0.103
10,112,0.012,0.025,0.106
10,113,0.021,0.039,0.098
10,114,0.022,0.041,0.097
10,115,0.019,0.035,0.1
10,116,0.015,0.03,0.103
10,117,0.009,0.018,0.112
10,118,0.014,0.027,0.106
10,119,0.005,0.012,0.12
10,12,0.0,0.001,0.126
10,120,0.008,0.017,0.114
10,121,0.008,0.016,0.115
10,122,0.008,0.018,0.114
10,123,0.005,0.011,0.122
10,124,0.003,0.007,0.129
10,125,0.002,0.006,0.131
10,126,0.003,0.008,0.129
10,127,0.003,0.008,0.129
10,128,0.002,0.005,0.136
10,129,0.003,0.007,0.13
10,13,0.001,0.003,0.118
10,130,0.002,0.005,0.134
10,131,0.002,0.004,0.138
10,132,0.002,0.004,0.138
10,133,0.001,0.002,0.149
10,134,0.001,0.004,0.14
