slice_num,coord_num,PValue,adjPVal,logFC
1,100,0.002,0.006,0.124
1,101,0.008,0.017,0.109
1,102,0.01,0.021,0.106
1,103,0.012,0.024,0.104
1,104,0.021,0.04,0.096
1,105,0.009,0.018,0.11
1,106,0.01,0.02,0.108
1,107,0.011,0.023,0.106
1,108,0.014,0.027,0.104
1,109,0.013,0.026,0.104
1,110,0.015,0.03,0.102
1,111,0.016,0.032,0.102
1,112,0.015,0.029,0.103
1,113,0.011,0.023,0.108
1,114,0.005,0.012,0.119
1,115,0.008,0.017,0.113
1,116,0.008,0.018,0.113
1,117,0.014,0.027,0.106
1,118,0.007,0.016,0.116
1,119,0.01,0.021,0.111
1,120,0.016,0.03,0.105
1,121,0.032,0.057,0.093
1,122,0.017,0.033,0.103
1,123,0.006,0.014,0.119
1,124,0.008,0.016,0.117
1,125,0.005,0.011,0.123
1,126,0.006,0.014,0.12
1,127,0.008,0.018,0.116
1,128,0.003,0.006,0.133
1,129,0.006,0.013,0.121
1,130,0.012,0.024,0.111
1,131,0.006,0.013,0.121
1,132,0.008,0.018,0.116
1,133,0.008,0.018,0.117
1,134,0.009,0.02,0.115
1,135,0.006,0.014,0.121
1,136,0.006,0.013,0.123
1,137,0.009,0.019,0.116
1,138,0.013,0.026,0.111
1,139,0.015,0.03,0.109
1,140,0.007,0.015,0.121
1,141,0.009,0.018,0.118
1,142,0.011,0.023,0.115
1,143,0.024,0.043,0.103
1,144,0.023,0.042,0.103
1,145,0.019,0.036,0.106
1,146,0.057,0.093,0.087
1,147,0.037,0.064,0.095
1,148,0.031,0.055,0.099
1,149,0.037,0.063,0.096
1,150,0.03,0.053,0.1
1,151,0.037,0.063,0.096
1,152,0.037,0.063,0.096
1,153,0.042,0.071,0.094
1,154,0.016,0.031,0.111
1,155,0.023,0.042,0.106
1,156,0.036,0.061,0.098
1,157,0.028,0.05,0.103
1,158,0.038,0.065,0.097
1,159,0.03,0.053,0.102
1,160,0.03,0.052,0.103
1,161,0.047,0.079,0.094
1,162,0.032,0.056,0.102
1,163,0.035,0.061,0.101
1,164,0.041,0.07,0.098
1,165,0.036,0.063,0.101
1,166,0.059,0.095,0.091
1,167,0.052,0.085,0.094
1,168,0.053,0.086,0.094
1,169,0.069,0.108,0.089
1,170,0.067,0.106,0.09
1,171,0.09,0.136,0.084
1,172,0.06,0.096,0.093
1,173,0.09,0.137,0.085
1,174,0.07,0.109,0.091
1,175,0.033,0.058,0.107
1,176,0.051,0.084,0.098
1,177,0.045,0.075,0.102
1,178,0.045,0.075,0.103
1,179,0.065,0.102,0.095
1,180,0.066,0.105,0.095
1,181,0.04,0.068,0.106
1,182,0.041,0.069,0.106
1,183,0.045,0.076,0.105
1,184,0.063,0.1,0.098
1,185,0.06,0.097,0.099
1,186,0.105,0.155,0.086
1,187,0.096,0.144,0.089
1,188,0.102,0.151,0.088
1,189,0.098,0.147,0.089
1,190,0.064,0.101,0.101
1,191,0.068,0.107,0.1
1,192,0.126,0.182,0.084
1,193,0.145,0.205,0.08
1,194,0.084,0.129,0.096
1,195,0.069,0.109,0.101
1,196,0.069,0.109,0.101
1,197,0.092,0.138,0.095
1,198,0.121,0.175,0.088
1,199,0.107,0.158,0.092
1,200,0.054,0.088,0.11
1,201,0.144,0.204,0.083
1,202,0.103,0.153,0.094
1,203,0.116,0.169,0.091
1,204,0.13,0.187,0.088
1,205,0.071,0.111,0.105
1,206,0.117,0.17,0.091
1,207,0.117,0.17,0.092
1,208,0.098,0.147,0.097
1,209,0.101,0.15,0.097
1,210,0.101,0.15,0.097
1,211,0.096,0.144,0.099
1,212,0.086,0.13,0.102
1,213,0.115,0.168,0.094
1,214,0.132,0.189,0.091
1,215,0.089,0.135,0.103
1,216,0.151,0.212,0.087
1,217,0.164,0.227,0.085
1,218,0.183,0.25,0.081
1,219,0.126,0.182,0.094
1,220,0.217,0.289,0.076
1,221,0.219,0.291,0.076
1,222,0.234,0.308,0.074
1,223,0.302,0.382,0.064
1,224,0.398,0.482,0.053
1,39,0.002,0.005,0.114
1,40,0.001,0.003,0.118
1,41,0.002,0.006,0.11
1,42,0.001,0.002,0.122
1,43,0.003,0.007,0.108
1,44,0.007,0.015,0.098
1,45,0.003,0.007,0.109
1,46,0.001,0.003,0.12
1,47,0.003,0.007,0.109
1,48,0.003,0.007,0.109
1,49,0.001,0.002,0.127
1,50,0.003,0.007,0.109
1,51,0.002,0.006,0.112
1,52,0.001,0.002,0.124
1,53,0.001,0.002,0.126
1,54,0.003,0.008,0.109
1,55,0.001,0.003,0.121
1,56,0.001,0.002,0.127
1,57,0.001,0.002,0.127
1,58,0.002,0.006,0.113
1,59,0.0,0.001,0.135
1,60,0.001,0.002,0.128
1,61,0.0,0.001,0.141
1,62,0.001,0.002,0.13
1,63,0.001,0.003,0.122
1,64,0.002,0.004,0.118
1,65,0.001,0.002,0.128
1,66,0.0,0.002,0.132
1,67,0.0,0.0,0.146
1,68,0.001,0.002,0.13
1,69,0.001,0.004,0.122
1,70,0.0,0.001,0.135
1,71,0.001,0.004,0.123
1,72,0.001,0.004,0.122
1,73,0.001,0.003,0.125
1,74,0.003,0.006,0.116
1,75,0.001,0.003,0.128
1,76,0.003,0.007,0.117
1,77,0.019,0.036,0.091
1,78,0.006,0.013,0.107
1,79,0.003,0.008,0.115
1,80,0.009,0.018,0.103
1,81,0.011,0.023,0.1
1,82,0.006,0.013,0.108
1,83,0.006,0.014,0.108
1,84,0.005,0.012,0.111
1,85,0.006,0.013,0.11
1,86,0.005,0.011,0.113
1,87,0.005,0.012,0.112
1,88,0.002,0.004,0.126
1,89,0.004,0.009,0.116
1,90,0.005,0.011,0.114
1,91,0.003,0.008,0.119
1,92,0.005,0.012,0.113
1,93,0.002,0.005,0.126
1,94,0.006,0.014,0.111
1,95,0.005,0.011,0.116
1,96,0.003,0.007,0.123
1,97,0.005,0.011,0.115
1,98,0.009,0.019,0.107
1,99,0.005,0.011,0.116
10,10,0.0,0.001,0.13
10,100,0.003,0.008,0.12
10,101,0.003,0.007,0.122
10,102,0.003,0.008,0.121
10,103,0.003,0.006,0.125
10,104,0.008,0.018,0.109
10,105,0.001,0.004,0.133
10,106,0.003,0.006,0.126
10,107,0.029,0.051,0.091
10,108,0.01,0.021,0.108
10,109,0.006,0.013,0.116
10,11,0.0,0.001,0.132
10,110,0.006,0.013,0.116
10,111,0.011,0.022,0.107
10,112,0.009,0.019,0.11
10,113,0.015,0.029,0.103
10,114,0.017,0.032,0.101
10,115,0.014,0.028,0.104
10,116,0.011,0.023,0.108
10,117,0.006,0.014,0.116
10,118,0.01,0.021,0.11
10,119,0.003,0.008,0.125
10,12,0.0,0.001,0.131
10,120,0.006,0.013,0.118
10,121,0.006,0.012,0.119
10,122,0.006,0.014,0.118
10,123,0.003,0.008,0.126
10,124,0.002,0.006,0.133
10,125,0.002,0.005,0.136
10,126,0.002,0.006,0.133
10,127,0.002,0.006,0.133
10,128,0.001,0.003,0.14
10,129,0.002,0.005,0.134
10,13,0.001,0.002,0.123
10,130,0.002,0.004,0.138
10,131,0.001,0.003,0.141
10,132,0.001,0.003,0.142
10,133,0.0,0.002,0.153
10,134,0.001,0.003,0.144
10,135,0.002,0.005,0.136
10,136,0.001,0.003,0.143
10,137,0.002,0.004,0.139
10,138,0.003,0.007,0.131
10,139,0.002,0.006,0.136
10,14,0.0,0.0,0.137
10,140,0.002,0.005,0.138
10,141,0.003,0.008,0.13
10,142,0.004,0.009,0.129
10,143,0.005,0.012,0.124
10,144,0.005,0.011,0.126
10,145,0.003,0.007,0.134
10,146,0.007,0.016,0.12
10,147,0.004,0.01,0.128
10,148,0.004,0.01,0.128
10,149,0.005,0.011,0.127
10,15,0.001,0.002,0.121
10,150,0.005,0.011,0.127
10,151,0.004,0.009,0.13
10,152,0.007,0.015,0.122
10,153,0.003,0.007,0.135
10,154,0.006,0.013,0.125
10,155,0.006,0.013,0.125
10,156,0.007,0.014,0.123
10,157,0.006,0.013,0.125
10,158,0.007,0.014,0.123
10,159,0.011,0.023,0.114
10,16,0.0,0.001,0.131
10,160,0.017,0.033,0.108
10,161,0.046,0.076,0.091
10,162,0.028,0.05,0.099
10,163,0.021,0.04,0.104
10,164,0.029,0.052,0.099
10,165,0.023,0.043,0.103
10,166,0.035,0.06,0.096
10,167,0.063,0.1,0.085
10,168,0.044,0.073,0.092
10,169,0.024,0.044,0.103
10,17,0.0,0.001,0.126
10,170,0.041,0.069,0.094
10,171,0.056,0.091,0.088
10,172,0.079,0.121,0.081
10,173,0.064,0.101,0.085
10,174,0.048,0.08,0.091
10,175,0.024,0.045,0.104
10,176,0.021,0.039,0.107
10,177,0.032,0.056,0.1
10,178,0.028,0.05,0.103
10,179,0.056,0.09,0.089
10,18,0.001,0.002,0.122
10,180,0.069,0.108,0.085
10,181,0.076,0.118,0.084
10,182,0.063,0.1,0.088
10,183,0.036,0.063,0.099
10,184,0.054,0.088,0.092
10,185,0.036,0.062,0.101
10,186,0.034,0.059,0.102
10,187,0.034,0.059,0.102
10,188,0.066,0.104,0.089
10,189,0.046,0.076,0.098
10,19,0.001,0.002,0.119
10,190,0.025,0.045,0.11
10,191,0.045,0.075,0.099
10,192,0.044,0.074,0.1
10,193,0.069,0.109,0.091
10,194,0.059,0.095,0.095
10,195,0.079,0.122,0.089
10,196,0.079,0.121,0.09
10,197,0.13,0.186,0.078
10,198,0.113,0.165,0.082
10,199,0.11,0.162,0.083
10,20,0.001,0.002,0.122
10,200,0.151,0.212,0.075
10,201,0.149,0.21,0.076
10,202,0.188,0.256,0.07
10,203,0.256,0.332,0.061
10,204,0.242,0.316,0.063
10,205,0.21,0.281,0.068
10,206,0.217,0.289,0.067
10,207,0.276,0.354,0.06
10,208,0.23,0.304,0.066
10,209,0.281,0.36,0.06
10,21,0.0,0.001,0.123
10,210,0.33,0.412,0.055
10,211,0.383,0.466,0.05
10,212,0.26,0.337,0.064
10,213,0.235,0.309,0.068
10,214,0.225,0.297,0.07
10,215,0.161,0.224,0.082
10,216,0.201,0.27,0.075
10,217,0.233,0.307,0.071
10,218,0.27,0.347,0.066
10,219,0.215,0.287,0.075
10,22,0.003,0.006,0.106
10,220,0.159,0.221,0.085
10,221,0.189,0.256,0.08
10,222,0.131,0.187,0.093
10,223,0.165,0.229,0.086
10,224,0.14,0.199,0.092
10,225,0.181,0.247,0.084
10,226,0.211,0.282,0.078
10,227,0.119,0.173,0.098
10,228,0.154,0.216,0.09
10,229,0.112,0.164,0.101
10,23,0.0,0.001,0.134
10,230,0.202,0.272,0.082
10,231,0.142,0.201,0.094
10,232,0.158,0.221,0.091
10,233,0.152,0.213,0.093
10,234,0.147,0.207,0.095
10,235,0.221,0.294,0.08
10,236,0.139,0.198,0.097
10,237,0.157,0.219,0.093
10,238,0.217,0.289,0.082
10,239,0.227,0.3,0.08
10,24,0.001,0.002,0.121
10,240,0.159,0.222,0.094
10,241,0.247,0.322,0.078
10,242,0.236,0.31,0.08
10,243,0.175,0.241,0.092
10,244,0.254,0.33,0.077
10,245,0.178,0.244,0.092
10,246,0.198,0.267,0.088
10,247,0.19,0.258,0.091
10,248,0.215,0.286,0.086
10,249,0.206,0.276,0.089
10,25,0.001,0.002,0.122
10,250,0.153,0.214,0.101
10,251,0.142,0.201,0.104
10,26,0.0,0.002,0.124
10,27,0.001,0.002,0.118
