slice_num,coord_num,PValue,adjPVal,logFC
1,100,0.276,0.354,0.042
1,101,0.32,0.401,0.038
1,102,0.25,0.325,0.044
1,103,0.253,0.329,0.044
1,104,0.424,0.507,0.031
1,105,0.299,0.379,0.04
1,106,0.302,0.382,0.04
1,107,0.321,0.402,0.039
1,108,0.367,0.45,0.035
1,109,0.248,0.324,0.045
1,110,0.21,0.281,0.049
1,111,0.166,0.23,0.055
1,112,0.094,0.141,0.066
1,113,0.126,0.182,0.061
1,114,0.081,0.125,0.069
1,115,0.067,0.106,0.073
1,116,0.075,0.117,0.071
1,117,0.08,0.123,0.07
1,118,0.051,0.083,0.078
1,119,0.058,0.093,0.076
1,120,0.056,0.091,0.077
1,121,0.152,0.213,0.058
1,122,0.103,0.153,0.066
1,123,0.071,0.111,0.073
1,124,0.066,0.104,0.075
1,125,0.062,0.099,0.076
1,126,0.089,0.135,0.07
1,127,0.135,0.193,0.061
1,128,0.061,0.098,0.077
1,129,0.075,0.117,0.073
1,130,0.153,0.214,0.059
1,131,0.087,0.132,0.07
1,132,0.062,0.099,0.077
1,133,0.103,0.153,0.067
1,134,0.171,0.235,0.057
1,135,0.082,0.126,0.072
1,136,0.099,0.147,0.069
1,137,0.259,0.336,0.047
1,138,0.199,0.268,0.054
1,139,0.197,0.265,0.054
1,140,0.143,0.202,0.061
1,141,0.174,0.239,0.057
1,142,0.169,0.234,0.058
1,143,0.169,0.233,0.058
1,144,0.21,0.281,0.053
1,145,0.281,0.359,0.046
1,146,0.342,0.424,0.04
1,147,0.303,0.382,0.044
1,148,0.291,0.37,0.045
1,149,0.203,0.273,0.054
1,150,0.246,0.321,0.05
1,151,0.265,0.342,0.048
1,152,0.228,0.301,0.052
1,153,0.228,0.301,0.052
1,154,0.136,0.193,0.065
1,155,0.257,0.334,0.049
1,156,0.414,0.498,0.036
1,157,0.334,0.416,0.042
1,158,0.298,0.378,0.045
1,159,0.296,0.375,0.046
1,160,0.37,0.453,0.039
1,161,0.451,0.534,0.033
1,162,0.387,0.47,0.038
1,163,0.377,0.46,0.039
1,164,0.438,0.521,0.035
1,165,0.395,0.478,0.038
1,166,0.365,0.447,0.041
1,167,0.422,0.505,0.036
1,168,0.404,0.487,0.038
1,169,0.422,0.505,0.037
1,170,0.437,0.52,0.036
1,171,0.502,0.583,0.031
1,172,0.536,0.615,0.029
1,173,0.674,0.739,0.02
1,174,0.651,0.719,0.021
1,175,0.527,0.606,0.03
1,176,0.514,0.594,0.031
1,177,0.508,0.589,0.031
1,178,0.496,0.577,0.032
1,179,0.706,0.767,0.018
1,180,0.683,0.747,0.02
1,181,0.628,0.699,0.023
1,182,0.539,0.618,0.03
1,183,0.549,0.627,0.029
1,184,0.56,0.637,0.029
1,185,0.592,0.667,0.026
1,186,0.686,0.75,0.02
1,187,0.566,0.643,0.029
1,188,0.621,0.692,0.025
1,189,0.849,0.884,0.01
1,190,0.704,0.765,0.019
1,191,0.745,0.8,0.017
1,192,0.678,0.742,0.021
1,193,0.707,0.768,0.019
1,194,0.583,0.658,0.028
1,195,0.638,0.707,0.024
1,196,0.67,0.736,0.022
1,197,0.563,0.64,0.03
1,198,0.487,0.568,0.037
1,199,0.547,0.625,0.032
1,200,0.384,0.467,0.046
1,201,0.67,0.736,0.023
1,202,0.412,0.495,0.044
1,203,0.509,0.589,0.036
1,204,0.51,0.59,0.036
1,205,0.356,0.438,0.05
1,206,0.441,0.524,0.042
1,207,0.454,0.536,0.041
1,208,0.339,0.421,0.053
1,209,0.256,0.332,0.063
1,210,0.335,0.417,0.053
1,211,0.309,0.389,0.056
1,212,0.233,0.306,0.066
1,213,0.227,0.3,0.067
1,214,0.282,0.361,0.06
1,215,0.222,0.295,0.069
1,216,0.331,0.412,0.055
1,217,0.29,0.369,0.06
1,218,0.372,0.455,0.051
1,219,0.32,0.401,0.057
1,220,0.346,0.428,0.054
1,221,0.389,0.473,0.049
1,222,0.468,0.551,0.042
1,223,0.462,0.545,0.042
1,224,0.655,0.722,0.026
1,39,0.036,0.062,0.071
1,40,0.12,0.174,0.053
1,41,0.073,0.113,0.061
1,42,0.062,0.099,0.063
1,43,0.133,0.19,0.051
1,44,0.147,0.207,0.049
1,45,0.125,0.18,0.052
1,46,0.066,0.104,0.062
1,47,0.088,0.134,0.058
1,48,0.062,0.099,0.064
1,49,0.068,0.107,0.062
1,50,0.113,0.165,0.054
1,51,0.074,0.115,0.061
1,52,0.032,0.057,0.073
1,53,0.086,0.131,0.059
1,54,0.061,0.098,0.064
1,55,0.058,0.094,0.065
1,56,0.058,0.093,0.065
1,57,0.049,0.081,0.068
1,58,0.112,0.164,0.055
1,59,0.062,0.099,0.065
1,60,0.042,0.071,0.071
1,61,0.046,0.076,0.07
1,62,0.081,0.124,0.061
1,63,0.116,0.169,0.055
1,64,0.069,0.109,0.064
1,65,0.068,0.107,0.064
1,66,0.074,0.115,0.063
1,67,0.039,0.067,0.073
1,68,0.099,0.147,0.058
1,69,0.089,0.135,0.06
1,70,0.092,0.138,0.06
1,71,0.167,0.231,0.049
1,72,0.227,0.299,0.043
1,73,0.125,0.18,0.055
1,74,0.226,0.299,0.043
1,75,0.146,0.206,0.053
1,76,0.311,0.392,0.037
1,77,0.475,0.558,0.026
1,78,0.28,0.358,0.039
1,79,0.399,0.482,0.031
1,80,0.481,0.563,0.026
1,81,0.471,0.554,0.026
1,82,0.477,0.559,0.026
1,83,0.272,0.349,0.041
1,84,0.292,0.371,0.039
1,85,0.326,0.407,0.037
1,86,0.268,0.346,0.041
1,87,0.227,0.3,0.045
1,88,0.3,0.38,0.039
1,89,0.447,0.53,0.028
1,90,0.443,0.526,0.029
1,91,0.304,0.385,0.039
1,92,0.364,0.446,0.034
1,93,0.288,0.367,0.04
1,94,0.347,0.429,0.036
1,95,0.36,0.443,0.035
1,96,0.204,0.274,0.048
1,97,0.321,0.402,0.038
1,98,0.391,0.474,0.033
1,99,0.251,0.326,0.044
10,10,0.118,0.172,0.053
10,100,0.036,0.061,0.08
10,101,0.029,0.052,0.084
10,102,0.052,0.085,0.075
10,103,0.034,0.059,0.082
10,104,0.063,0.1,0.072
