slice_num,coord_num,PValue,adjPVal,logFC
1,100,0.0,0.0,-0.139
1,101,0.0,0.0,-0.143
1,102,0.0,0.0,-0.144
1,103,0.0,0.001,-0.13
1,104,0.0,0.001,-0.131
1,105,0.0,0.001,-0.134
1,106,0.0,0.001,-0.132
1,107,0.0,0.001,-0.138
1,108,0.0,0.001,-0.141
1,109,0.0,0.001,-0.137
1,110,0.001,0.002,-0.126
1,111,0.001,0.003,-0.124
1,112,0.001,0.003,-0.122
1,113,0.001,0.003,-0.122
1,114,0.001,0.002,-0.13
1,115,0.001,0.002,-0.128
1,116,0.001,0.004,-0.122
1,117,0.001,0.003,-0.124
1,118,0.001,0.004,-0.123
1,119,0.001,0.003,-0.126
1,120,0.002,0.005,-0.119
1,121,0.001,0.002,-0.13
1,122,0.001,0.003,-0.124
1,123,0.0,0.002,-0.134
1,124,0.0,0.001,-0.136
1,125,0.0,0.001,-0.136
1,126,0.0,0.001,-0.136
1,127,0.0,0.001,-0.142
1,128,0.0,0.001,-0.136
1,129,0.001,0.002,-0.133
1,130,0.0,0.001,-0.14
1,131,0.001,0.002,-0.134
1,132,0.002,0.005,-0.122
1,133,0.001,0.002,-0.136
1,134,0.0,0.001,-0.146
1,135,0.001,0.002,-0.135
1,136,0.0,0.001,-0.138
1,137,0.0,0.001,-0.145
1,138,0.001,0.002,-0.137
1,139,0.0,0.001,-0.139
1,140,0.0,0.001,-0.145
1,141,0.0,0.001,-0.148
1,142,0.0,0.002,-0.14
1,143,0.0,0.001,-0.143
1,144,0.0,0.001,-0.148
1,145,0.0,0.001,-0.153
1,146,0.001,0.002,-0.139
1,147,0.001,0.003,-0.134
1,148,0.0,0.001,-0.142
1,149,0.002,0.004,-0.127
1,150,0.001,0.002,-0.138
1,151,0.001,0.002,-0.14
1,152,0.001,0.002,-0.142
1,153,0.001,0.002,-0.137
1,154,0.002,0.005,-0.128
1,155,0.001,0.003,-0.137
1,156,0.0,0.001,-0.148
1,157,0.001,0.002,-0.138
1,158,0.001,0.003,-0.138
1,159,0.001,0.002,-0.143
1,160,0.0,0.001,-0.148
1,161,0.0,0.001,-0.149
1,162,0.0,0.001,-0.152
1,163,0.0,0.001,-0.151
1,164,0.0,0.001,-0.157
1,165,0.0,0.001,-0.153
1,166,0.001,0.002,-0.147
1,167,0.0,0.001,-0.153
1,168,0.001,0.003,-0.142
1,169,0.001,0.002,-0.146
1,170,0.0,0.002,-0.152
1,171,0.0,0.001,-0.157
1,172,0.0,0.0,-0.177
1,173,0.0,0.001,-0.168
1,174,0.0,0.0,-0.171
1,175,0.0,0.0,-0.173
1,176,0.0,0.001,-0.169
1,177,0.0,0.001,-0.171
1,178,0.0,0.0,-0.177
1,179,0.0,0.0,-0.178
1,180,0.0,0.0,-0.176
1,181,0.0,0.0,-0.181
1,182,0.0,0.001,-0.167
1,183,0.0,0.001,-0.165
1,184,0.0,0.001,-0.164
1,185,0.0,0.001,-0.167
1,186,0.0,0.002,-0.164
1,187,0.0,0.001,-0.169
1,188,0.0,0.001,-0.169
1,189,0.0,0.001,-0.178
1,190,0.0,0.001,-0.17
1,191,0.0,0.001,-0.184
1,192,0.001,0.002,-0.167
1,193,0.0,0.002,-0.17
1,194,0.0,0.001,-0.184
1,195,0.0,0.0,-0.188
1,196,0.0,0.001,-0.176
1,197,0.0,0.001,-0.175
1,198,0.0,0.001,-0.175
1,199,0.001,0.002,-0.168
1,200,0.0,0.001,-0.177
1,201,0.0,0.001,-0.179
1,202,0.002,0.004,-0.16
1,203,0.001,0.003,-0.165
1,204,0.001,0.002,-0.177
1,205,0.002,0.005,-0.16
1,206,0.002,0.006,-0.157
1,207,0.003,0.007,-0.155
1,208,0.004,0.009,-0.151
1,209,0.005,0.011,-0.148
1,210,0.003,0.007,-0.156
1,211,0.006,0.013,-0.145
1,212,0.006,0.014,-0.144
1,213,0.006,0.013,-0.146
