slice_num,coord_num,PValue,adjPVal,logFC
1,100,0.007,0.014,0.113
1,101,0.02,0.037,0.097
1,102,0.025,0.046,0.093
1,103,0.027,0.048,0.093
1,104,0.042,0.07,0.085
1,105,0.018,0.035,0.099
1,106,0.02,0.037,0.098
1,107,0.025,0.045,0.095
1,108,0.03,0.054,0.092
1,109,0.029,0.052,0.093
1,110,0.031,0.054,0.092
1,111,0.034,0.06,0.09
1,112,0.03,0.053,0.093
1,113,0.022,0.041,0.098
1,114,0.013,0.025,0.107
1,115,0.018,0.034,0.102
1,116,0.016,0.031,0.105
1,117,0.028,0.05,0.095
1,118,0.016,0.032,0.104
1,119,0.021,0.039,0.101
1,120,0.027,0.049,0.097
1,121,0.053,0.086,0.085
1,122,0.027,0.049,0.097
1,123,0.013,0.025,0.11
1,124,0.016,0.032,0.106
1,125,0.011,0.023,0.112
1,126,0.012,0.024,0.111
1,127,0.015,0.03,0.107
1,128,0.005,0.012,0.124
1,129,0.012,0.024,0.112
1,130,0.022,0.041,0.102
1,131,0.012,0.023,0.112
1,132,0.015,0.03,0.108
1,133,0.017,0.033,0.106
1,134,0.022,0.04,0.103
1,135,0.013,0.026,0.111
1,136,0.012,0.024,0.113
1,137,0.018,0.035,0.106
1,138,0.024,0.044,0.102
1,139,0.029,0.052,0.099
1,140,0.016,0.031,0.109
1,141,0.02,0.037,0.106
1,142,0.024,0.043,0.103
1,143,0.048,0.079,0.091
1,144,0.048,0.08,0.09
1,145,0.041,0.069,0.094
1,146,0.097,0.145,0.076
1,147,0.062,0.099,0.086
1,148,0.058,0.093,0.088
1,149,0.065,0.103,0.085
1,150,0.055,0.089,0.089
1,151,0.068,0.107,0.085
1,152,0.072,0.112,0.084
1,153,0.083,0.127,0.081
1,154,0.032,0.055,0.101
1,155,0.045,0.076,0.094
1,156,0.069,0.108,0.086
1,157,0.051,0.083,0.092
1,158,0.076,0.117,0.084
1,159,0.061,0.097,0.089
1,160,0.062,0.098,0.089
1,161,0.094,0.142,0.08
1,162,0.07,0.109,0.087
1,163,0.075,0.116,0.086
1,164,0.093,0.14,0.081
1,165,0.082,0.126,0.084
1,166,0.123,0.178,0.075
1,167,0.112,0.164,0.078
1,168,0.105,0.155,0.08
1,169,0.144,0.203,0.072
1,170,0.141,0.2,0.073
1,171,0.189,0.257,0.065
1,172,0.159,0.222,0.071
1,173,0.205,0.275,0.064
1,174,0.157,0.219,0.072
1,175,0.087,0.132,0.087
1,176,0.12,0.174,0.079
1,177,0.114,0.167,0.081
1,178,0.122,0.177,0.08
1,179,0.153,0.214,0.074
1,180,0.159,0.222,0.073
1,181,0.1,0.149,0.086
1,182,0.095,0.143,0.087
1,183,0.111,0.163,0.084
1,184,0.145,0.204,0.077
1,185,0.133,0.191,0.08
1,186,0.21,0.281,0.067
1,187,0.21,0.28,0.068
1,188,0.207,0.277,0.068
1,189,0.197,0.266,0.07
1,190,0.127,0.183,0.083
1,191,0.149,0.21,0.079
1,192,0.23,0.304,0.066
1,193,0.273,0.35,0.061
