slice_num,coord_num,PValue,adjPVal,logFC
1,100,0.076,0.118,0.074
1,101,0.184,0.251,0.055
1,102,0.239,0.314,0.049
1,103,0.224,0.297,0.051
1,104,0.279,0.357,0.045
1,105,0.176,0.242,0.057
1,106,0.191,0.26,0.055
1,107,0.225,0.298,0.051
1,108,0.244,0.319,0.049
1,109,0.258,0.335,0.048
1,110,0.253,0.328,0.049
1,111,0.28,0.359,0.046
1,112,0.272,0.349,0.047
1,113,0.216,0.288,0.053
1,114,0.168,0.232,0.059
1,115,0.214,0.286,0.054
1,116,0.188,0.255,0.057
1,117,0.283,0.361,0.047
1,118,0.204,0.274,0.055
1,119,0.251,0.327,0.05
1,120,0.31,0.39,0.044
1,121,0.438,0.521,0.034
1,122,0.306,0.386,0.045
1,123,0.2,0.269,0.056
1,124,0.237,0.311,0.052
1,125,0.177,0.243,0.06
1,126,0.179,0.246,0.059
1,127,0.221,0.294,0.054
1,128,0.113,0.166,0.07
1,129,0.186,0.253,0.059
1,130,0.268,0.345,0.049
1,131,0.175,0.241,0.06
1,132,0.207,0.277,0.056
1,133,0.231,0.304,0.054
1,134,0.257,0.333,0.051
1,135,0.203,0.273,0.057
1,136,0.185,0.252,0.06
1,137,0.22,0.292,0.055
1,138,0.271,0.348,0.05
1,139,0.327,0.409,0.044
1,140,0.227,0.3,0.055
1,141,0.25,0.326,0.052
1,142,0.28,0.358,0.049
1,143,0.438,0.521,0.036
1,144,0.441,0.524,0.035
1,145,0.387,0.47,0.04
1,146,0.635,0.705,0.022
1,147,0.485,0.566,0.032
1,148,0.469,0.552,0.033
1,149,0.495,0.576,0.032
1,150,0.465,0.547,0.034
1,151,0.528,0.608,0.029
1,152,0.541,0.62,0.028
1,153,0.554,0.632,0.028
1,154,0.314,0.395,0.047
1,155,0.36,0.442,0.043
1,156,0.46,0.543,0.035
1,157,0.364,0.446,0.043
1,158,0.461,0.544,0.035
1,159,0.417,0.5,0.039
1,160,0.427,0.51,0.038
1,161,0.545,0.623,0.029
1,162,0.437,0.52,0.037
1,163,0.45,0.533,0.036
1,164,0.508,0.589,0.032
1,165,0.445,0.528,0.037
1,166,0.606,0.679,0.025
1,167,0.55,0.628,0.029
1,168,0.515,0.595,0.032
1,169,0.61,0.683,0.025
1,170,0.626,0.697,0.024
