slice_num,coord_num,PValue,adjPVal,logFC
1,100,0.013,0.027,-0.094
1,101,0.027,0.048,-0.084
1,102,0.033,0.057,-0.081
1,103,0.047,0.078,-0.076
1,104,0.102,0.152,-0.063
1,105,0.051,0.083,-0.075
1,106,0.066,0.104,-0.071
1,107,0.052,0.085,-0.075
1,108,0.047,0.078,-0.077
1,109,0.041,0.07,-0.079
1,110,0.055,0.09,-0.075
1,111,0.048,0.08,-0.077
1,112,0.034,0.06,-0.083
1,113,0.051,0.084,-0.076
1,114,0.023,0.043,-0.089
1,115,0.024,0.044,-0.089
1,116,0.035,0.061,-0.083
1,117,0.031,0.055,-0.086
1,118,0.022,0.04,-0.091
1,119,0.032,0.057,-0.085
1,120,0.052,0.086,-0.078
1,121,0.082,0.126,-0.07
1,122,0.091,0.137,-0.068
1,123,0.045,0.075,-0.081
1,124,0.042,0.071,-0.082
1,125,0.022,0.041,-0.092
1,126,0.036,0.062,-0.085
1,127,0.056,0.091,-0.077
1,128,0.036,0.062,-0.085
1,129,0.043,0.072,-0.082
1,130,0.083,0.127,-0.07
1,131,0.062,0.099,-0.076
1,132,0.079,0.122,-0.071
1,133,0.07,0.11,-0.074
1,134,0.063,0.1,-0.076
1,135,0.077,0.119,-0.072
1,136,0.072,0.113,-0.074
1,137,0.118,0.171,-0.064
1,138,0.135,0.193,-0.062
1,139,0.141,0.199,-0.061
1,140,0.075,0.116,-0.074
1,141,0.06,0.095,-0.078
1,142,0.098,0.146,-0.069
1,143,0.093,0.139,-0.07
1,144,0.094,0.141,-0.07
1,145,0.104,0.154,-0.068
1,146,0.28,0.358,-0.045
1,147,0.273,0.35,-0.046
1,148,0.187,0.255,-0.056
1,149,0.174,0.24,-0.057
1,150,0.17,0.234,-0.058
1,151,0.171,0.235,-0.058
1,152,0.13,0.186,-0.064
1,153,0.126,0.182,-0.065
1,154,0.091,0.137,-0.072
1,155,0.126,0.181,-0.066
1,156,0.13,0.187,-0.065
1,157,0.123,0.178,-0.066
1,158,0.096,0.144,-0.072
1,159,0.093,0.14,-0.073
1,160,0.139,0.198,-0.064
1,161,0.15,0.211,-0.063
1,162,0.098,0.146,-0.073
1,163,0.099,0.148,-0.073
1,164,0.093,0.14,-0.074
1,165,0.091,0.137,-0.075
1,166,0.158,0.22,-0.063
1,167,0.144,0.204,-0.065
1,168,0.188,0.255,-0.059
1,169,0.186,0.253,-0.06
1,170,0.184,0.25,-0.06
1,171,0.208,0.279,-0.057
1,172,0.133,0.19,-0.069
1,173,0.207,0.277,-0.058
1,174,0.17,0.235,-0.063
1,175,0.125,0.18,-0.071
1,176,0.184,0.251,-0.062
1,177,0.167,0.231,-0.065
1,178,0.125,0.18,-0.072
1,179,0.212,0.283,-0.059
1,180,0.197,0.266,-0.061
1,181,0.159,0.221,-0.067
1,182,0.216,0.287,-0.059
1,183,0.188,0.256,-0.063
1,184,0.237,0.312,-0.057
1,185,0.253,0.328,-0.056
1,186,0.318,0.399,-0.049
1,187,0.234,0.308,-0.059
1,188,0.281,0.36,-0.053
1,189,0.339,0.421,-0.048
1,190,0.3,0.38,-0.052
1,191,0.245,0.32,-0.058
1,192,0.435,0.518,-0.039
1,193,0.406,0.489,-0.042
1,194,0.262,0.339,-0.057
1,195,0.24,0.315,-0.06
1,196,0.361,0.444,-0.047
1,197,0.349,0.431,-0.048
1,198,0.297,0.377,-0.054
1,199,0.353,0.435,-0.049
1,200,0.218,0.29,-0.065
1,201,0.463,0.546,-0.039
1,202,0.387,0.47,-0.046
1,203,0.417,0.5,-0.043
1,204,0.335,0.417,-0.052
1,205,0.347,0.429,-0.051
1,206,0.536,0.615,-0.033
1,207,0.445,0.528,-0.041
1,208,0.348,0.43,-0.051
1,209,0.36,0.443,-0.05
1,210,0.328,0.41,-0.053
1,211,0.395,0.478,-0.047
1,212,0.381,0.464,-0.048
1,213,0.375,0.458,-0.049
1,214,0.368,0.451,-0.05
1,215,0.28,0.358,-0.06
1,216,0.388,0.472,-0.048
1,217,0.416,0.499,-0.046
1,218,0.369,0.451,-0.051
1,219,0.317,0.398,-0.056
1,220,0.424,0.507,-0.045
1,221,0.36,0.443,-0.052
1,222,0.481,0.563,-0.04
1,223,0.398,0.481,-0.048
1,224,0.499,0.58,-0.039
1,39,0.006,0.013,-0.092
1,40,0.003,0.006,-0.101
1,41,0.003,0.007,-0.099
1,42,0.0,0.001,-0.118
1,43,0.004,0.01,-0.097
1,44,0.008,0.017,-0.089
1,45,0.007,0.015,-0.091
1,46,0.002,0.005,-0.104
1,47,0.002,0.005,-0.104
1,48,0.003,0.007,-0.101
1,49,0.001,0.004,-0.108
1,50,0.003,0.007,-0.1
1,51,0.004,0.01,-0.097
1,52,0.002,0.006,-0.103
1,53,0.002,0.006,-0.102
1,54,0.004,0.01,-0.096
1,55,0.003,0.008,-0.1
1,56,0.002,0.005,-0.105
1,57,0.002,0.006,-0.105
1,58,0.006,0.012,-0.095
1,59,0.001,0.002,-0.116
1,60,0.001,0.003,-0.111
1,61,0.001,0.003,-0.114
1,62,0.001,0.003,-0.115
1,63,0.001,0.002,-0.116
1,64,0.002,0.006,-0.105
1,65,0.001,0.004,-0.112
1,66,0.001,0.002,-0.119
1,67,0.0,0.0,-0.137
1,68,0.001,0.002,-0.121
1,69,0.001,0.003,-0.117
1,70,0.0,0.002,-0.123
1,71,0.001,0.003,-0.114
1,72,0.004,0.01,-0.101
1,73,0.001,0.004,-0.114
1,74,0.003,0.008,-0.105
1,75,0.001,0.004,-0.114
1,76,0.005,0.012,-0.1
1,77,0.019,0.036,-0.084
1,78,0.019,0.035,-0.085
