slice_num,coord_num,PValue,adjPVal,logFC
1,100,0.009,0.019,0.095
1,101,0.002,0.005,0.114
1,102,0.002,0.004,0.116
1,103,0.005,0.011,0.105
1,104,0.003,0.008,0.109
1,105,0.003,0.006,0.112
1,106,0.002,0.006,0.113
1,107,0.006,0.013,0.103
1,108,0.004,0.01,0.106
1,109,0.002,0.004,0.118
1,110,0.002,0.006,0.114
1,111,0.005,0.011,0.107
1,112,0.002,0.005,0.117
1,113,0.002,0.006,0.115
1,114,0.002,0.005,0.117
1,115,0.001,0.002,0.127
1,116,0.001,0.003,0.125
1,117,0.001,0.003,0.125
1,118,0.002,0.005,0.118
1,119,0.002,0.004,0.121
1,120,0.001,0.002,0.129
1,121,0.001,0.002,0.133
1,122,0.001,0.003,0.125
1,123,0.001,0.003,0.129
1,124,0.001,0.002,0.131
1,125,0.001,0.003,0.126
1,126,0.001,0.002,0.135
1,127,0.0,0.001,0.141
1,128,0.0,0.001,0.147
1,129,0.0,0.001,0.141
1,130,0.0,0.001,0.141
1,131,0.0,0.001,0.142
1,132,0.0,0.001,0.144
1,133,0.0,0.001,0.148
1,134,0.0,0.001,0.145
1,135,0.0,0.0,0.157
1,136,0.0,0.0,0.155
1,137,0.0,0.001,0.144
1,138,0.0,0.001,0.145
1,139,0.0,0.0,0.154
1,140,0.0,0.0,0.155
1,141,0.0,0.0,0.154
1,142,0.0,0.0,0.159
1,143,0.0,0.0,0.163
1,144,0.0,0.0,0.157
1,145,0.0,0.0,0.158
1,146,0.0,0.0,0.167
1,147,0.0,0.0,0.168
1,148,0.0,0.0,0.175
1,149,0.0,0.0,0.168
1,150,0.0,0.0,0.175
1,151,0.0,0.0,0.182
1,152,0.0,0.0,0.177
1,153,0.0,0.0,0.169
1,154,0.0,0.0,0.181
1,155,0.0,0.0,0.176
1,156,0.0,0.0,0.166
1,157,0.0,0.0,0.173
1,158,0.0,0.0,0.165
1,159,0.0,0.0,0.174
1,160,0.0,0.0,0.173
1,161,0.0,0.0,0.171
1,162,0.0,0.0,0.171
1,163,0.0,0.0,0.172
1,164,0.0,0.0,0.172
1,165,0.0,0.0,0.166
1,166,0.0,0.0,0.169
1,167,0.0,0.001,0.159
1,168,0.0,0.001,0.158
1,169,0.001,0.003,0.144
1,170,0.0,0.001,0.162
1,171,0.0,0.0,0.176
1,172,0.0,0.0,0.175
1,173,0.0,0.001,0.162
1,174,0.001,0.002,0.154
1,175,0.001,0.003,0.149
1,176,0.001,0.003,0.145
1,177,0.001,0.003,0.148
1,178,0.003,0.006,0.137
1,179,0.002,0.005,0.143
1,180,0.002,0.005,0.143
1,181,0.003,0.008,0.136
1,182,0.003,0.007,0.137
1,183,0.005,0.012,0.129
1,184,0.005,0.011,0.132
