slice_num,coord_num,PValue,adjPVal,logFC
1,100,0.326,0.407,0.035
1,101,0.319,0.4,0.036
1,102,0.265,0.342,0.04
1,103,0.354,0.437,0.034
1,104,0.348,0.43,0.034
1,105,0.248,0.323,0.042
1,106,0.177,0.243,0.049
1,107,0.298,0.377,0.038
1,108,0.28,0.358,0.04
1,109,0.215,0.287,0.046
1,110,0.221,0.294,0.045
1,111,0.206,0.276,0.047
1,112,0.175,0.241,0.05
1,113,0.237,0.311,0.044
1,114,0.235,0.309,0.045
1,115,0.123,0.178,0.058
1,116,0.123,0.178,0.058
1,117,0.178,0.244,0.051
1,118,0.258,0.334,0.043
1,119,0.227,0.3,0.046
1,120,0.158,0.22,0.054
1,121,0.116,0.17,0.06
1,122,0.165,0.229,0.053
1,123,0.108,0.159,0.062
1,124,0.069,0.109,0.07
1,125,0.089,0.135,0.065
1,126,0.081,0.124,0.067
1,127,0.075,0.116,0.069
1,128,0.13,0.187,0.059
1,129,0.103,0.153,0.063
1,130,0.119,0.172,0.06
1,131,0.105,0.155,0.063
1,132,0.112,0.164,0.061
1,133,0.101,0.15,0.064
1,134,0.117,0.171,0.061
1,135,0.153,0.214,0.056
1,136,0.145,0.205,0.057
1,137,0.116,0.169,0.062
1,138,0.082,0.125,0.069
1,139,0.078,0.12,0.069
1,140,0.082,0.125,0.069
1,141,0.074,0.115,0.071
1,142,0.07,0.11,0.072
1,143,0.056,0.091,0.076
1,144,0.044,0.074,0.08
1,145,0.096,0.143,0.067
1,146,0.058,0.094,0.076
1,147,0.045,0.076,0.08
1,148,0.051,0.084,0.078
1,149,0.06,0.097,0.076
1,150,0.025,0.045,0.09
1,151,0.016,0.031,0.097
1,152,0.036,0.062,0.085
1,153,0.035,0.06,0.086
1,154,0.024,0.044,0.092
1,155,0.052,0.085,0.079
1,156,0.041,0.07,0.084
1,157,0.042,0.071,0.083
1,158,0.074,0.115,0.074
1,159,0.071,0.111,0.075
1,160,0.065,0.103,0.076
1,161,0.061,0.098,0.078
1,162,0.064,0.102,0.077
1,163,0.064,0.101,0.078
1,164,0.076,0.118,0.075
1,165,0.082,0.126,0.073
1,166,0.09,0.137,0.072
1,167,0.174,0.239,0.058
1,168,0.137,0.195,0.063
1,169,0.165,0.229,0.06
1,170,0.142,0.201,0.063
1,171,0.088,0.134,0.074
