slice_num,coord_num,PValue,adjPVal,logFC
1,100,0.016,0.031,0.087
1,101,0.003,0.007,0.108
1,102,0.001,0.004,0.115
1,103,0.004,0.01,0.104
1,104,0.003,0.008,0.107
1,105,0.003,0.007,0.109
1,106,0.003,0.007,0.11
1,107,0.006,0.012,0.103
1,108,0.005,0.012,0.104
1,109,0.002,0.004,0.117
1,110,0.002,0.006,0.114
1,111,0.003,0.008,0.11
1,112,0.001,0.003,0.122
1,113,0.001,0.004,0.119
1,114,0.001,0.004,0.121
1,115,0.0,0.001,0.132
1,116,0.0,0.002,0.132
1,117,0.001,0.002,0.129
1,118,0.001,0.003,0.123
1,119,0.001,0.003,0.125
1,120,0.0,0.001,0.137
1,121,0.0,0.001,0.139
1,122,0.001,0.002,0.129
1,123,0.001,0.002,0.132
1,124,0.0,0.001,0.139
1,125,0.001,0.002,0.132
1,126,0.0,0.001,0.136
1,127,0.0,0.001,0.143
1,128,0.0,0.001,0.146
1,129,0.0,0.001,0.142
1,130,0.0,0.001,0.142
1,131,0.0,0.001,0.143
1,132,0.0,0.001,0.147
1,133,0.0,0.0,0.15
1,134,0.0,0.001,0.145
1,135,0.0,0.0,0.156
1,136,0.0,0.0,0.154
1,137,0.0,0.001,0.143
1,138,0.0,0.001,0.148
1,139,0.0,0.0,0.156
1,140,0.0,0.0,0.155
1,141,0.0,0.001,0.152
1,142,0.0,0.0,0.158
1,143,0.0,0.0,0.163
1,144,0.0,0.0,0.158
1,145,0.0,0.0,0.158
1,146,0.0,0.0,0.171
1,147,0.0,0.0,0.171
1,148,0.0,0.0,0.171
1,149,0.0,0.0,0.167
1,150,0.0,0.0,0.173
1,151,0.0,0.0,0.179
1,152,0.0,0.0,0.178
1,153,0.0,0.0,0.172
1,154,0.0,0.0,0.176
1,155,0.0,0.0,0.173
1,156,0.0,0.0,0.164
1,157,0.0,0.0,0.164
1,158,0.0,0.001,0.158
1,159,0.0,0.0,0.167
1,160,0.0,0.0,0.166
1,161,0.0,0.0,0.167
1,162,0.0,0.0,0.165
1,163,0.0,0.0,0.167
1,164,0.0,0.0,0.166
1,165,0.0,0.001,0.161
1,166,0.0,0.0,0.169
1,167,0.0,0.001,0.158
1,168,0.0,0.001,0.158
1,169,0.001,0.002,0.148
1,170,0.0,0.001,0.162
1,171,0.0,0.0,0.175
1,172,0.0,0.0,0.171
1,173,0.0,0.001,0.16
1,174,0.001,0.002,0.151
1,175,0.001,0.003,0.147
1,176,0.001,0.003,0.145
1,177,0.001,0.003,0.148
1,178,0.002,0.005,0.14
1,179,0.001,0.003,0.147
1,180,0.002,0.004,0.143
1,181,0.002,0.006,0.138
1,182,0.002,0.006,0.14
1,183,0.004,0.009,0.133
1,184,0.004,0.009,0.135
1,185,0.003,0.008,0.137
1,186,0.003,0.008,0.138
1,187,0.005,0.012,0.132
1,188,0.003,0.008,0.14
1,189,0.004,0.01,0.136
1,190,0.006,0.013,0.132
1,191,0.01,0.02,0.124
1,192,0.005,0.011,0.136
1,193,0.009,0.019,0.127
1,194,0.008,0.018,0.129
1,195,0.008,0.016,0.131
1,196,0.006,0.013,0.136
1,197,0.006,0.013,0.137
1,198,0.006,0.014,0.137
1,199,0.009,0.018,0.132
1,200,0.006,0.014,0.137
1,201,0.006,0.013,0.139
1,202,0.003,0.008,0.148
1,203,0.005,0.012,0.142
1,204,0.004,0.009,0.147
1,205,0.004,0.008,0.15
1,206,0.002,0.006,0.157
1,207,0.003,0.008,0.152
1,208,0.004,0.009,0.15
1,209,0.001,0.004,0.167
1,210,0.003,0.008,0.154
1,211,0.002,0.006,0.16
1,212,0.002,0.005,0.162
1,213,0.001,0.002,0.178
1,214,0.002,0.004,0.167
1,215,0.002,0.005,0.167
1,216,0.001,0.003,0.173
1,217,0.001,0.002,0.179
1,218,0.001,0.003,0.179
1,219,0.002,0.005,0.167
1,220,0.001,0.003,0.175
1,221,0.002,0.006,0.166
1,222,0.002,0.005,0.169
1,223,0.002,0.005,0.17
1,224,0.002,0.006,0.167
1,39,0.014,0.028,0.078
1,40,0.029,0.051,0.07
1,41,0.015,0.028,0.078
1,42,0.01,0.02,0.083
1,43,0.01,0.021,0.083
1,44,0.007,0.015,0.087
1,45,0.003,0.007,0.096
1,46,0.006,0.013,0.089
1,47,0.017,0.033,0.077
1,48,0.007,0.014,0.088
1,49,0.018,0.034,0.077
1,50,0.012,0.024,0.081
1,51,0.011,0.022,0.083
1,52,0.004,0.01,0.092
1,53,0.013,0.026,0.08
1,54,0.006,0.014,0.089
1,55,0.006,0.014,0.089
1,56,0.006,0.014,0.089
1,57,0.008,0.016,0.087
1,58,0.004,0.008,0.096
1,59,0.009,0.018,0.086
1,60,0.016,0.03,0.079
1,61,0.008,0.017,0.088
1,62,0.018,0.035,0.078
1,63,0.02,0.037,0.077
1,64,0.018,0.034,0.078
1,65,0.046,0.077,0.066
1,66,0.018,0.034,0.079
1,67,0.059,0.094,0.063
1,68,0.034,0.059,0.071
1,69,0.034,0.059,0.071
1,70,0.028,0.049,0.074
1,71,0.025,0.046,0.075
1,72,0.02,0.037,0.079
1,73,0.026,0.046,0.076
1,74,0.02,0.038,0.079
1,75,0.013,0.026,0.085
1,76,0.014,0.027,0.084
1,77,0.018,0.035,0.081
1,78,0.004,0.009,0.1
1,79,0.024,0.043,0.078
1,80,0.016,0.031,0.084
1,81,0.006,0.014,0.095
1,82,0.008,0.017,0.093
1,83,0.003,0.007,0.104
1,84,0.003,0.007,0.104
1,85,0.001,0.003,0.114
1,86,0.002,0.006,0.108
1,87,0.002,0.005,0.109
1,88,0.006,0.013,0.097
1,89,0.003,0.008,0.104
1,90,0.004,0.01,0.101
1,91,0.009,0.019,0.092
1,92,0.002,0.006,0.109
1,93,0.004,0.009,0.103
1,94,0.007,0.015,0.097
1,95,0.01,0.02,0.093
1,96,0.007,0.015,0.097
1,97,0.007,0.015,0.098
1,98,0.011,0.022,0.092
1,99,0.006,0.014,0.099
10,10,0.07,0.11,0.058
10,100,0.0,0.001,0.133
10,101,0.0,0.001,0.128
10,102,0.002,0.005,0.114
10,103,0.0,0.001,0.128
10,104,0.001,0.002,0.125
10,105,0.001,0.002,0.126
10,106,0.001,0.003,0.118
10,107,0.001,0.002,0.125
10,108,0.002,0.004,0.116
10,109,0.003,0.008,0.108
10,11,0.028,0.05,0.07
10,110,0.001,0.002,0.125
10,111,0.001,0.002,0.129
10,112,0.001,0.002,0.128
10,113,0.001,0.002,0.125
10,114,0.0,0.001,0.138
10,115,0.0,0.001,0.142
10,116,0.0,0.001,0.132
10,117,0.001,0.002,0.129
10,118,0.0,0.001,0.135
10,119,0.001,0.002,0.129
10,12,0.037,0.064,0.066
10,120,0.0,0.001,0.132
10,121,0.0,0.002,0.132
10,122,0.0,0.001,0.135
10,123,0.001,0.002,0.127
10,124,0.0,0.001,0.135
10,125,0.001,0.002,0.131
10,126,0.0,0.001,0.136
10,127,0.0,0.001,0.14
10,128,0.0,0.001,0.141
10,129,0.0,0.001,0.136
10,13,0.025,0.045,0.07
10,130,0.0,0.001,0.142
10,131,0.0,0.001,0.135
10,132,0.0,0.001,0.14
10,133,0.001,0.002,0.134
10,134,0.0,0.001,0.139
10,135,0.0,0.0,0.151
10,136,0.0,0.0,0.159
10,137,0.0,0.001,0.141
10,138,0.0,0.001,0.138
10,139,0.0,0.001,0.141
10,14,0.038,0.065,0.065
10,140,0.0,0.001,0.147
10,141,0.0,0.001,0.144
10,142,0.0,0.001,0.146
10,143,0.0,0.0,0.157
10,144,0.0,0.0,0.151
10,145,0.0,0.001,0.144
10,146,0.0,0.0,0.155
10,147,0.0,0.001,0.149
10,148,0.0,0.0,0.153
10,149,0.0,0.0,0.152
10,15,0.015,0.029,0.076
10,150,0.0,0.0,0.153
10,151,0.0,0.0,0.161
10,152,0.0,0.0,0.173
10,153,0.0,0.0,0.179
10,154,0.0,0.0,0.178
10,155,0.0,0.0,0.17
10,156,0.0,0.0,0.179
10,157,0.0,0.0,0.176
10,158,0.0,0.0,0.168
10,159,0.0,0.0,0.169
10,16,0.038,0.065,0.065
10,160,0.0,0.0,0.178
10,161,0.0,0.0,0.178
10,162,0.0,0.0,0.169
10,163,0.0,0.0,0.159
10,164,0.0,0.0,0.159
10,165,0.0,0.001,0.151
10,166,0.0,0.001,0.147
10,167,0.0,0.001,0.144
10,168,0.0,0.001,0.145
10,169,0.0,0.001,0.145
10,17,0.015,0.029,0.076
10,170,0.001,0.002,0.139
10,171,0.0,0.001,0.145
10,172,0.0,0.001,0.148
10,173,0.001,0.002,0.139
10,174,0.001,0.003,0.134
10,175,0.001,0.002,0.14
10,176,0.001,0.002,0.14
10,177,0.003,0.007,0.122
10,178,0.002,0.005,0.127
10,179,0.002,0.006,0.126
10,18,0.015,0.029,0.075
10,180,0.001,0.004,0.132
10,181,0.003,0.007,0.124
10,182,0.002,0.004,0.132
10,183,0.001,0.002,0.141
