slice_num,coord_num,PValue,adjPVal,logFC
1,100,0.714,0.774,0.013
1,101,0.482,0.564,0.026
1,102,0.652,0.72,0.017
1,103,0.702,0.763,0.014
1,104,0.702,0.763,0.014
1,105,0.809,0.853,0.009
1,106,0.882,0.91,0.006
1,107,0.74,0.795,0.012
1,108,0.569,0.645,0.021
1,109,0.509,0.589,0.025
1,110,0.647,0.715,0.017
1,111,0.623,0.695,0.019
1,112,0.552,0.63,0.022
1,113,0.669,0.734,0.016
1,114,0.689,0.752,0.015
1,115,0.705,0.766,0.014
1,116,0.77,0.82,0.011
1,117,0.52,0.6,0.025
1,118,0.539,0.618,0.024
1,119,0.641,0.711,0.018
1,120,0.722,0.781,0.014
1,121,0.656,0.724,0.017
1,122,0.833,0.872,0.008
1,123,0.904,0.928,0.005
1,124,0.967,0.976,-0.002
1,125,0.933,0.95,0.003
1,126,0.968,0.976,0.002
1,127,0.997,0.998,-0.0
1,128,0.856,0.89,0.007
1,129,0.968,0.976,0.002
1,130,0.942,0.957,0.003
1,131,0.866,0.898,0.007
1,132,0.83,0.87,0.008
1,133,0.765,0.816,0.012
1,134,0.711,0.771,0.015
1,135,0.714,0.774,0.014
1,136,0.776,0.825,0.011
1,137,0.895,0.921,0.005
1,138,0.981,0.986,0.001
1,139,0.85,0.885,0.008
1,140,0.809,0.852,0.01
1,141,0.65,0.718,0.018
1,142,0.718,0.777,0.015
1,143,0.583,0.658,0.022
1,144,0.762,0.814,0.012
1,145,0.531,0.611,0.025
1,146,0.643,0.712,0.019
1,147,0.83,0.869,0.009
1,148,0.576,0.652,0.023
1,149,0.662,0.729,0.018
1,150,0.85,0.885,0.008
1,151,0.875,0.905,0.006
1,152,0.71,0.77,0.015
1,153,0.743,0.798,0.014
1,154,0.841,0.878,0.008
1,155,0.72,0.779,0.015
1,156,0.688,0.751,0.017
1,157,0.695,0.758,0.016
1,158,0.559,0.636,0.024
1,159,0.554,0.632,0.025
1,160,0.747,0.801,0.014
1,161,0.687,0.751,0.017
1,162,0.655,0.722,0.019
1,163,0.633,0.703,0.02
1,164,0.611,0.683,0.022
1,165,0.659,0.726,0.019
1,166,0.65,0.718,0.019
1,167,0.539,0.618,0.026
1,168,0.671,0.736,0.018
1,169,0.643,0.712,0.02
1,170,0.61,0.683,0.022
1,171,0.677,0.741,0.018
1,172,0.643,0.712,0.021
1,173,0.622,0.694,0.022
1,174,0.631,0.702,0.021
1,175,0.816,0.858,0.01
1,176,0.645,0.714,0.021
1,177,0.505,0.585,0.03
1,178,0.475,0.557,0.033
1,179,0.565,0.642,0.026
1,180,0.587,0.662,0.025
1,181,0.583,0.659,0.025
1,182,0.732,0.789,0.016
1,183,0.631,0.701,0.022
1,184,0.64,0.709,0.022
1,185,0.653,0.721,0.021
1,186,0.598,0.672,0.025
1,187,0.506,0.587,0.032
1,188,0.405,0.488,0.04
1,189,0.438,0.521,0.037
1,190,0.476,0.558,0.034
1,191,0.439,0.522,0.038
1,192,0.53,0.61,0.031
1,193,0.408,0.491,0.041
1,194,0.399,0.482,0.042
1,195,0.307,0.387,0.051
1,196,0.468,0.551,0.036
1,197,0.534,0.613,0.031
1,198,0.239,0.314,0.059
1,199,0.328,0.409,0.049
1,200,0.325,0.406,0.05
1,201,0.294,0.373,0.053
1,202,0.37,0.453,0.046
1,203,0.323,0.404,0.051
1,204,0.191,0.259,0.068
1,205,0.302,0.382,0.054
1,206,0.455,0.538,0.039
1,207,0.308,0.388,0.053
1,208,0.311,0.392,0.053
1,209,0.349,0.432,0.049
1,210,0.273,0.351,0.058
1,211,0.254,0.33,0.06
1,212,0.43,0.514,0.042
1,213,0.274,0.352,0.058
1,214,0.225,0.297,0.065
1,215,0.315,0.396,0.054
1,216,0.363,0.445,0.049
1,217,0.383,0.466,0.047
1,218,0.363,0.446,0.049
1,219,0.451,0.534,0.041
1,220,0.462,0.544,0.04
1,221,0.308,0.389,0.056
1,222,0.52,0.6,0.035
1,223,0.304,0.384,0.057
1,224,0.334,0.415,0.054
1,39,0.443,0.526,0.025
1,40,0.165,0.229,0.045
1,41,0.482,0.564,0.023
1,42,0.257,0.333,0.037
1,43,0.281,0.36,0.035
1,44,0.37,0.452,0.029
1,45,0.448,0.531,0.025
1,46,0.338,0.42,0.031
1,47,0.221,0.294,0.04
1,48,0.329,0.41,0.032
1,49,0.337,0.419,0.031
1,50,0.441,0.524,0.025
1,51,0.423,0.506,0.026
1,52,0.554,0.632,0.019
1,53,0.446,0.529,0.025
1,54,0.433,0.516,0.026
1,55,0.514,0.594,0.021
1,56,0.537,0.616,0.02
1,57,0.336,0.418,0.032
1,58,0.552,0.63,0.02
1,59,0.569,0.646,0.019
1,60,0.253,0.329,0.038
1,61,0.359,0.442,0.031
1,62,0.435,0.518,0.026
1,63,0.236,0.31,0.039
1,64,0.328,0.409,0.033
1,65,0.301,0.381,0.035
1,66,0.402,0.485,0.028
1,67,0.35,0.432,0.032
1,68,0.278,0.356,0.037
1,69,0.353,0.435,0.032
1,70,0.479,0.561,0.024
1,71,0.456,0.539,0.025
1,72,0.702,0.764,0.013
1,73,0.389,0.473,0.029
1,74,0.33,0.412,0.033
1,75,0.44,0.523,0.027
1,76,0.407,0.49,0.029
1,77,0.317,0.398,0.035
1,78,0.717,0.776,0.013
1,79,0.353,0.435,0.032
1,80,0.276,0.354,0.038
1,81,0.662,0.728,0.015
1,82,0.734,0.791,0.012
1,83,0.483,0.565,0.025
1,84,0.638,0.707,0.017
1,85,0.837,0.875,0.007
1,86,0.698,0.76,0.014
1,87,0.792,0.839,0.009
1,88,0.775,0.825,0.01
1,89,0.687,0.75,0.014
1,90,0.511,0.592,0.023
1,91,0.507,0.588,0.024
1,92,0.63,0.7,0.017
1,93,0.611,0.683,0.018
1,94,0.456,0.539,0.027
1,95,0.383,0.466,0.032
1,96,0.583,0.658,0.02
1,97,0.554,0.632,0.022
1,98,0.474,0.556,0.026
1,99,0.622,0.694,0.018
10,10,0.363,0.446,0.029
10,100,0.827,0.867,0.008
10,101,0.632,0.702,0.018
10,102,0.535,0.614,0.023
10,103,0.734,0.791,0.012
10,104,0.703,0.764,0.014
10,105,0.718,0.777,0.013
10,106,0.5,0.581,0.025
10,107,0.42,0.503,0.03
10,108,0.683,0.747,0.015
10,109,0.793,0.84,0.01
10,11,0.415,0.498,0.026
10,110,0.73,0.787,0.013
10,111,0.485,0.567,0.026
10,112,0.747,0.801,0.012
10,113,0.521,0.601,0.024
10,114,0.898,0.923,0.005
10,115,0.897,0.922,-0.005
10,116,0.989,0.992,-0.001
10,117,0.938,0.954,0.003
10,118,0.858,0.891,0.007
10,119,0.975,0.981,0.001
10,12,0.238,0.312,0.038
10,120,0.744,0.799,-0.012
10,121,0.812,0.855,0.009
10,122,0.912,0.934,0.004
10,123,0.845,0.881,0.008
10,124,0.981,0.986,-0.001
10,125,0.712,0.772,-0.014
10,126,0.869,0.9,-0.006
10,127,0.863,0.895,-0.007
10,128,0.901,0.925,0.005
10,129,0.989,0.992,-0.001
10,13,0.18,0.246,0.042
10,130,0.827,0.867,0.008
10,131,0.933,0.95,0.003
10,132,0.975,0.982,-0.001
10,133,0.816,0.858,-0.009
10,134,0.943,0.957,0.003
10,135,0.905,0.928,0.005
10,136,0.839,0.877,-0.008
10,137,0.776,0.825,0.011
10,138,0.802,0.847,0.01
10,139,0.917,0.937,0.004
10,14,0.292,0.371,0.033
10,140,0.917,0.938,-0.004
10,141,0.846,0.882,-0.008
10,142,0.772,0.822,-0.012
10,143,0.857,0.891,-0.007
10,144,0.827,0.867,-0.009
10,145,0.824,0.865,-0.009
10,146,0.988,0.991,-0.001
10,147,0.866,0.898,-0.007
10,148,0.943,0.957,-0.003
10,149,0.902,0.926,-0.005
10,15,0.168,0.233,0.044
10,150,0.993,0.995,-0.0
10,151,0.9,0.925,-0.005
10,152,0.904,0.928,-0.005
10,153,0.704,0.765,-0.015
10,154,0.992,0.994,-0.0
10,155,0.995,0.996,0.0
10,156,0.834,0.873,0.008
10,157,0.929,0.947,-0.004
10,158,0.836,0.874,-0.008
10,159,0.809,0.852,-0.01
10,16,0.37,0.453,0.028
10,160,0.937,0.953,-0.003
10,161,0.972,0.98,0.001
10,162,0.76,0.812,0.012
10,163,0.916,0.937,0.004
10,164,0.911,0.933,0.005
10,165,0.685,0.749,0.016
10,166,0.723,0.781,0.014
10,167,0.588,0.662,0.022
10,168,0.555,0.633,0.024
10,169,0.874,0.904,0.006
10,17,0.303,0.383,0.032
10,170,0.831,0.87,0.009
10,171,0.812,0.854,0.01
10,172,0.618,0.69,0.02
10,173,0.625,0.696,0.02
10,174,0.633,0.703,0.02
10,175,0.658,0.725,0.018
10,176,0.869,0.9,0.007
10,177,0.743,0.798,0.014
10,178,0.866,0.898,0.007
10,179,0.706,0.767,0.016
10,18,0.088,0.133,0.053
10,180,0.68,0.744,0.017
10,181,0.458,0.54,0.031
10,182,0.504,0.585,0.028
10,183,0.75,0.804,0.013
