slice_num,coord_num,PValue,adjPVal,logFC
1,100,0.043,0.073,-0.074
1,101,0.068,0.107,-0.067
1,102,0.088,0.134,-0.063
1,103,0.096,0.143,-0.062
1,104,0.186,0.254,-0.049
1,105,0.131,0.188,-0.056
1,106,0.117,0.171,-0.058
1,107,0.067,0.106,-0.068
1,108,0.069,0.109,-0.068
1,109,0.066,0.104,-0.069
1,110,0.092,0.139,-0.063
1,111,0.058,0.093,-0.071
1,112,0.065,0.103,-0.07
1,113,0.094,0.142,-0.063
1,114,0.062,0.099,-0.071
1,115,0.087,0.132,-0.065
1,116,0.121,0.176,-0.059
1,117,0.085,0.13,-0.066
1,118,0.051,0.084,-0.075
1,119,0.063,0.101,-0.071
1,120,0.138,0.197,-0.057
1,121,0.134,0.192,-0.058
1,122,0.146,0.205,-0.056
1,123,0.092,0.139,-0.065
1,124,0.103,0.153,-0.063
1,125,0.068,0.107,-0.071
1,126,0.109,0.16,-0.063
1,127,0.143,0.202,-0.057
1,128,0.136,0.193,-0.058
1,129,0.129,0.185,-0.059
1,130,0.171,0.236,-0.054
1,131,0.138,0.196,-0.058
1,132,0.163,0.226,-0.055
1,133,0.127,0.183,-0.06
1,134,0.098,0.147,-0.065
1,135,0.196,0.265,-0.051
1,136,0.207,0.278,-0.05
1,137,0.144,0.204,-0.058
1,138,0.168,0.232,-0.055
1,139,0.162,0.225,-0.056
1,140,0.114,0.166,-0.063
1,141,0.093,0.14,-0.067
1,142,0.144,0.204,-0.059
1,143,0.138,0.196,-0.06
1,144,0.111,0.163,-0.064
1,145,0.102,0.152,-0.066
1,146,0.246,0.321,-0.047
1,147,0.282,0.361,-0.044
1,148,0.21,0.281,-0.051
1,149,0.229,0.303,-0.049
1,150,0.216,0.288,-0.05
1,151,0.243,0.318,-0.048
1,152,0.231,0.305,-0.049
1,153,0.196,0.265,-0.053
1,154,0.204,0.274,-0.052
1,155,0.251,0.327,-0.048
1,156,0.196,0.265,-0.054
1,157,0.277,0.355,-0.045
1,158,0.223,0.296,-0.051
1,159,0.2,0.269,-0.054
1,160,0.212,0.283,-0.052
1,161,0.193,0.262,-0.055
1,162,0.153,0.215,-0.06
1,163,0.196,0.265,-0.055
1,164,0.188,0.256,-0.056
1,165,0.205,0.275,-0.054
1,166,0.27,0.348,-0.047
1,167,0.203,0.273,-0.055
1,168,0.285,0.364,-0.046
1,169,0.22,0.292,-0.053
1,170,0.235,0.309,-0.052
1,171,0.285,0.363,-0.047
1,172,0.174,0.239,-0.06
1,173,0.194,0.262,-0.058
1,174,0.13,0.187,-0.067
1,175,0.127,0.182,-0.068
1,176,0.142,0.201,-0.066
1,177,0.115,0.168,-0.071
1,178,0.079,0.122,-0.08
1,179,0.137,0.195,-0.068
1,180,0.096,0.144,-0.076
