slice_num,coord_num,PValue,adjPVal,logFC
1,100,0.318,0.399,-0.037
1,101,0.506,0.586,-0.025
1,102,0.565,0.642,-0.021
1,103,0.496,0.577,-0.026
1,104,0.661,0.727,-0.017
1,105,0.613,0.686,-0.019
1,106,0.739,0.795,-0.013
1,107,0.495,0.577,-0.026
1,108,0.546,0.624,-0.023
1,109,0.687,0.751,-0.015
1,110,0.803,0.847,-0.01
1,111,0.803,0.847,-0.01
1,112,0.9,0.925,-0.005
1,113,0.857,0.891,-0.007
1,114,0.706,0.767,-0.015
1,115,0.945,0.959,-0.003
1,116,0.988,0.991,0.001
1,117,0.985,0.989,0.001
1,118,0.781,0.829,-0.011
1,119,0.88,0.909,-0.006
1,120,0.789,0.836,0.011
1,121,0.686,0.75,0.016
1,122,0.842,0.879,0.008
1,123,0.942,0.957,0.003
1,124,0.906,0.929,0.005
1,125,0.874,0.904,-0.006
1,126,0.962,0.972,-0.002
1,127,0.89,0.917,0.005
1,128,0.967,0.976,-0.002
1,129,0.98,0.985,-0.001
1,130,0.958,0.969,0.002
1,131,0.964,0.973,0.002
1,132,0.857,0.891,0.007
1,133,0.954,0.966,0.002
1,134,0.969,0.977,-0.002
1,135,0.851,0.886,0.008
1,136,0.94,0.955,0.003
1,137,0.999,0.999,0.0
1,138,0.872,0.903,0.007
1,139,0.786,0.833,0.011
1,140,0.947,0.96,0.003
1,141,0.902,0.926,0.005
1,142,0.831,0.87,0.009
1,143,0.658,0.725,0.018
1,144,0.741,0.796,0.014
1,145,0.857,0.891,0.007
1,146,0.503,0.584,0.028
1,147,0.51,0.59,0.027
1,148,0.571,0.647,0.023
1,149,0.652,0.72,0.019
1,150,0.593,0.667,0.022
1,151,0.545,0.624,0.025
1,152,0.669,0.735,0.018
1,153,0.691,0.754,0.017
1,154,0.716,0.775,0.015
1,155,0.755,0.808,0.013
1,156,0.785,0.833,0.012
1,157,0.719,0.778,0.015
1,158,0.78,0.829,0.012
1,159,0.79,0.837,0.011
1,160,0.833,0.872,0.009
1,161,0.738,0.794,0.014
1,162,0.861,0.894,0.008
1,163,0.761,0.813,0.013
1,164,0.825,0.865,0.01
1,165,0.823,0.864,0.01
1,166,0.63,0.7,0.021
1,167,0.794,0.84,0.011
1,168,0.735,0.791,0.015
1,169,0.853,0.888,0.008
1,170,0.756,0.809,0.014
1,171,0.6,0.673,0.023
1,172,0.849,0.885,0.009
1,173,0.795,0.841,0.012
1,174,0.847,0.883,0.009
1,175,0.965,0.974,-0.002
1,176,0.983,0.988,0.001
1,177,0.918,0.939,-0.005
1,178,0.828,0.868,-0.01
1,179,0.976,0.982,-0.001
1,180,0.961,0.971,-0.002
1,181,0.785,0.833,-0.013
1,182,0.948,0.961,-0.003
1,183,0.767,0.818,-0.014
1,184,0.86,0.893,-0.008
1,185,0.94,0.955,-0.004
1,186,0.978,0.984,0.001
1,187,0.93,0.947,-0.004
1,188,0.891,0.918,0.007
1,189,0.974,0.981,-0.002
1,190,0.895,0.92,-0.006
1,191,0.765,0.816,-0.015
1,192,0.913,0.934,0.005
1,193,0.982,0.987,-0.001
1,194,0.917,0.938,-0.005
1,195,0.863,0.896,-0.009
1,196,0.925,0.944,-0.005
1,197,0.994,0.995,-0.0
1,198,0.94,0.955,-0.004
1,199,0.976,0.982,-0.002
1,200,0.871,0.902,-0.008
1,201,0.872,0.903,0.008
1,202,0.883,0.911,0.008
1,203,0.99,0.993,0.001
1,204,0.925,0.944,0.005
1,205,0.988,0.991,-0.001
1,206,0.814,0.856,0.012
1,207,0.877,0.906,0.008
1,208,0.943,0.958,-0.004
1,209,0.863,0.896,0.009
1,210,0.998,0.998,0.0
1,211,0.915,0.936,0.006
1,212,0.918,0.938,0.006
1,213,0.761,0.813,0.016
1,214,0.857,0.891,0.01
1,215,0.922,0.941,0.005
1,216,0.706,0.766,0.021
1,217,0.635,0.705,0.026
1,218,0.745,0.8,0.018
1,219,0.906,0.929,0.007
1,220,0.678,0.743,0.023
1,221,0.774,0.823,0.016
1,222,0.598,0.672,0.029
1,223,0.596,0.67,0.03
1,224,0.577,0.653,0.032
1,39,0.193,0.261,-0.043
1,40,0.13,0.187,-0.05
1,41,0.216,0.288,-0.041
1,42,0.112,0.165,-0.052
1,43,0.246,0.321,-0.038
1,44,0.356,0.439,-0.03
1,45,0.38,0.463,-0.029
1,46,0.253,0.329,-0.038
1,47,0.198,0.268,-0.043
1,48,0.297,0.376,-0.035
1,49,0.125,0.18,-0.051
1,50,0.241,0.316,-0.039
1,51,0.314,0.394,-0.034
1,52,0.28,0.358,-0.036
1,53,0.159,0.221,-0.047
1,54,0.328,0.409,-0.033
1,55,0.285,0.364,-0.036
1,56,0.26,0.337,-0.038
1,57,0.257,0.334,-0.038
1,58,0.358,0.44,-0.031
1,59,0.172,0.237,-0.046
1,60,0.142,0.202,-0.049
1,61,0.164,0.228,-0.047
1,62,0.136,0.194,-0.051
1,63,0.105,0.155,-0.055
1,64,0.202,0.271,-0.043
1,65,0.103,0.153,-0.056
1,66,0.09,0.136,-0.058
1,67,0.02,0.037,-0.08
1,68,0.055,0.089,-0.066
1,69,0.086,0.131,-0.059
1,70,0.068,0.107,-0.063
1,71,0.109,0.161,-0.055
1,72,0.152,0.214,-0.05
1,73,0.088,0.134,-0.059
1,74,0.116,0.17,-0.055
1,75,0.147,0.207,-0.051
1,76,0.144,0.203,-0.051
1,77,0.321,0.402,-0.035
1,78,0.534,0.614,-0.022
1,79,0.206,0.276,-0.045
1,80,0.336,0.418,-0.034
1,81,0.507,0.588,-0.024
1,82,0.374,0.456,-0.032
1,83,0.4,0.483,-0.03
1,84,0.405,0.488,-0.03
1,85,0.701,0.762,-0.014
1,86,0.588,0.663,-0.02
1,87,0.447,0.53,-0.028
1,88,0.299,0.379,-0.038
1,89,0.445,0.528,-0.028
1,90,0.339,0.421,-0.035
1,91,0.319,0.4,-0.036
1,92,0.519,0.599,-0.024
1,93,0.331,0.413,-0.036
1,94,0.46,0.543,-0.027
1,95,0.383,0.466,-0.032
1,96,0.266,0.343,-0.041
