slice_num,coord_num,PValue,adjPVal,logFC
1,100,0.767,0.818,-0.011
1,101,0.912,0.934,0.004
1,102,0.816,0.858,0.009
1,103,0.947,0.961,0.002
1,104,0.768,0.819,0.011
1,105,0.804,0.848,0.009
1,106,0.683,0.747,0.015
1,107,0.926,0.944,0.004
1,108,0.879,0.909,0.006
1,109,0.699,0.761,0.015
1,110,0.63,0.7,0.018
1,111,0.637,0.707,0.018
1,112,0.506,0.587,0.025
1,113,0.547,0.625,0.023
1,114,0.657,0.725,0.017
1,115,0.45,0.533,0.029
1,116,0.408,0.491,0.032
1,117,0.418,0.501,0.031
1,118,0.597,0.671,0.02
1,119,0.508,0.588,0.026
1,120,0.269,0.347,0.043
1,121,0.226,0.299,0.047
1,122,0.323,0.404,0.038
1,123,0.381,0.464,0.034
1,124,0.349,0.431,0.037
1,125,0.506,0.587,0.026
1,126,0.433,0.516,0.031
1,127,0.326,0.408,0.039
1,128,0.407,0.49,0.033
1,129,0.409,0.492,0.033
1,130,0.368,0.45,0.036
1,131,0.363,0.445,0.036
1,132,0.298,0.377,0.041
1,133,0.346,0.428,0.037
1,134,0.41,0.494,0.033
1,135,0.277,0.355,0.043
1,136,0.33,0.411,0.039
1,137,0.39,0.473,0.034
1,138,0.309,0.39,0.041
1,139,0.246,0.321,0.047
1,140,0.33,0.411,0.039
1,141,0.314,0.394,0.041
1,142,0.269,0.346,0.045
1,143,0.191,0.259,0.053
1,144,0.23,0.303,0.049
1,145,0.282,0.361,0.044
1,146,0.121,0.175,0.063
1,147,0.134,0.191,0.062
1,148,0.146,0.206,0.06
1,149,0.187,0.254,0.054
1,150,0.159,0.222,0.058
1,151,0.139,0.198,0.061
1,152,0.18,0.246,0.055
1,153,0.201,0.27,0.053
1,154,0.214,0.286,0.052
1,155,0.232,0.306,0.05
1,156,0.25,0.326,0.048
1,157,0.225,0.298,0.051
1,158,0.258,0.335,0.048
1,159,0.249,0.324,0.049
1,160,0.278,0.356,0.046
1,161,0.228,0.301,0.051
1,162,0.292,0.371,0.045
1,163,0.242,0.317,0.05
1,164,0.28,0.358,0.046
1,165,0.29,0.369,0.046
1,166,0.179,0.245,0.058
1,167,0.277,0.355,0.047
1,168,0.255,0.332,0.05
1,169,0.33,0.412,0.043
1,170,0.257,0.334,0.05
1,171,0.173,0.238,0.06
1,172,0.298,0.377,0.046
1,173,0.288,0.366,0.048
1,174,0.323,0.404,0.044
1,175,0.454,0.536,0.034
1,176,0.405,0.488,0.038
1,177,0.46,0.542,0.034
1,178,0.536,0.615,0.028
1,179,0.429,0.513,0.036
1,180,0.446,0.529,0.035
1,181,0.576,0.652,0.026
1,182,0.443,0.526,0.036
1,183,0.604,0.677,0.024
1,184,0.526,0.606,0.03
1,185,0.461,0.544,0.035
1,186,0.4,0.483,0.04
1,187,0.482,0.564,0.034
1,188,0.358,0.441,0.044
1,189,0.451,0.534,0.036
1,190,0.519,0.599,0.031
1,191,0.629,0.699,0.024
1,192,0.381,0.464,0.043
1,193,0.459,0.542,0.037
1,194,0.509,0.589,0.033
1,195,0.54,0.619,0.031
1,196,0.501,0.582,0.034
1,197,0.436,0.519,0.039
1,198,0.47,0.553,0.037
1,199,0.459,0.541,0.038
1,200,0.523,0.602,0.033
1,201,0.354,0.436,0.048
1,202,0.345,0.427,0.049
1,203,0.418,0.501,0.042
1,204,0.362,0.444,0.047
1,205,0.432,0.515,0.041
1,206,0.307,0.387,0.053
1,207,0.354,0.436,0.049
1,208,0.474,0.556,0.038
1,209,0.324,0.406,0.052
1,210,0.432,0.515,0.042
1,211,0.377,0.46,0.047
1,212,0.368,0.451,0.048
1,213,0.264,0.341,0.06
1,214,0.333,0.415,0.052
1,215,0.385,0.468,0.047
1,216,0.265,0.342,0.061
1,217,0.223,0.296,0.066
1,218,0.281,0.359,0.059
1,219,0.397,0.48,0.046
1,220,0.267,0.345,0.061
1,221,0.326,0.407,0.054
1,222,0.236,0.31,0.066
1,223,0.232,0.306,0.066
1,224,0.235,0.309,0.066
1,39,0.581,0.657,-0.018
1,40,0.464,0.547,-0.024
1,41,0.608,0.681,-0.017
1,42,0.421,0.504,-0.026
1,43,0.677,0.742,-0.014
1,44,0.854,0.889,-0.006
1,45,0.937,0.953,-0.003
1,46,0.717,0.776,-0.012
1,47,0.58,0.655,-0.018
1,48,0.764,0.815,-0.01
1,49,0.43,0.513,-0.026
1,50,0.654,0.722,-0.015
1,51,0.776,0.825,-0.009
1,52,0.741,0.796,-0.011
1,53,0.512,0.593,-0.022
1,54,0.775,0.825,-0.009
1,55,0.758,0.811,-0.01
1,56,0.721,0.78,-0.012
1,57,0.707,0.768,-0.013
1,58,0.877,0.906,-0.005
1,59,0.555,0.633,-0.02
1,60,0.49,0.571,-0.023
1,61,0.556,0.633,-0.02
1,62,0.464,0.547,-0.025
1,63,0.396,0.48,-0.028
1,64,0.608,0.681,-0.017
1,65,0.355,0.438,-0.031
1,66,0.342,0.424,-0.032
1,67,0.116,0.169,-0.053
1,68,0.241,0.315,-0.04
1,69,0.325,0.406,-0.034
1,70,0.273,0.35,-0.038
1,71,0.357,0.44,-0.032
1,72,0.445,0.528,-0.026
1,73,0.315,0.396,-0.035
1,74,0.392,0.476,-0.03
1,75,0.463,0.545,-0.026
1,76,0.453,0.535,-0.026
1,77,0.728,0.786,-0.012
1,78,0.97,0.978,0.001
1,79,0.533,0.613,-0.022
1,80,0.774,0.823,-0.01
1,81,0.995,0.997,0.0
1,82,0.839,0.877,-0.007
1,83,0.897,0.922,-0.005
1,84,0.937,0.953,-0.003
1,85,0.717,0.776,0.013
1,86,0.851,0.886,0.007
1,87,0.985,0.989,-0.001
1,88,0.769,0.819,-0.011
1,89,0.98,0.985,-0.001
1,90,0.838,0.876,-0.007
1,91,0.789,0.836,-0.01
1,92,0.907,0.93,0.004
1,93,0.85,0.885,-0.007
1,94,0.993,0.995,-0.0
1,95,0.882,0.91,-0.005
1,96,0.707,0.767,-0.014
1,97,0.945,0.959,-0.003
1,98,0.877,0.907,-0.006
1,99,0.91,0.932,0.004
10,10,0.376,0.459,-0.029
10,100,0.33,0.411,0.036
10,101,0.425,0.508,0.029
10,102,0.733,0.79,0.013
10,103,0.501,0.582,0.025
10,104,0.457,0.54,0.028
10,105,0.68,0.744,0.015
10,106,0.667,0.733,0.016
10,107,0.41,0.493,0.031
10,108,0.573,0.649,0.021
10,109,0.717,0.776,0.014
10,11,0.437,0.52,-0.025
10,110,0.546,0.624,0.023
10,111,0.599,0.672,0.02
10,112,0.55,0.628,0.023
10,113,0.559,0.636,0.022
10,114,0.438,0.521,0.029
10,115,0.276,0.354,0.041
10,116,0.377,0.46,0.034
10,117,0.632,0.702,0.018
10,118,0.464,0.546,0.028
10,119,0.575,0.651,0.021
10,12,0.392,0.475,-0.028
10,120,0.41,0.493,0.032
10,121,0.547,0.625,0.023
10,122,0.523,0.603,0.025
10,123,0.659,0.726,0.017
10,124,0.62,0.692,0.019
10,125,0.664,0.73,0.017
10,126,0.461,0.543,0.029
10,127,0.421,0.504,0.031
10,128,0.521,0.601,0.025
10,129,0.53,0.61,0.024
10,13,0.486,0.567,-0.022
10,130,0.421,0.504,0.031
10,131,0.519,0.599,0.025
10,132,0.521,0.601,0.025
