slice_num,coord_num,PValue,adjPVal,logFC
1,100,0.019,0.035,0.086
1,101,0.006,0.014,0.1
1,102,0.002,0.006,0.112
1,103,0.008,0.017,0.098
1,104,0.005,0.012,0.103
1,105,0.005,0.01,0.105
1,106,0.012,0.024,0.093
1,107,0.004,0.009,0.108
1,108,0.005,0.012,0.104
1,109,0.002,0.005,0.116
1,110,0.01,0.021,0.096
1,111,0.014,0.027,0.093
1,112,0.004,0.009,0.109
1,113,0.005,0.012,0.106
1,114,0.002,0.005,0.119
1,115,0.002,0.005,0.117
1,116,0.002,0.006,0.116
1,117,0.002,0.005,0.118
1,118,0.003,0.007,0.115
1,119,0.001,0.003,0.125
1,120,0.001,0.002,0.132
1,121,0.002,0.004,0.122
1,122,0.005,0.01,0.109
1,123,0.006,0.013,0.107
1,124,0.002,0.005,0.12
1,125,0.002,0.005,0.12
1,126,0.002,0.005,0.121
1,127,0.001,0.003,0.126
1,128,0.001,0.002,0.134
1,129,0.001,0.002,0.133
1,130,0.001,0.002,0.132
1,131,0.001,0.002,0.132
1,132,0.001,0.003,0.128
1,133,0.001,0.002,0.136
1,134,0.001,0.002,0.132
1,135,0.0,0.001,0.143
1,136,0.0,0.001,0.149
1,137,0.0,0.001,0.14
1,138,0.001,0.002,0.134
1,139,0.0,0.001,0.14
1,140,0.0,0.001,0.143
1,141,0.0,0.001,0.141
1,142,0.0,0.001,0.145
1,143,0.0,0.001,0.141
1,144,0.001,0.002,0.138
1,145,0.0,0.001,0.144
1,146,0.0,0.001,0.144
1,147,0.001,0.003,0.133
1,148,0.0,0.001,0.144
1,149,0.001,0.002,0.14
1,150,0.001,0.003,0.133
1,151,0.001,0.002,0.138
1,152,0.0,0.001,0.156
1,153,0.0,0.001,0.154
1,154,0.0,0.001,0.145
1,155,0.0,0.001,0.153
1,156,0.0,0.001,0.152
1,157,0.0,0.001,0.149
1,158,0.0,0.001,0.153
1,159,0.0,0.0,0.166
1,160,0.0,0.0,0.162
1,161,0.0,0.0,0.164
1,162,0.0,0.0,0.162
1,163,0.0,0.001,0.159
1,164,0.0,0.0,0.167
1,165,0.0,0.001,0.15
1,166,0.0,0.001,0.158
1,167,0.001,0.002,0.148
1,168,0.001,0.002,0.145
1,169,0.001,0.002,0.146
1,170,0.001,0.002,0.149
1,171,0.0,0.001,0.159
1,172,0.0,0.001,0.165
1,173,0.0,0.001,0.158
1,174,0.001,0.002,0.148
1,175,0.001,0.003,0.145
1,176,0.001,0.002,0.153
1,177,0.0,0.001,0.162
1,178,0.0,0.001,0.166
1,179,0.0,0.001,0.161
1,180,0.001,0.002,0.158
1,181,0.001,0.002,0.159
1,182,0.0,0.001,0.163
1,183,0.0,0.001,0.169
1,184,0.0,0.001,0.168
1,185,0.001,0.002,0.162
1,186,0.0,0.001,0.172
1,187,0.001,0.002,0.163
1,188,0.0,0.001,0.167
1,189,0.0,0.001,0.169
1,190,0.001,0.002,0.164
1,191,0.001,0.003,0.157
1,192,0.001,0.003,0.157
1,193,0.001,0.002,0.164
1,194,0.001,0.003,0.163
1,195,0.001,0.002,0.171
1,196,0.001,0.002,0.17
1,197,0.001,0.002,0.173
1,198,0.0,0.001,0.181
1,199,0.0,0.001,0.18
1,200,0.0,0.001,0.191
1,201,0.0,0.001,0.185
1,202,0.0,0.001,0.191
1,203,0.0,0.0,0.196
1,204,0.0,0.0,0.211
1,205,0.0,0.0,0.203
1,206,0.0,0.001,0.197
1,207,0.0,0.001,0.194
1,208,0.0,0.0,0.201
1,209,0.0,0.0,0.215
1,210,0.0,0.0,0.208
1,211,0.0,0.0,0.211
1,212,0.0,0.0,0.219
1,213,0.0,0.0,0.226
1,214,0.0,0.0,0.228
