slice_num,coord_num,PValue,adjPVal,logFC
1,100,0.098,0.146,-0.062
1,101,0.161,0.224,-0.053
1,102,0.178,0.244,-0.051
1,103,0.164,0.228,-0.053
1,104,0.254,0.33,-0.043
1,105,0.221,0.293,-0.047
1,106,0.297,0.376,-0.04
1,107,0.156,0.218,-0.054
1,108,0.186,0.254,-0.051
1,109,0.248,0.324,-0.044
1,110,0.342,0.424,-0.037
1,111,0.348,0.431,-0.036
1,112,0.377,0.46,-0.034
1,113,0.353,0.435,-0.036
1,114,0.246,0.321,-0.045
1,115,0.388,0.472,-0.034
1,116,0.441,0.524,-0.03
1,117,0.455,0.538,-0.029
1,118,0.291,0.37,-0.042
1,119,0.35,0.433,-0.037
1,120,0.584,0.659,-0.022
1,121,0.701,0.763,-0.015
1,122,0.571,0.647,-0.022
1,123,0.48,0.562,-0.028
1,124,0.498,0.579,-0.027
1,125,0.341,0.423,-0.038
1,126,0.397,0.48,-0.034
1,127,0.498,0.58,-0.027
1,128,0.378,0.461,-0.035
1,129,0.396,0.479,-0.034
1,130,0.441,0.524,-0.031
1,131,0.427,0.51,-0.032
1,132,0.51,0.591,-0.026
1,133,0.423,0.506,-0.032
1,134,0.383,0.466,-0.035
1,135,0.493,0.574,-0.028
1,136,0.425,0.509,-0.032
1,137,0.406,0.489,-0.034
1,138,0.502,0.583,-0.028
1,139,0.553,0.631,-0.024
1,140,0.416,0.499,-0.033
1,141,0.461,0.544,-0.03
1,142,0.512,0.592,-0.027
1,143,0.689,0.752,-0.017
1,144,0.605,0.678,-0.021
1,145,0.49,0.572,-0.029
1,146,0.842,0.879,-0.008
1,147,0.867,0.899,-0.007
1,148,0.762,0.814,-0.013
1,149,0.689,0.752,-0.017
1,150,0.749,0.803,-0.013
1,151,0.8,0.845,-0.011
1,152,0.643,0.712,-0.019
1,153,0.643,0.712,-0.02
1,154,0.621,0.692,-0.021
1,155,0.583,0.658,-0.023
1,156,0.56,0.637,-0.025
1,157,0.635,0.705,-0.02
1,158,0.582,0.657,-0.024
1,159,0.549,0.627,-0.026
1,160,0.52,0.6,-0.028
1,161,0.605,0.678,-0.022
1,162,0.496,0.577,-0.03
1,163,0.59,0.665,-0.023
1,164,0.538,0.617,-0.027
1,165,0.557,0.634,-0.026
1,166,0.716,0.775,-0.016
1,167,0.588,0.662,-0.024
1,168,0.659,0.727,-0.02
1,169,0.563,0.64,-0.026
