slice_num,coord_num,PValue,adjPVal,logFC
1,100,0.875,0.905,-0.006
1,101,0.968,0.976,0.001
1,102,0.773,0.823,0.011
1,103,0.977,0.983,-0.001
1,104,0.773,0.823,0.011
1,105,0.701,0.762,0.014
1,106,0.996,0.997,-0.0
1,107,0.848,0.884,0.007
1,108,0.807,0.851,0.009
1,109,0.564,0.641,0.022
1,110,0.837,0.875,0.008
1,111,0.856,0.89,0.007
1,112,0.602,0.676,0.02
1,113,0.747,0.801,0.012
1,114,0.613,0.685,0.019
1,115,0.575,0.651,0.021
1,116,0.606,0.679,0.02
1,117,0.494,0.575,0.026
1,118,0.708,0.768,0.014
1,119,0.456,0.539,0.029
1,120,0.368,0.451,0.035
1,121,0.426,0.509,0.031
1,122,0.746,0.801,0.013
1,123,0.874,0.904,0.006
1,124,0.659,0.726,0.017
1,125,0.694,0.756,0.015
1,126,0.58,0.656,0.022
1,127,0.44,0.523,0.03
1,128,0.518,0.598,0.025
1,129,0.445,0.528,0.03
1,130,0.444,0.527,0.03
1,131,0.505,0.585,0.026
1,132,0.556,0.633,0.023
1,133,0.536,0.615,0.024
1,134,0.539,0.617,0.024
1,135,0.366,0.449,0.036
1,136,0.318,0.398,0.04
1,137,0.373,0.456,0.035
1,138,0.486,0.567,0.028
1,139,0.446,0.529,0.03
1,140,0.512,0.592,0.026
1,141,0.468,0.55,0.029
1,142,0.401,0.484,0.034
1,143,0.31,0.39,0.041
1,144,0.454,0.537,0.03
1,145,0.441,0.524,0.031
1,146,0.399,0.482,0.034
1,147,0.475,0.557,0.029
1,148,0.372,0.455,0.036
1,149,0.402,0.486,0.034
1,150,0.536,0.615,0.025
1,151,0.477,0.559,0.029
1,152,0.274,0.352,0.045
1,153,0.286,0.365,0.044
1,154,0.489,0.571,0.029
1,155,0.356,0.438,0.038
1,156,0.36,0.442,0.038
1,157,0.349,0.431,0.039
1,158,0.298,0.378,0.043
1,159,0.21,0.28,0.053
1,160,0.243,0.318,0.049
1,161,0.206,0.276,0.053
1,162,0.267,0.345,0.047
1,163,0.257,0.334,0.048
1,164,0.174,0.239,0.058
1,165,0.307,0.387,0.044
1,166,0.251,0.327,0.049
1,167,0.354,0.436,0.04
1,168,0.344,0.426,0.041
1,169,0.304,0.384,0.045
1,170,0.345,0.427,0.041
1,171,0.221,0.293,0.054
1,172,0.234,0.308,0.053
1,173,0.246,0.322,0.052
1,174,0.384,0.467,0.039
1,175,0.471,0.553,0.032
1,176,0.37,0.453,0.04
1,177,0.352,0.435,0.042
1,178,0.313,0.393,0.046
1,179,0.34,0.422,0.044
1,180,0.384,0.467,0.04
1,181,0.497,0.578,0.031
1,182,0.376,0.459,0.041
1,183,0.342,0.424,0.044
1,184,0.335,0.417,0.045
1,185,0.44,0.523,0.036
1,186,0.288,0.367,0.05
1,187,0.359,0.442,0.044
1,188,0.244,0.319,0.056
1,189,0.292,0.371,0.051
1,190,0.395,0.478,0.041
1,191,0.541,0.619,0.03
1,192,0.444,0.527,0.037
1,193,0.373,0.456,0.044
1,194,0.446,0.529,0.038
1,195,0.42,0.503,0.04
1,196,0.389,0.472,0.043
1,197,0.387,0.471,0.043
1,198,0.313,0.393,0.051
1,199,0.292,0.371,0.053
1,200,0.252,0.328,0.058
1,201,0.231,0.305,0.061
1,202,0.248,0.323,0.059
1,203,0.195,0.264,0.066
1,204,0.103,0.152,0.084
1,205,0.183,0.249,0.069
1,206,0.188,0.255,0.068
1,207,0.167,0.231,0.072
1,208,0.183,0.249,0.07
1,209,0.113,0.165,0.083
1,210,0.125,0.18,0.081
1,211,0.117,0.171,0.083
1,212,0.105,0.155,0.086
1,213,0.075,0.116,0.095
1,214,0.059,0.094,0.101
1,215,0.092,0.139,0.091
1,216,0.072,0.113,0.097
1,217,0.065,0.102,0.1
1,218,0.05,0.082,0.106
1,219,0.08,0.123,0.095
1,220,0.049,0.081,0.108
1,221,0.057,0.092,0.105
1,222,0.089,0.135,0.094
1,223,0.043,0.072,0.112
1,224,0.039,0.066,0.115
1,39,0.959,0.97,0.002
1,40,0.954,0.966,-0.002
1,41,0.809,0.853,-0.008
1,42,0.928,0.946,-0.003
1,43,0.985,0.989,0.001
