slice_num,coord_num,PValue,adjPVal,logFC
1,100,0.056,0.09,-0.072
1,101,0.083,0.127,-0.065
1,102,0.089,0.135,-0.064
1,103,0.092,0.139,-0.064
1,104,0.15,0.21,-0.055
1,105,0.115,0.168,-0.06
1,106,0.175,0.24,-0.052
1,107,0.078,0.12,-0.067
1,108,0.096,0.144,-0.064
1,109,0.129,0.185,-0.058
1,110,0.194,0.263,-0.05
1,111,0.193,0.261,-0.05
1,112,0.207,0.277,-0.049
1,113,0.197,0.266,-0.05
1,114,0.129,0.185,-0.059
1,115,0.219,0.291,-0.048
1,116,0.252,0.327,-0.045
1,117,0.262,0.339,-0.044
1,118,0.149,0.21,-0.057
1,119,0.185,0.253,-0.052
1,120,0.357,0.44,-0.036
1,121,0.44,0.523,-0.031
1,122,0.37,0.453,-0.035
1,123,0.301,0.381,-0.041
1,124,0.314,0.395,-0.04
1,125,0.189,0.256,-0.052
1,126,0.217,0.289,-0.049
1,127,0.289,0.368,-0.042
1,128,0.203,0.273,-0.051
1,129,0.213,0.284,-0.05
1,130,0.255,0.331,-0.046
1,131,0.24,0.314,-0.047
1,132,0.307,0.387,-0.041
1,133,0.228,0.301,-0.049
1,134,0.199,0.268,-0.052
1,135,0.271,0.349,-0.045
1,136,0.215,0.287,-0.05
1,137,0.21,0.281,-0.051
1,138,0.28,0.359,-0.044
1,139,0.309,0.389,-0.042
1,140,0.214,0.286,-0.051
1,141,0.245,0.321,-0.048
1,142,0.28,0.358,-0.044
1,143,0.395,0.478,-0.035
1,144,0.341,0.423,-0.039
1,145,0.239,0.314,-0.049
1,146,0.52,0.6,-0.027
1,147,0.551,0.629,-0.025
1,148,0.454,0.537,-0.031
1,149,0.385,0.468,-0.036
1,150,0.448,0.53,-0.032
1,151,0.486,0.568,-0.029
1,152,0.337,0.419,-0.04
1,153,0.335,0.417,-0.041
1,154,0.349,0.432,-0.04
1,155,0.307,0.387,-0.043
1,156,0.289,0.368,-0.045
1,157,0.348,0.43,-0.04
1,158,0.317,0.398,-0.043
1,159,0.277,0.355,-0.047
1,160,0.256,0.332,-0.049
1,161,0.307,0.387,-0.044
1,162,0.244,0.319,-0.05
1,163,0.296,0.376,-0.045
1,164,0.268,0.345,-0.048
1,165,0.29,0.37,-0.046
1,166,0.388,0.471,-0.038
1,167,0.298,0.378,-0.046
1,168,0.367,0.449,-0.04
1,169,0.297,0.377,-0.046
1,170,0.34,0.422,-0.043
1,171,0.406,0.489,-0.037
1,172,0.247,0.323,-0.052
1,173,0.301,0.38,-0.047
1,174,0.275,0.352,-0.05
1,175,0.2,0.27,-0.059
1,176,0.207,0.277,-0.058
1,177,0.157,0.22,-0.065
1,178,0.117,0.17,-0.073
1,179,0.181,0.247,-0.063
1,180,0.171,0.235,-0.064
1,181,0.113,0.165,-0.075
1,182,0.172,0.237,-0.065
1,183,0.114,0.166,-0.075
1,184,0.144,0.203,-0.07
1,185,0.171,0.235,-0.066
1,186,0.201,0.27,-0.062
1,187,0.173,0.238,-0.066
1,188,0.251,0.327,-0.056
1,189,0.189,0.256,-0.065
1,190,0.172,0.236,-0.068
1,191,0.131,0.188,-0.075
1,192,0.276,0.354,-0.054
1,193,0.222,0.294,-0.061
1,194,0.197,0.266,-0.065
1,195,0.165,0.229,-0.07
1,196,0.2,0.269,-0.065
1,197,0.219,0.291,-0.063
1,198,0.183,0.25,-0.069
1,199,0.215,0.286,-0.064
1,200,0.164,0.227,-0.072
1,201,0.293,0.373,-0.055
1,202,0.28,0.358,-0.057
1,203,0.227,0.3,-0.063
1,204,0.235,0.308,-0.063
1,205,0.222,0.294,-0.065
1,206,0.332,0.414,-0.052
1,207,0.305,0.385,-0.055
1,208,0.204,0.274,-0.068
1,209,0.291,0.37,-0.057
1,210,0.239,0.314,-0.063
1,211,0.297,0.376,-0.056
1,212,0.287,0.366,-0.058
1,213,0.363,0.445,-0.05
1,214,0.306,0.386,-0.056
1,215,0.299,0.378,-0.057
1,216,0.459,0.541,-0.041
1,217,0.515,0.596,-0.036
1,218,0.413,0.496,-0.046
1,219,0.353,0.436,-0.052
1,220,0.532,0.611,-0.035
1,221,0.456,0.538,-0.042
1,222,0.665,0.731,-0.024
1,223,0.645,0.714,-0.026
1,224,0.701,0.763,-0.022
1,39,0.022,0.041,-0.076
1,40,0.011,0.022,-0.084
1,41,0.028,0.051,-0.072
1,42,0.009,0.019,-0.086
1,43,0.033,0.058,-0.071
1,44,0.061,0.097,-0.062
1,45,0.052,0.086,-0.064
1,46,0.032,0.056,-0.071
1,47,0.023,0.042,-0.076
1,48,0.042,0.07,-0.068
1,49,0.012,0.025,-0.084
1,50,0.033,0.057,-0.071
1,51,0.052,0.086,-0.065
1,52,0.042,0.071,-0.068
1,53,0.021,0.038,-0.077
1,54,0.061,0.098,-0.063
1,55,0.04,0.069,-0.069
1,56,0.034,0.059,-0.071
1,57,0.033,0.057,-0.072
1,58,0.057,0.093,-0.064
1,59,0.02,0.037,-0.079
1,60,0.013,0.025,-0.085
1,61,0.015,0.029,-0.083
1,62,0.016,0.03,-0.083
1,63,0.009,0.018,-0.09
1,64,0.022,0.04,-0.079
1,65,0.012,0.024,-0.087
1,66,0.007,0.016,-0.092
1,67,0.001,0.003,-0.113
1,68,0.004,0.01,-0.099
1,69,0.008,0.017,-0.092
1,70,0.007,0.014,-0.094
1,71,0.013,0.026,-0.086
1,72,0.022,0.041,-0.08
1,73,0.009,0.02,-0.091
1,74,0.011,0.023,-0.089
1,75,0.016,0.032,-0.085
1,76,0.015,0.029,-0.086
1,77,0.057,0.092,-0.068
1,78,0.139,0.198,-0.053
1,79,0.038,0.064,-0.074
1,80,0.06,0.096,-0.067
1,81,0.116,0.17,-0.056
1,82,0.069,0.108,-0.065
1,83,0.07,0.11,-0.065
1,84,0.066,0.105,-0.066
1,85,0.173,0.238,-0.049
1,86,0.135,0.193,-0.054
1,87,0.075,0.116,-0.065
1,88,0.041,0.069,-0.075
1,89,0.076,0.117,-0.065
1,90,0.044,0.073,-0.074
1,91,0.046,0.077,-0.073
1,92,0.091,0.138,-0.062
1,93,0.043,0.072,-0.075
1,94,0.074,0.114,-0.066
1,95,0.062,0.099,-0.069
1,96,0.036,0.063,-0.078
1,97,0.077,0.118,-0.066
1,98,0.078,0.12,-0.066
1,99,0.122,0.177,-0.058
10,10,0.014,0.027,-0.081
10,100,0.469,0.551,-0.027
10,101,0.376,0.459,-0.033
10,102,0.193,0.262,-0.049
10,103,0.289,0.368,-0.04
10,104,0.364,0.447,-0.034
10,105,0.187,0.254,-0.05
10,106,0.205,0.276,-0.048
10,107,0.372,0.455,-0.034
