slice_num,coord_num,PValue,adjPVal,logFC
1,100,0.057,0.092,-0.071
1,101,0.088,0.134,-0.064
1,102,0.105,0.156,-0.061
1,103,0.101,0.151,-0.062
1,104,0.165,0.229,-0.053
1,105,0.134,0.191,-0.057
1,106,0.187,0.254,-0.05
1,107,0.095,0.142,-0.064
1,108,0.107,0.157,-0.062
1,109,0.145,0.205,-0.056
1,110,0.222,0.294,-0.047
1,111,0.226,0.299,-0.047
1,112,0.236,0.31,-0.046
1,113,0.226,0.299,-0.047
1,114,0.147,0.207,-0.056
1,115,0.251,0.327,-0.045
1,116,0.297,0.376,-0.041
1,117,0.303,0.383,-0.04
1,118,0.18,0.246,-0.053
1,119,0.222,0.294,-0.048
1,120,0.41,0.494,-0.033
1,121,0.508,0.588,-0.026
1,122,0.4,0.484,-0.033
1,123,0.318,0.399,-0.04
1,124,0.326,0.407,-0.039
1,125,0.219,0.291,-0.049
1,126,0.26,0.336,-0.045
1,127,0.326,0.407,-0.039
1,128,0.227,0.3,-0.049
1,129,0.249,0.324,-0.046
1,130,0.283,0.361,-0.043
1,131,0.271,0.348,-0.044
1,132,0.336,0.418,-0.039
1,133,0.254,0.33,-0.046
1,134,0.223,0.296,-0.049
1,135,0.3,0.38,-0.042
1,136,0.247,0.322,-0.047
1,137,0.245,0.32,-0.047
1,138,0.321,0.402,-0.041
1,139,0.359,0.442,-0.038
1,140,0.253,0.328,-0.047
1,141,0.278,0.356,-0.045
1,142,0.317,0.398,-0.041
1,143,0.451,0.534,-0.031
1,144,0.392,0.475,-0.035
1,145,0.294,0.373,-0.044
1,146,0.572,0.648,-0.024
1,147,0.594,0.668,-0.022
1,148,0.516,0.596,-0.027
1,149,0.467,0.549,-0.03
1,150,0.498,0.579,-0.028
1,151,0.527,0.607,-0.027
1,152,0.409,0.493,-0.035
1,153,0.412,0.495,-0.035
1,154,0.371,0.454,-0.038
1,155,0.35,0.433,-0.04
1,156,0.348,0.43,-0.04
1,157,0.403,0.487,-0.036
1,158,0.379,0.462,-0.038
1,159,0.351,0.433,-0.04
1,160,0.332,0.414,-0.042
1,161,0.394,0.477,-0.037
1,162,0.306,0.386,-0.044
1,163,0.387,0.47,-0.038
1,164,0.352,0.434,-0.041
1,165,0.387,0.47,-0.038
1,166,0.503,0.584,-0.03
1,167,0.384,0.467,-0.039
1,168,0.453,0.536,-0.033
1,169,0.382,0.465,-0.039
1,170,0.425,0.508,-0.036
1,171,0.526,0.606,-0.029
1,172,0.321,0.402,-0.045
1,173,0.382,0.465,-0.04
1,174,0.365,0.448,-0.041
1,175,0.275,0.353,-0.05
1,176,0.299,0.379,-0.048
1,177,0.224,0.297,-0.056
1,178,0.181,0.248,-0.062
1,179,0.255,0.331,-0.053
1,180,0.261,0.338,-0.053
1,181,0.171,0.236,-0.065
1,182,0.256,0.332,-0.054
1,183,0.168,0.232,-0.066
1,184,0.212,0.284,-0.06
1,185,0.252,0.327,-0.055
1,186,0.292,0.371,-0.051
1,187,0.253,0.328,-0.056
1,188,0.357,0.44,-0.045
1,189,0.27,0.348,-0.054
1,190,0.234,0.308,-0.059
1,191,0.176,0.242,-0.067
1,192,0.352,0.434,-0.047
1,193,0.28,0.358,-0.054
1,194,0.236,0.31,-0.06
1,195,0.196,0.265,-0.066
1,196,0.228,0.301,-0.061
1,197,0.264,0.341,-0.057
1,198,0.233,0.307,-0.061
1,199,0.271,0.348,-0.057
1,200,0.199,0.268,-0.067
1,201,0.352,0.434,-0.049
1,202,0.335,0.417,-0.051
1,203,0.274,0.352,-0.058
1,204,0.306,0.386,-0.054
1,205,0.256,0.332,-0.061
1,206,0.381,0.464,-0.047
1,207,0.35,0.432,-0.05
1,208,0.249,0.325,-0.062
1,209,0.334,0.415,-0.052
1,210,0.273,0.35,-0.059
1,211,0.317,0.398,-0.054
1,212,0.309,0.389,-0.055
1,213,0.384,0.467,-0.048
1,214,0.339,0.421,-0.052
1,215,0.318,0.399,-0.055
1,216,0.486,0.568,-0.039
1,217,0.529,0.609,-0.035
1,218,0.439,0.522,-0.043
1,219,0.345,0.427,-0.053
1,220,0.533,0.612,-0.035
1,221,0.465,0.548,-0.041
1,222,0.65,0.718,-0.026
1,223,0.656,0.724,-0.025
1,224,0.714,0.774,-0.021
1,39,0.029,0.051,-0.072
1,40,0.017,0.032,-0.079
1,41,0.036,0.062,-0.07
1,42,0.011,0.022,-0.084
1,43,0.04,0.068,-0.069
1,44,0.073,0.113,-0.06
1,45,0.069,0.109,-0.06
1,46,0.036,0.062,-0.07
1,47,0.031,0.054,-0.072
1,48,0.051,0.084,-0.065
1,49,0.016,0.031,-0.081
1,50,0.041,0.069,-0.068
1,51,0.065,0.102,-0.062
1,52,0.048,0.079,-0.066
1,53,0.02,0.038,-0.078
1,54,0.069,0.109,-0.061
1,55,0.048,0.079,-0.067
1,56,0.038,0.065,-0.07
1,57,0.04,0.068,-0.07
1,58,0.064,0.102,-0.063
1,59,0.022,0.04,-0.078
1,60,0.017,0.032,-0.081
1,61,0.018,0.035,-0.081
1,62,0.016,0.031,-0.083
1,63,0.011,0.022,-0.087
1,64,0.031,0.055,-0.074
1,65,0.014,0.028,-0.084
1,66,0.008,0.018,-0.091
1,67,0.001,0.003,-0.112
1,68,0.005,0.011,-0.098
1,69,0.009,0.019,-0.091
1,70,0.007,0.015,-0.095
1,71,0.014,0.028,-0.086
1,72,0.024,0.044,-0.079
1,73,0.01,0.021,-0.09
1,74,0.012,0.024,-0.088
1,75,0.019,0.035,-0.083
1,76,0.017,0.033,-0.085
1,77,0.067,0.106,-0.065
1,78,0.14,0.198,-0.053
1,79,0.037,0.063,-0.075
1,80,0.068,0.107,-0.065
1,81,0.117,0.171,-0.056
1,82,0.072,0.113,-0.065
1,83,0.069,0.109,-0.066
1,84,0.068,0.107,-0.066
1,85,0.165,0.229,-0.05
1,86,0.122,0.176,-0.057
1,87,0.079,0.122,-0.064
1,88,0.048,0.079,-0.073
1,89,0.08,0.123,-0.064
1,90,0.048,0.079,-0.073
1,91,0.051,0.083,-0.072
1,92,0.097,0.145,-0.062
1,93,0.049,0.081,-0.073
1,94,0.095,0.143,-0.062
1,95,0.068,0.107,-0.068
1,96,0.037,0.063,-0.078
1,97,0.082,0.126,-0.065
1,98,0.083,0.127,-0.065
1,99,0.134,0.191,-0.056
10,10,0.013,0.026,-0.082
10,100,0.417,0.5,-0.03
10,101,0.336,0.417,-0.036
10,102,0.186,0.254,-0.05
10,103,0.261,0.337,-0.042
10,104,0.331,0.413,-0.037
10,105,0.156,0.218,-0.054
10,106,0.182,0.249,-0.051
10,107,0.351,0.433,-0.036
10,108,0.26,0.336,-0.043
10,109,0.201,0.27,-0.049
10,11,0.014,0.027,-0.081
10,110,0.237,0.311,-0.045
10,111,0.193,0.262,-0.05
10,112,0.242,0.316,-0.045
10,113,0.248,0.324,-0.045
10,114,0.335,0.416,-0.037
10,115,0.524,0.604,-0.025
10,116,0.411,0.495,-0.032
10,117,0.216,0.288,-0.048
10,118,0.298,0.378,-0.041
10,119,0.222,0.295,-0.048
10,12,0.011,0.022,-0.083
10,120,0.363,0.446,-0.036
10,121,0.218,0.29,-0.048
10,122,0.206,0.276,-0.05
10,123,0.168,0.233,-0.054
10,124,0.178,0.244,-0.053
10,125,0.16,0.223,-0.055
10,126,0.258,0.334,-0.045
10,127,0.278,0.357,-0.043
10,128,0.173,0.238,-0.054
10,129,0.208,0.279,-0.05
10,13,0.015,0.03,-0.078
10,130,0.248,0.323,-0.046
10,131,0.203,0.273,-0.051
10,132,0.213,0.284,-0.05
10,133,0.15,0.211,-0.058
10,134,0.163,0.226,-0.056
10,135,0.202,0.272,-0.051
10,136,0.261,0.338,-0.045
10,137,0.188,0.255,-0.053
10,138,0.204,0.274,-0.051
10,139,0.157,0.219,-0.057
10,14,0.008,0.016,-0.086
10,140,0.146,0.206,-0.059
10,141,0.268,0.345,-0.045
10,142,0.282,0.36,-0.044
10,143,0.341,0.423,-0.039
10,144,0.234,0.308,-0.048
10,145,0.199,0.269,-0.052
10,146,0.334,0.415,-0.039
10,147,0.221,0.293,-0.05
10,148,0.241,0.316,-0.048
10,149,0.219,0.291,-0.05
10,15,0.033,0.058,-0.069
10,150,0.254,0.33,-0.047
10,151,0.258,0.334,-0.047
10,152,0.32,0.401,-0.041
10,153,0.328,0.409,-0.04
10,154,0.439,0.522,-0.032
10,155,0.466,0.549,-0.03
10,156,0.478,0.56,-0.029
10,157,0.54,0.619,-0.025
10,158,0.522,0.602,-0.026
10,159,0.558,0.635,-0.024
10,16,0.009,0.018,-0.084
10,160,0.653,0.721,-0.019
10,161,0.841,0.878,-0.008
10,162,0.581,0.657,-0.023
10,163,0.463,0.545,-0.03
10,164,0.583,0.659,-0.023
10,165,0.43,0.513,-0.033
10,166,0.509,0.589,-0.027
10,167,0.684,0.747,-0.017
10,168,0.469,0.551,-0.03
10,169,0.485,0.567,-0.029
10,17,0.033,0.058,-0.069
10,170,0.542,0.621,-0.025
10,171,0.707,0.768,-0.016
10,172,0.686,0.749,-0.017
10,173,0.603,0.676,-0.022
10,174,0.512,0.592,-0.028
10,175,0.501,0.582,-0.028
10,176,0.581,0.656,-0.023
10,177,0.423,0.506,-0.034
10,178,0.45,0.533,-0.032
10,179,0.419,0.502,-0.034
10,18,0.024,0.044,-0.072
10,180,0.465,0.547,-0.031
10,181,0.449,0.532,-0.033
10,182,0.585,0.66,-0.024
10,183,0.481,0.563,-0.031
10,184,0.529,0.608,-0.027
10,185,0.45,0.533,-0.033
10,186,0.393,0.476,-0.038
10,187,0.389,0.472,-0.038
10,188,0.412,0.495,-0.036
10,189,0.307,0.387,-0.046
10,19,0.048,0.079,-0.064
10,190,0.238,0.312,-0.053
10,191,0.302,0.382,-0.046
10,192,0.334,0.416,-0.044
10,193,0.341,0.423,-0.043
10,194,0.323,0.404,-0.045
10,195,0.493,0.574,-0.032
10,196,0.38,0.463,-0.041
10,197,0.357,0.439,-0.043
10,198,0.222,0.294,-0.058
10,199,0.337,0.419,-0.045
10,20,0.009,0.019,-0.084
10,200,0.371,0.454,-0.043
10,201,0.264,0.341,-0.054
10,202,0.327,0.408,-0.048
10,203,0.454,0.537,-0.037
10,204,0.484,0.566,-0.034
10,205,0.51,0.591,-0.033
