slice_num,coord_num,PValue,adjPVal,logFC
1,100,0.034,0.059,-0.079
1,101,0.046,0.076,-0.075
1,102,0.043,0.073,-0.076
1,103,0.051,0.083,-0.074
1,104,0.075,0.116,-0.067
1,105,0.061,0.097,-0.071
1,106,0.117,0.17,-0.06
1,107,0.041,0.07,-0.078
1,108,0.054,0.088,-0.074
1,109,0.067,0.105,-0.07
1,110,0.138,0.196,-0.057
1,111,0.155,0.217,-0.055
1,112,0.132,0.189,-0.058
1,113,0.122,0.176,-0.06
1,114,0.065,0.103,-0.072
1,115,0.124,0.18,-0.06
1,116,0.151,0.211,-0.056
1,117,0.15,0.211,-0.056
1,118,0.083,0.128,-0.068
1,119,0.091,0.138,-0.066
1,120,0.188,0.256,-0.052
1,121,0.259,0.335,-0.045
1,122,0.226,0.299,-0.048
1,123,0.193,0.262,-0.052
1,124,0.176,0.242,-0.054
1,125,0.112,0.164,-0.063
1,126,0.118,0.172,-0.062
1,127,0.144,0.203,-0.058
1,128,0.097,0.145,-0.067
1,129,0.099,0.148,-0.066
1,130,0.108,0.159,-0.065
1,131,0.105,0.156,-0.065
1,132,0.142,0.201,-0.059
1,133,0.099,0.147,-0.067
1,134,0.091,0.137,-0.068
1,135,0.105,0.156,-0.066
1,136,0.079,0.122,-0.071
1,137,0.086,0.131,-0.07
1,138,0.131,0.187,-0.062
1,139,0.148,0.209,-0.059
1,140,0.098,0.146,-0.068
1,141,0.124,0.179,-0.063
1,142,0.126,0.181,-0.063
1,143,0.2,0.269,-0.053
1,144,0.179,0.245,-0.055
1,145,0.116,0.169,-0.065
1,146,0.276,0.354,-0.045
1,147,0.338,0.42,-0.04
1,148,0.245,0.32,-0.048
1,149,0.205,0.276,-0.053
1,150,0.252,0.328,-0.048
1,151,0.278,0.357,-0.045
1,152,0.161,0.224,-0.059
1,153,0.178,0.243,-0.057
1,154,0.197,0.266,-0.054
1,155,0.154,0.216,-0.06
1,156,0.144,0.203,-0.062
1,157,0.184,0.251,-0.057
1,158,0.157,0.219,-0.06
1,159,0.128,0.184,-0.065
1,160,0.121,0.176,-0.067
1,161,0.148,0.209,-0.062
1,162,0.113,0.165,-0.069
1,163,0.16,0.223,-0.061
1,164,0.119,0.173,-0.068
1,165,0.147,0.207,-0.064
1,166,0.194,0.263,-0.057
1,167,0.158,0.22,-0.062
1,168,0.196,0.265,-0.057
1,169,0.15,0.211,-0.064
1,170,0.17,0.234,-0.061
1,171,0.216,0.287,-0.056
1,172,0.115,0.168,-0.071
1,173,0.151,0.212,-0.065
1,174,0.159,0.221,-0.064
1,175,0.115,0.168,-0.072
1,176,0.102,0.152,-0.075
1,177,0.069,0.109,-0.084
1,178,0.049,0.081,-0.092
1,179,0.078,0.121,-0.082
1,180,0.088,0.133,-0.08
1,181,0.052,0.086,-0.091
1,182,0.078,0.12,-0.083
1,183,0.043,0.073,-0.096
1,184,0.057,0.092,-0.091
1,185,0.075,0.117,-0.086
1,186,0.081,0.125,-0.084
1,187,0.074,0.116,-0.087
1,188,0.108,0.16,-0.079
1,189,0.078,0.12,-0.087
1,190,0.074,0.114,-0.088
1,191,0.056,0.091,-0.095
1,192,0.129,0.185,-0.076
1,193,0.088,0.134,-0.086
1,194,0.082,0.126,-0.088
1,195,0.063,0.101,-0.094
1,196,0.075,0.117,-0.09
1,197,0.086,0.131,-0.088
1,198,0.067,0.106,-0.094
1,199,0.086,0.131,-0.089
1,200,0.054,0.088,-0.1
1,201,0.109,0.16,-0.083
1,202,0.107,0.158,-0.084
1,203,0.07,0.11,-0.095
1,204,0.068,0.107,-0.096
1,205,0.067,0.106,-0.097
1,206,0.122,0.176,-0.082
1,207,0.105,0.156,-0.087
1,208,0.057,0.091,-0.102
1,209,0.085,0.13,-0.092
1,210,0.067,0.106,-0.099
1,211,0.085,0.129,-0.093
1,212,0.074,0.115,-0.097
1,213,0.098,0.146,-0.09
1,214,0.075,0.116,-0.097
1,215,0.077,0.12,-0.097
1,216,0.149,0.21,-0.08
1,217,0.174,0.239,-0.075
1,218,0.116,0.169,-0.087
1,219,0.096,0.144,-0.093
1,220,0.177,0.242,-0.076
1,221,0.148,0.209,-0.081
1,222,0.274,0.352,-0.062
1,223,0.246,0.321,-0.066
1,224,0.276,0.354,-0.062
1,39,0.012,0.025,-0.083
1,40,0.007,0.016,-0.089
1,41,0.02,0.038,-0.077
1,42,0.006,0.014,-0.09
1,43,0.021,0.039,-0.077
1,44,0.032,0.057,-0.071
1,45,0.032,0.056,-0.071
1,46,0.021,0.039,-0.077
1,47,0.016,0.032,-0.08
1,48,0.032,0.055,-0.072
1,49,0.009,0.02,-0.087
1,50,0.024,0.043,-0.075
1,51,0.039,0.066,-0.069
1,52,0.029,0.052,-0.073
1,53,0.016,0.032,-0.08
1,54,0.045,0.076,-0.067
1,55,0.022,0.04,-0.077
1,56,0.022,0.041,-0.077
1,57,0.021,0.038,-0.078
1,58,0.036,0.062,-0.071
1,59,0.012,0.024,-0.085
1,60,0.006,0.014,-0.093
1,61,0.009,0.019,-0.089
1,62,0.011,0.022,-0.087
1,63,0.003,0.008,-0.1
1,64,0.011,0.023,-0.087
1,65,0.006,0.014,-0.094
1,66,0.004,0.01,-0.098
1,67,0.001,0.002,-0.117
1,68,0.002,0.006,-0.104
1,69,0.005,0.01,-0.098
1,70,0.004,0.009,-0.1
1,71,0.009,0.019,-0.091
1,72,0.016,0.031,-0.084
1,73,0.005,0.012,-0.097
1,74,0.006,0.013,-0.096
1,75,0.009,0.02,-0.092
1,76,0.006,0.013,-0.098
1,77,0.039,0.066,-0.073
1,78,0.084,0.128,-0.062
1,79,0.023,0.042,-0.081
1,80,0.036,0.062,-0.075
1,81,0.072,0.113,-0.065
1,82,0.036,0.061,-0.076
1,83,0.035,0.061,-0.076
1,84,0.037,0.064,-0.075
1,85,0.098,0.146,-0.06
1,86,0.082,0.126,-0.063
1,87,0.048,0.079,-0.072
1,88,0.025,0.045,-0.082
1,89,0.045,0.075,-0.073
1,90,0.027,0.049,-0.081
1,91,0.034,0.059,-0.078
1,92,0.058,0.093,-0.07
1,93,0.026,0.046,-0.083
1,94,0.046,0.077,-0.074
1,95,0.04,0.068,-0.076
1,96,0.021,0.039,-0.086
1,97,0.044,0.074,-0.075
1,98,0.054,0.088,-0.072
1,99,0.073,0.113,-0.067
10,10,0.015,0.029,-0.08
10,100,0.417,0.501,-0.03
10,101,0.316,0.397,-0.038
10,102,0.178,0.244,-0.051
10,103,0.253,0.329,-0.043
10,104,0.326,0.408,-0.037
10,105,0.163,0.226,-0.053
10,106,0.17,0.234,-0.052
10,107,0.294,0.373,-0.04
10,108,0.243,0.318,-0.044
10,109,0.152,0.213,-0.055
10,11,0.013,0.026,-0.082
10,110,0.194,0.263,-0.05
10,111,0.138,0.196,-0.057
10,112,0.19,0.258,-0.05
10,113,0.171,0.236,-0.053
10,114,0.258,0.334,-0.044
10,115,0.454,0.537,-0.029
10,116,0.347,0.429,-0.036
10,117,0.182,0.248,-0.052
10,118,0.236,0.31,-0.046
10,119,0.162,0.225,-0.054
10,12,0.009,0.019,-0.085
10,120,0.313,0.394,-0.039
10,121,0.146,0.206,-0.057
10,122,0.141,0.2,-0.058
10,123,0.131,0.187,-0.059
10,124,0.134,0.191,-0.059
10,125,0.13,0.187,-0.06
10,126,0.202,0.272,-0.05
10,127,0.23,0.304,-0.047
10,128,0.12,0.174,-0.062
10,129,0.157,0.219,-0.056
10,13,0.01,0.02,-0.083
10,130,0.174,0.239,-0.054
10,131,0.151,0.211,-0.057
10,132,0.157,0.219,-0.056
10,133,0.12,0.174,-0.062
10,134,0.116,0.169,-0.063
10,135,0.136,0.194,-0.06
10,136,0.183,0.25,-0.053
10,137,0.135,0.192,-0.06
10,138,0.153,0.214,-0.057
10,139,0.128,0.183,-0.061
10,14,0.009,0.019,-0.084
10,140,0.099,0.147,-0.067
10,141,0.162,0.225,-0.057
10,142,0.154,0.215,-0.058
10,143,0.197,0.266,-0.052
10,144,0.136,0.193,-0.061
10,145,0.121,0.175,-0.063
10,146,0.175,0.241,-0.055
10,147,0.13,0.186,-0.062
10,148,0.135,0.193,-0.061
10,149,0.105,0.155,-0.066
10,15,0.027,0.049,-0.071
10,150,0.117,0.17,-0.064
10,151,0.127,0.183,-0.063
10,152,0.146,0.206,-0.06
10,153,0.174,0.24,-0.056
10,154,0.252,0.327,-0.047
10,155,0.284,0.363,-0.044
10,156,0.275,0.353,-0.045
10,157,0.309,0.389,-0.042
10,158,0.303,0.383,-0.042
10,159,0.33,0.411,-0.04
10,16,0.009,0.02,-0.083
10,160,0.348,0.43,-0.039
10,161,0.497,0.578,-0.028
10,162,0.301,0.381,-0.043
10,163,0.242,0.317,-0.048
10,164,0.306,0.386,-0.042
10,165,0.208,0.278,-0.052
10,166,0.303,0.383,-0.043
10,167,0.46,0.542,-0.031
10,168,0.249,0.324,-0.048
10,169,0.298,0.378,-0.043
