slice_num,coord_num,PValue,adjPVal,logFC
1,100,0.475,0.557,-0.026
1,101,0.294,0.373,-0.038
1,102,0.158,0.22,-0.051
1,103,0.269,0.346,-0.04
1,104,0.18,0.246,-0.049
1,105,0.183,0.25,-0.049
1,106,0.322,0.403,-0.036
1,107,0.175,0.24,-0.05
1,108,0.228,0.301,-0.045
1,109,0.141,0.2,-0.055
1,110,0.256,0.333,-0.042
1,111,0.306,0.386,-0.038
1,112,0.171,0.236,-0.051
1,113,0.189,0.257,-0.049
1,114,0.124,0.179,-0.058
1,115,0.098,0.146,-0.062
1,116,0.098,0.146,-0.063
1,117,0.092,0.139,-0.064
1,118,0.138,0.196,-0.056
1,119,0.075,0.117,-0.068
1,120,0.039,0.066,-0.079
1,121,0.056,0.09,-0.073
1,122,0.128,0.184,-0.058
1,123,0.172,0.237,-0.052
1,124,0.085,0.13,-0.066
1,125,0.108,0.159,-0.062
1,126,0.082,0.125,-0.067
1,127,0.055,0.09,-0.074
1,128,0.068,0.107,-0.071
1,129,0.052,0.084,-0.075
1,130,0.045,0.075,-0.078
1,131,0.043,0.072,-0.078
1,132,0.043,0.072,-0.078
1,133,0.041,0.069,-0.08
1,134,0.055,0.089,-0.075
1,135,0.023,0.043,-0.089
1,136,0.021,0.04,-0.09
1,137,0.03,0.053,-0.085
1,138,0.039,0.066,-0.082
1,139,0.03,0.053,-0.086
1,140,0.035,0.06,-0.083
1,141,0.046,0.076,-0.079
1,142,0.031,0.055,-0.086
1,143,0.029,0.052,-0.087
1,144,0.041,0.07,-0.081
1,145,0.038,0.065,-0.083
1,146,0.026,0.048,-0.089
1,147,0.048,0.079,-0.08
1,148,0.025,0.045,-0.091
1,149,0.029,0.052,-0.088
1,150,0.048,0.079,-0.08
1,151,0.041,0.07,-0.083
1,152,0.016,0.031,-0.098
1,153,0.02,0.037,-0.095
1,154,0.049,0.081,-0.08
1,155,0.029,0.052,-0.09
1,156,0.028,0.05,-0.09
1,157,0.03,0.054,-0.089
1,158,0.02,0.038,-0.096
1,159,0.011,0.022,-0.106
1,160,0.013,0.027,-0.103
1,161,0.011,0.023,-0.106
1,162,0.02,0.037,-0.098
1,163,0.02,0.037,-0.098
1,164,0.011,0.022,-0.107
1,165,0.02,0.038,-0.098
1,166,0.014,0.027,-0.105
1,167,0.031,0.055,-0.092
1,168,0.033,0.057,-0.091
1,169,0.032,0.056,-0.092
1,170,0.03,0.053,-0.094
1,171,0.017,0.032,-0.104
1,172,0.022,0.04,-0.101
1,173,0.026,0.047,-0.098
1,174,0.049,0.08,-0.087
1,175,0.05,0.083,-0.087
1,176,0.028,0.049,-0.098
1,177,0.026,0.048,-0.099
