slice_num,coord_num,PValue,adjPVal,logFC
1,100,0.138,0.196,0.055
1,101,0.129,0.185,0.056
1,102,0.303,0.383,0.038
1,103,0.144,0.204,0.055
1,104,0.104,0.154,0.061
1,105,0.102,0.151,0.062
1,106,0.158,0.22,0.053
1,107,0.136,0.194,0.057
1,108,0.114,0.167,0.06
1,109,0.129,0.185,0.058
1,110,0.14,0.198,0.056
1,111,0.26,0.336,0.043
1,112,0.372,0.455,0.034
1,113,0.213,0.285,0.048
1,114,0.279,0.358,0.042
1,115,0.349,0.431,0.036
1,116,0.262,0.339,0.043
1,117,0.25,0.325,0.045
1,118,0.246,0.322,0.045
1,119,0.225,0.298,0.047
1,120,0.188,0.256,0.052
1,121,0.186,0.253,0.052
1,122,0.171,0.235,0.054
1,123,0.213,0.285,0.049
1,124,0.188,0.256,0.052
1,125,0.274,0.352,0.043
1,126,0.17,0.234,0.054
1,127,0.142,0.201,0.058
1,128,0.201,0.27,0.051
1,129,0.198,0.268,0.051
1,130,0.203,0.273,0.051
1,131,0.167,0.231,0.055
1,132,0.23,0.303,0.048
1,133,0.361,0.444,0.037
1,134,0.209,0.279,0.05
1,135,0.127,0.182,0.061
1,136,0.081,0.125,0.07
1,137,0.085,0.129,0.07
1,138,0.042,0.071,0.083
1,139,0.079,0.122,0.071
1,140,0.069,0.109,0.074
1,141,0.048,0.08,0.08
1,142,0.048,0.079,0.081
1,143,0.043,0.073,0.083
1,144,0.021,0.039,0.095
1,145,0.015,0.03,0.1
1,146,0.017,0.032,0.099
1,147,0.007,0.016,0.111
1,148,0.017,0.033,0.099
1,149,0.019,0.035,0.097
1,150,0.029,0.051,0.09
1,151,0.026,0.046,0.093
1,152,0.017,0.033,0.099
1,153,0.011,0.022,0.107
1,154,0.015,0.029,0.102
1,155,0.014,0.028,0.103
1,156,0.013,0.026,0.105
1,157,0.01,0.02,0.109
1,158,0.011,0.023,0.108
1,159,0.021,0.038,0.099
1,160,0.021,0.038,0.099
1,161,0.014,0.028,0.105
1,162,0.026,0.047,0.095
1,163,0.008,0.018,0.114
1,164,0.013,0.026,0.108
1,165,0.012,0.024,0.109
1,166,0.026,0.047,0.097
