slice_num,coord_num,PValue,adjPVal,logFC
1,100,0.012,0.024,-0.095
1,101,0.02,0.037,-0.088
1,102,0.012,0.025,-0.095
1,103,0.018,0.035,-0.09
1,104,0.032,0.056,-0.082
1,105,0.025,0.045,-0.086
1,106,0.022,0.041,-0.088
1,107,0.009,0.019,-0.101
1,108,0.015,0.029,-0.094
1,109,0.014,0.028,-0.095
1,110,0.012,0.024,-0.098
1,111,0.028,0.05,-0.086
1,112,0.007,0.015,-0.106
1,113,0.008,0.018,-0.104
1,114,0.005,0.012,-0.11
1,115,0.004,0.01,-0.113
1,116,0.01,0.02,-0.102
1,117,0.007,0.015,-0.107
1,118,0.003,0.007,-0.118
1,119,0.005,0.011,-0.112
1,120,0.002,0.005,-0.125
1,121,0.001,0.003,-0.13
1,122,0.003,0.007,-0.12
1,123,0.002,0.004,-0.128
1,124,0.003,0.007,-0.121
1,125,0.005,0.011,-0.113
1,126,0.005,0.012,-0.113
1,127,0.008,0.016,-0.108
1,128,0.002,0.005,-0.125
1,129,0.002,0.006,-0.124
1,130,0.003,0.006,-0.123
1,131,0.006,0.013,-0.112
1,132,0.004,0.009,-0.117
1,133,0.002,0.004,-0.13
1,134,0.002,0.004,-0.129
1,135,0.002,0.004,-0.13
1,136,0.002,0.005,-0.126
1,137,0.002,0.005,-0.129
1,138,0.002,0.005,-0.13
1,139,0.0,0.002,-0.145
1,140,0.001,0.002,-0.139
1,141,0.002,0.004,-0.131
1,142,0.002,0.005,-0.13
1,143,0.003,0.007,-0.126
1,144,0.003,0.008,-0.124
1,145,0.001,0.004,-0.135
1,146,0.004,0.009,-0.122
1,147,0.001,0.003,-0.14
1,148,0.001,0.002,-0.145
1,149,0.001,0.002,-0.141
1,150,0.001,0.003,-0.136
1,151,0.003,0.008,-0.125
1,152,0.006,0.013,-0.117
1,153,0.006,0.013,-0.118
1,154,0.004,0.009,-0.124
1,155,0.009,0.019,-0.112
1,156,0.007,0.015,-0.116
1,157,0.008,0.017,-0.115
1,158,0.014,0.027,-0.107
1,159,0.009,0.019,-0.113
1,160,0.005,0.011,-0.122
1,161,0.005,0.012,-0.122
1,162,0.003,0.008,-0.128
1,163,0.006,0.013,-0.122
1,164,0.011,0.022,-0.113
