slice_num,coord_num,PValue,adjPVal,logFC
1,100,0.01,0.021,-0.093
1,101,0.014,0.028,-0.09
1,102,0.009,0.02,-0.095
1,103,0.013,0.026,-0.091
1,104,0.035,0.06,-0.078
1,105,0.026,0.047,-0.082
1,106,0.03,0.052,-0.081
1,107,0.011,0.022,-0.095
1,108,0.015,0.029,-0.091
1,109,0.019,0.037,-0.087
1,110,0.034,0.059,-0.079
1,111,0.028,0.05,-0.083
1,112,0.029,0.052,-0.082
1,113,0.032,0.056,-0.081
1,114,0.016,0.03,-0.092
1,115,0.034,0.059,-0.081
1,116,0.049,0.081,-0.075
1,117,0.037,0.063,-0.08
1,118,0.021,0.039,-0.089
1,119,0.023,0.042,-0.087
1,120,0.056,0.09,-0.074
1,121,0.069,0.109,-0.07
1,122,0.057,0.092,-0.073
1,123,0.043,0.072,-0.078
1,124,0.039,0.067,-0.08
1,125,0.024,0.044,-0.088
1,126,0.035,0.06,-0.082
1,127,0.057,0.092,-0.074
1,128,0.053,0.086,-0.076
1,129,0.043,0.073,-0.079
1,130,0.049,0.081,-0.077
1,131,0.056,0.09,-0.075
1,132,0.064,0.101,-0.073
1,133,0.041,0.069,-0.08
1,134,0.032,0.056,-0.084
1,135,0.051,0.083,-0.077
1,136,0.051,0.083,-0.077
1,137,0.041,0.07,-0.081
1,138,0.057,0.092,-0.076
1,139,0.048,0.079,-0.079
1,140,0.04,0.068,-0.082
1,141,0.043,0.072,-0.081
1,142,0.05,0.082,-0.079
1,143,0.069,0.109,-0.073
1,144,0.052,0.085,-0.078
1,145,0.034,0.06,-0.085
1,146,0.096,0.144,-0.067
1,147,0.128,0.184,-0.062
1,148,0.083,0.126,-0.071
1,149,0.082,0.126,-0.071
1,150,0.089,0.134,-0.069
1,151,0.109,0.161,-0.065
1,152,0.064,0.101,-0.076
1,153,0.067,0.106,-0.075
1,154,0.085,0.129,-0.071
1,155,0.081,0.124,-0.072
1,156,0.056,0.09,-0.079
1,157,0.087,0.132,-0.071
1,158,0.058,0.093,-0.079
1,159,0.056,0.091,-0.08
1,160,0.061,0.097,-0.079
1,161,0.054,0.088,-0.081
1,162,0.046,0.076,-0.084
1,163,0.056,0.091,-0.081
1,164,0.052,0.085,-0.083
1,165,0.06,0.096,-0.08
1,166,0.067,0.105,-0.078
1,167,0.059,0.095,-0.081
1,168,0.098,0.146,-0.071
1,169,0.066,0.104,-0.08
1,170,0.066,0.104,-0.08
1,171,0.074,0.115,-0.078
1,172,0.036,0.061,-0.093
1,173,0.046,0.076,-0.089
1,174,0.046,0.077,-0.089
1,175,0.034,0.059,-0.095
1,176,0.032,0.056,-0.096
1,177,0.02,0.038,-0.105
1,178,0.011,0.023,-0.115
1,179,0.03,0.052,-0.099
1,180,0.023,0.042,-0.104
1,181,0.016,0.03,-0.111
1,182,0.027,0.049,-0.102
1,183,0.016,0.031,-0.112
1,184,0.019,0.037,-0.109
1,185,0.03,0.052,-0.102
1,186,0.026,0.047,-0.105
1,187,0.016,0.031,-0.114
1,188,0.033,0.058,-0.102
1,189,0.021,0.04,-0.11
1,190,0.022,0.04,-0.11
1,191,0.01,0.021,-0.124
1,192,0.029,0.051,-0.106
1,193,0.019,0.036,-0.115
1,194,0.014,0.028,-0.12
1,195,0.014,0.027,-0.122
1,196,0.026,0.047,-0.11
1,197,0.025,0.045,-0.112
1,198,0.013,0.025,-0.125
1,199,0.025,0.046,-0.113
1,200,0.022,0.041,-0.116
1,201,0.039,0.066,-0.105
1,202,0.038,0.065,-0.106
1,203,0.031,0.054,-0.111
1,204,0.028,0.05,-0.113
1,205,0.04,0.068,-0.107
1,206,0.065,0.103,-0.096
1,207,0.057,0.092,-0.099
1,208,0.041,0.069,-0.107
1,209,0.058,0.093,-0.099
1,210,0.05,0.082,-0.103
1,211,0.076,0.118,-0.093
1,212,0.081,0.124,-0.092
1,213,0.106,0.157,-0.086
1,214,0.094,0.141,-0.089
1,215,0.093,0.14,-0.09
1,216,0.147,0.207,-0.078
1,217,0.163,0.226,-0.075
1,218,0.123,0.178,-0.084
1,219,0.125,0.181,-0.083
1,220,0.211,0.282,-0.068
1,221,0.145,0.205,-0.08
1,222,0.251,0.326,-0.063
1,223,0.214,0.286,-0.068
1,224,0.261,0.338,-0.062
1,39,0.002,0.006,-0.098
1,40,0.0,0.001,-0.115
1,41,0.001,0.004,-0.103
1,42,0.0,0.002,-0.112
1,43,0.002,0.006,-0.099
1,44,0.003,0.007,-0.097
1,45,0.004,0.01,-0.093
1,46,0.002,0.006,-0.099
1,47,0.001,0.003,-0.106
1,48,0.002,0.005,-0.101
1,49,0.001,0.004,-0.104
1,50,0.002,0.005,-0.101
1,51,0.004,0.009,-0.095
1,52,0.005,0.011,-0.091
1,53,0.001,0.004,-0.104
1,54,0.006,0.013,-0.09
1,55,0.005,0.011,-0.092
1,56,0.006,0.012,-0.091
1,57,0.005,0.012,-0.092
1,58,0.007,0.015,-0.089
1,59,0.003,0.007,-0.099
1,60,0.002,0.005,-0.103
1,61,0.004,0.009,-0.096
1,62,0.001,0.003,-0.109
1,63,0.001,0.004,-0.106
1,64,0.003,0.007,-0.1
1,65,0.001,0.004,-0.108
1,66,0.001,0.004,-0.108
1,67,0.0,0.001,-0.128
1,68,0.001,0.002,-0.116
1,69,0.001,0.002,-0.116
1,70,0.001,0.003,-0.113
1,71,0.002,0.004,-0.107
