slice_num,coord_num,PValue,adjPVal,logFC
1,100,0.516,0.596,0.026
1,101,0.719,0.778,0.014
1,102,0.944,0.958,-0.003
1,103,0.992,0.994,-0.0
1,104,0.94,0.955,0.003
1,105,0.795,0.841,0.01
1,106,0.866,0.898,0.007
1,107,0.998,0.998,-0.0
1,108,0.84,0.877,0.008
1,109,0.938,0.954,0.003
1,110,0.969,0.977,0.002
1,111,0.838,0.876,-0.008
1,112,0.855,0.889,-0.007
1,113,0.922,0.941,-0.004
1,114,0.916,0.937,-0.004
1,115,0.86,0.893,-0.007
1,116,0.944,0.959,-0.003
1,117,0.848,0.884,-0.008
1,118,0.805,0.849,-0.01
1,119,0.735,0.792,-0.014
1,120,0.699,0.761,-0.016
1,121,0.71,0.77,-0.016
1,122,0.693,0.755,-0.017
1,123,0.832,0.871,-0.009
1,124,0.696,0.758,-0.017
1,125,0.859,0.893,-0.008
1,126,0.991,0.993,0.0
1,127,0.961,0.971,-0.002
1,128,0.868,0.899,0.007
1,129,0.965,0.974,-0.002
1,130,0.892,0.918,-0.006
1,131,0.953,0.965,0.002
1,132,0.879,0.909,-0.006
1,133,0.889,0.916,-0.006
1,134,0.934,0.951,-0.004
1,135,0.991,0.994,-0.0
1,136,0.975,0.982,0.001
1,137,0.946,0.96,0.003
1,138,0.89,0.916,-0.006
1,139,0.77,0.821,-0.013
1,140,0.915,0.936,-0.005
1,141,0.982,0.987,0.001
1,142,0.905,0.928,-0.005
1,143,0.881,0.91,-0.007
1,144,0.791,0.837,-0.012
1,145,0.901,0.925,-0.005
1,146,0.651,0.719,-0.02
1,147,0.801,0.846,-0.011
1,148,0.925,0.944,-0.004
1,149,0.81,0.853,-0.011
1,150,0.91,0.933,-0.005
1,151,0.891,0.917,-0.006
1,152,0.797,0.842,-0.011
1,153,0.728,0.785,-0.016
1,154,0.882,0.911,0.007
1,155,0.944,0.958,0.003
1,156,0.974,0.981,-0.001
1,157,0.736,0.792,0.015
1,158,0.936,0.952,0.004
1,159,0.862,0.895,0.008
1,160,0.926,0.944,0.004
1,161,0.895,0.921,-0.006
1,162,0.941,0.956,0.003
1,163,0.931,0.948,0.004
1,164,0.97,0.978,0.002
1,165,0.916,0.937,0.005
1,166,0.745,0.799,-0.015
1,167,0.788,0.835,-0.013
1,168,0.857,0.891,-0.008
1,169,0.697,0.759,-0.018
1,170,0.744,0.798,-0.016
1,171,0.622,0.694,-0.024
1,172,0.678,0.743,-0.02
1,173,0.582,0.657,-0.027
1,174,0.735,0.791,-0.016
1,175,0.85,0.885,-0.009
1,176,0.624,0.695,-0.024
1,177,0.637,0.706,-0.023
1,178,0.525,0.605,-0.031
1,179,0.554,0.632,-0.029
1,180,0.655,0.723,-0.022
1,181,0.639,0.708,-0.023
1,182,0.663,0.73,-0.022
1,183,0.55,0.628,-0.03
1,184,0.523,0.602,-0.033
1,185,0.466,0.548,-0.037
1,186,0.36,0.442,-0.047
1,187,0.317,0.398,-0.052
1,188,0.414,0.497,-0.043
1,189,0.459,0.541,-0.039
1,190,0.511,0.592,-0.034
1,191,0.43,0.513,-0.042
1,192,0.328,0.409,-0.052
1,193,0.268,0.345,-0.059
1,194,0.321,0.402,-0.053
1,195,0.439,0.522,-0.042
1,196,0.4,0.483,-0.046
1,197,0.296,0.376,-0.057
1,198,0.245,0.32,-0.064
1,199,0.329,0.41,-0.054
1,200,0.431,0.514,-0.043
1,201,0.301,0.381,-0.057
1,202,0.256,0.332,-0.063
1,203,0.301,0.381,-0.058
1,204,0.335,0.416,-0.054
1,205,0.467,0.55,-0.041
1,206,0.34,0.422,-0.054
1,207,0.406,0.489,-0.047
1,208,0.452,0.535,-0.043
1,209,0.36,0.442,-0.052
1,210,0.43,0.514,-0.045
1,211,0.503,0.584,-0.038
1,212,0.438,0.521,-0.045
1,213,0.393,0.476,-0.05
1,214,0.492,0.573,-0.04
1,215,0.536,0.615,-0.036
1,216,0.467,0.549,-0.043
1,217,0.367,0.45,-0.053
1,218,0.421,0.504,-0.047
1,219,0.567,0.644,-0.034
1,220,0.439,0.522,-0.046
1,221,0.398,0.482,-0.05
1,222,0.505,0.586,-0.04
1,223,0.387,0.47,-0.052
1,224,0.403,0.487,-0.05
1,39,0.5,0.581,0.024
1,40,0.494,0.575,0.024
1,41,0.655,0.722,0.016
1,42,0.427,0.51,0.028
1,43,0.497,0.578,0.024
1,44,0.627,0.698,0.017
1,45,0.557,0.635,0.021
1,46,0.398,0.481,0.03
1,47,0.614,0.686,0.018
1,48,0.718,0.777,0.013
1,49,0.229,0.303,0.043
1,50,0.587,0.662,0.019
1,51,0.616,0.688,0.018
1,52,0.412,0.495,0.029
1,53,0.439,0.522,0.027
1,54,0.566,0.643,0.02
1,55,0.517,0.597,0.023
1,56,0.323,0.404,0.035
1,57,0.383,0.467,0.031
1,58,0.617,0.689,0.018
1,59,0.261,0.338,0.04
1,60,0.497,0.579,0.024
1,61,0.213,0.285,0.045
1,62,0.414,0.498,0.03
1,63,0.363,0.445,0.033
1,64,0.534,0.613,0.023
1,65,0.401,0.484,0.031
1,66,0.234,0.308,0.044
1,67,0.234,0.308,0.044
1,68,0.324,0.405,0.036
1,69,0.541,0.62,0.023
1,70,0.254,0.33,0.042
1,71,0.281,0.359,0.04
1,72,0.298,0.378,0.039
1,73,0.377,0.46,0.033
1,74,0.405,0.488,0.031
1,75,0.289,0.368,0.04
1,76,0.324,0.406,0.037
1,77,0.748,0.802,0.012
1,78,0.479,0.561,0.027
1,79,0.302,0.382,0.039
1,80,0.45,0.533,0.029
1,81,0.642,0.712,0.018
1,82,0.437,0.52,0.03
1,83,0.547,0.625,0.023
1,84,0.588,0.663,0.021
1,85,0.471,0.553,0.028
1,86,0.46,0.543,0.029
1,87,0.53,0.609,0.024
1,88,0.316,0.397,0.039
1,89,0.4,0.483,0.033
1,90,0.479,0.561,0.028
1,91,0.41,0.493,0.032
1,92,0.618,0.69,0.02
1,93,0.365,0.448,0.036
1,94,0.543,0.621,0.024
1,95,0.389,0.472,0.034
1,96,0.592,0.666,0.021
1,97,0.543,0.621,0.024
1,98,0.578,0.654,0.022
1,99,0.53,0.609,0.025
10,10,0.352,0.435,0.033
10,100,0.469,0.551,0.029
10,101,0.456,0.539,0.03
10,102,0.395,0.478,0.034
10,103,0.429,0.512,0.032
10,104,0.6,0.674,0.021
10,105,0.269,0.346,0.044
10,106,0.236,0.311,0.048
10,107,0.773,0.823,0.012
10,108,0.704,0.765,0.015
10,109,0.624,0.695,0.02
10,11,0.432,0.515,0.027
10,110,0.828,0.868,0.009
10,111,0.912,0.934,0.004
10,112,0.688,0.751,0.016
10,113,0.713,0.772,0.015
10,114,0.663,0.73,0.018
10,115,0.573,0.649,0.023
10,116,0.582,0.657,0.023
10,117,0.549,0.627,0.025
10,118,0.717,0.776,0.015
10,119,0.403,0.486,0.035
10,12,0.249,0.325,0.04
10,120,0.463,0.546,0.03
10,121,0.553,0.631,0.025
10,122,0.632,0.703,0.02
10,123,0.404,0.487,0.035
10,124,0.38,0.463,0.037
10,125,0.32,0.401,0.042
10,126,0.393,0.476,0.036
10,127,0.398,0.482,0.036
10,128,0.374,0.457,0.037
10,129,0.422,0.506,0.034
