slice_num,coord_num,PValue,adjPVal,logFC
1,100,0.499,0.58,0.027
1,101,0.7,0.762,0.015
1,102,0.955,0.967,-0.002
1,103,0.998,0.999,0.0
1,104,0.931,0.948,0.003
1,105,0.784,0.832,0.011
1,106,0.862,0.894,0.007
1,107,0.985,0.989,0.001
1,108,0.816,0.858,0.009
1,109,0.92,0.94,0.004
1,110,0.961,0.971,0.002
1,111,0.847,0.883,-0.008
1,112,0.861,0.894,-0.007
1,113,0.921,0.94,-0.004
1,114,0.921,0.94,-0.004
1,115,0.861,0.894,-0.007
1,116,0.937,0.953,-0.003
1,117,0.854,0.888,-0.008
1,118,0.809,0.852,-0.01
1,119,0.738,0.794,-0.014
1,120,0.695,0.757,-0.016
1,121,0.711,0.771,-0.016
1,122,0.685,0.749,-0.017
1,123,0.83,0.869,-0.009
1,124,0.694,0.757,-0.017
1,125,0.864,0.896,-0.007
1,126,0.988,0.991,0.001
1,127,0.961,0.971,-0.002
1,128,0.875,0.905,0.007
1,129,0.962,0.972,-0.002
1,130,0.89,0.917,-0.006
1,131,0.958,0.969,0.002
1,132,0.867,0.899,-0.007
1,133,0.885,0.913,-0.006
1,134,0.942,0.956,-0.003
1,135,0.983,0.988,-0.001
1,136,0.981,0.986,0.001
1,137,0.944,0.958,0.003
1,138,0.888,0.915,-0.006
1,139,0.768,0.819,-0.013
1,140,0.917,0.938,-0.005
1,141,0.972,0.979,0.002
1,142,0.906,0.929,-0.005
1,143,0.894,0.92,-0.006
1,144,0.805,0.849,-0.011
1,145,0.916,0.937,-0.005
1,146,0.651,0.719,-0.02
1,147,0.793,0.84,-0.012
1,148,0.926,0.945,-0.004
1,149,0.811,0.854,-0.011
1,150,0.912,0.934,-0.005
1,151,0.894,0.92,-0.006
1,152,0.803,0.847,-0.011
1,153,0.732,0.789,-0.015
1,154,0.885,0.913,0.006
1,155,0.947,0.96,0.003
1,156,0.983,0.987,-0.001
1,157,0.732,0.788,0.015
1,158,0.924,0.943,0.004
1,159,0.85,0.886,0.009
1,160,0.916,0.937,0.005
1,161,0.907,0.93,-0.005
1,162,0.927,0.945,0.004
1,163,0.92,0.94,0.005
1,164,0.952,0.964,0.003
1,165,0.902,0.926,0.006
1,166,0.749,0.803,-0.015
1,167,0.797,0.843,-0.012
1,168,0.862,0.895,-0.008
1,169,0.708,0.769,-0.018
1,170,0.753,0.807,-0.015
1,171,0.632,0.702,-0.023
1,172,0.698,0.76,-0.019
1,173,0.598,0.672,-0.025
1,174,0.755,0.808,-0.015
1,175,0.866,0.898,-0.008
1,176,0.636,0.706,-0.023
1,177,0.651,0.719,-0.022
1,178,0.543,0.622,-0.03
1,179,0.57,0.646,-0.028
1,180,0.679,0.744,-0.021
1,181,0.656,0.724,-0.022
1,182,0.674,0.739,-0.021
1,183,0.563,0.64,-0.029
1,184,0.535,0.614,-0.031
1,185,0.474,0.556,-0.037
1,186,0.369,0.452,-0.046
1,187,0.331,0.412,-0.05
1,188,0.425,0.508,-0.041
1,189,0.47,0.552,-0.038
1,190,0.518,0.598,-0.034
1,191,0.444,0.527,-0.04
1,192,0.333,0.415,-0.051
1,193,0.275,0.353,-0.058
1,194,0.331,0.413,-0.052
1,195,0.452,0.535,-0.04
1,196,0.402,0.486,-0.045
1,197,0.3,0.379,-0.056
1,198,0.252,0.328,-0.062
1,199,0.333,0.414,-0.053
1,200,0.436,0.519,-0.043
1,201,0.305,0.385,-0.057
1,202,0.252,0.328,-0.063
1,203,0.302,0.382,-0.057
1,204,0.343,0.425,-0.053
1,205,0.465,0.548,-0.041
1,206,0.334,0.416,-0.054
1,207,0.402,0.485,-0.047
1,208,0.452,0.535,-0.043
1,209,0.354,0.436,-0.053
1,210,0.431,0.514,-0.045
1,211,0.499,0.58,-0.039
1,212,0.43,0.513,-0.045
1,213,0.385,0.468,-0.05
1,214,0.491,0.572,-0.04
1,215,0.533,0.612,-0.036
1,216,0.463,0.546,-0.043
1,217,0.362,0.445,-0.053
1,218,0.423,0.506,-0.047
1,219,0.57,0.647,-0.033
1,220,0.438,0.521,-0.046
1,221,0.404,0.487,-0.05
1,222,0.504,0.585,-0.04
1,223,0.395,0.478,-0.051
1,224,0.414,0.498,-0.049
1,39,0.487,0.569,0.024
1,40,0.466,0.548,0.026
1,41,0.625,0.696,0.017
1,42,0.402,0.486,0.029
1,43,0.471,0.553,0.025
1,44,0.604,0.678,0.018
1,45,0.54,0.619,0.021
1,46,0.385,0.468,0.03
1,47,0.584,0.66,0.019
1,48,0.698,0.76,0.014
1,49,0.22,0.292,0.043
1,50,0.565,0.641,0.02
1,51,0.599,0.673,0.019
1,52,0.412,0.495,0.029
1,53,0.429,0.513,0.028
1,54,0.562,0.639,0.021
1,55,0.511,0.592,0.023
1,56,0.322,0.403,0.035
1,57,0.383,0.466,0.031
1,58,0.611,0.683,0.018
1,59,0.253,0.329,0.041
1,60,0.483,0.565,0.025
1,61,0.209,0.28,0.045
1,62,0.399,0.483,0.031
1,63,0.336,0.418,0.035
1,64,0.517,0.597,0.023
1,65,0.384,0.467,0.032
1,66,0.22,0.292,0.045
1,67,0.214,0.285,0.045
1,68,0.302,0.382,0.038
1,69,0.513,0.593,0.024
1,70,0.238,0.312,0.043
1,71,0.262,0.338,0.041
1,72,0.288,0.367,0.039
1,73,0.357,0.439,0.034
1,74,0.383,0.466,0.032
1,75,0.276,0.353,0.041
1,76,0.308,0.388,0.038
1,77,0.723,0.781,0.013
1,78,0.476,0.558,0.027
1,79,0.292,0.371,0.04
1,80,0.433,0.516,0.03
1,81,0.629,0.7,0.018
1,82,0.426,0.51,0.03
1,83,0.535,0.614,0.024
